section,evidence_class,comparison_scope,item,run,metric,value,unit,n,baseline,delta,interpretation,source_file
RO_FREQ,case_comparison,closest_all_on_data_data_beat,random1,run01_5mib,closest_abs_delta_f_mhz,0.459446433,MHz,1,,data4/data5; beat_period_ns=2176.5323,single 5MiB case,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_random1_fixed_partial5mib\random1_ro_freq_fixed_run01_partial5mib_pairwise_all_on.csv
RO_FREQ,case_comparison,closest_all_on_data_data_beat,random3,run01_5mib,closest_abs_delta_f_mhz,0.50420572,MHz,1,,data3/data7; beat_period_ns=1983.31745,single 5MiB case,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run01_5mib\ro_freq_run01_5mib_pairwise_all_on.csv
RO_FREQ,case_comparison,sample_all_on_vs_single_on_pulling,random1,run01_5mib,sample_shift_ppm_vs_single,4067.32825,ppm,1,,,single 5MiB case,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_random1_fixed_partial5mib\random1_ro_freq_fixed_run01_partial5mib_pulling.csv
RO_FREQ,case_comparison,sample_all_on_vs_single_on_pulling,random3,run01_5mib,sample_shift_ppm_vs_single,1112.71136,ppm,1,,,single 5MiB case,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run01_5mib\ro_freq_run01_5mib_pulling.csv
RO_FREQ,statistical_comparison,closest_all_on_data_data_beat,random1,run01,closest_abs_delta_f_mhz,0.466194701,MHz,1,,data4/data5; beat_period_ns=2145.02653,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_random1_random3_fixed_run01_2mib\random1_random3_fixed_run01_2mib_pairwise_all_on.csv
RO_FREQ,statistical_comparison,closest_all_on_data_data_beat,random1,run02,closest_abs_delta_f_mhz,0.657774573,MHz,1,,data4/data5; beat_period_ns=1520.27768,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run02\ro_freq_run02_pairwise_all_on.csv
RO_FREQ,statistical_comparison,closest_all_on_data_data_beat,random1,run03,closest_abs_delta_f_mhz,0.660590334,MHz,1,,data4/data5; beat_period_ns=1513.79751,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run03\ro_freq_run03_pairwise_all_on.csv
RO_FREQ,statistical_comparison,closest_all_on_data_data_beat,random3,run01,closest_abs_delta_f_mhz,0.673395818,MHz,1,,data3/data7; beat_period_ns=1485.01071,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_random1_random3_fixed_run01_2mib\random1_random3_fixed_run01_2mib_pairwise_all_on.csv
RO_FREQ,statistical_comparison,closest_all_on_data_data_beat,random3,run02,closest_abs_delta_f_mhz,0.653929344,MHz,1,,data3/data7; beat_period_ns=1529.2172,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run02\ro_freq_run02_pairwise_all_on.csv
RO_FREQ,statistical_comparison,closest_all_on_data_data_beat,random3,run03,closest_abs_delta_f_mhz,0.635664504,MHz,1,,data3/data7; beat_period_ns=1573.1569,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run03\ro_freq_run03_pairwise_all_on.csv
RO_FREQ,statistical_comparison,run01_run02_run03_repeat,random1,run01/run02/run03,closest_abs_delta_f_mhz_mean,0.594853203,MHz,3,,std=0.111430425,repeat statistic across the three 2MiB RO_FREQ runs,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis
RO_FREQ,statistical_comparison,run01_run02_run03_repeat,random1,run01/run02/run03,sample_shift_ppm_vs_single_mean,345.30715,ppm,3,,std=2722.7504,repeat statistic across the three 2MiB RO_FREQ runs,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis
