placement,run,p1,abs_bias,bit_min_entropy,monobit_p,runs_p,adjacent_equal_ratio,byte_min_entropy
random1,random1_run01,0.3373155117034912,0.16268448829650878,0.5936059447798137,0.0,0.0,0.5567397541611165,4.801608676916264
sparse,sparse_run01,0.46434985399246215,0.03565014600753785,0.9006370669923032,0.0,0.0,0.5065963328671018,7.144060898784212
row,row_run01,0.4735795855522156,0.026420414447784424,0.9257126573880935,0.0,0.0,0.5043035328901235,7.366459806927541
random2,random2_run01,0.4912222385406494,0.008777761459350608,0.9748924827035382,0.0,0.0,0.5010796725878677,7.776842959731112
far,far_run01,0.4915079355239868,0.008492064476013195,0.975702835318717,0.0,0.0,0.5007263481703561,7.7961626160654465
checker,checker_run01,0.49992923736572265,7.076263427735485e-05,0.999795836643692,0.19489947516831682,0.14926736753694417,0.5000787436971514,7.972785114840165
same_column,same_column_run01,0.4999302506446838,6.974935531617321e-05,0.9997987599379987,0.20136949548924943,0.0,0.505979734730479,7.864322774141624
cross_region,cross_region_run02,0.49994415044784546,5.5849552154541016e-05,0.9998388612555007,0.30628667709803903,0.7198410221620412,0.499980431794887,7.9836791916358365
compact,compact_run01,0.4999479055404663,5.2094459533691406e-05,0.9998496949930681,0.3399523139347258,0.2636032731697103,0.49993898272441606,7.976834763500023
random3,random3_run01,0.49996856451034544,3.143548965456322e-05,0.999909299201129,0.5647292978436725,0.1843728297632032,0.5000724732884464,7.98455010032787
