placement,warmup_bytes,repeat_tag,bit_order,ea_status,restart_h_i,restart_x_cutoff,restart_x_max,restart_min_h,restart_overall_p1,restart_positions_over_x_cutoff,restart_worst_byte,restart_worst_bit,restart_worst_x,restart_worst_msb_column,restart_worst_lsb_column,trng_role,trng_bytes_mean,trng_p1_mean,trng_abs_bias_mean,trng_bit_min_entropy_mean,trng_runs_p_mean,trng_byte_min_entropy_mean,rofreq_available,rofreq_ro_min_data_data_delta_mhz,rofreq_ro_min_data_data_pair,rofreq_ro_close_data_data_pairs_le_1mhz,rofreq_ro_close_data_data_pairs_le_3mhz,rofreq_ro_sample_shift_ppm,tdc_available,tdc_pair_count,tdc_phase_r_mean_mean,tdc_phase_r_mean_max,tdc_phase_r_max_abs_mean,tdc_phase_r_max_abs_max,tdc_best_lag_abs_r_max_mean,tdc_best_lag_abs_r_max_max,tdc_diff_std_ps_mean_mean,tdc_diff_std_ps_mean_max,tdc_diff_mean_ps_slope_per_window_mean,tdc_diff_mean_ps_slope_per_window_max,tdc_strong_lock_windows_mean,tdc_strong_lock_windows_max
checker,0,placement01,lsb,failed,0.865884,618,681,,0.497969,0,1,0,681,15,8,formal,10485760.0,0.499929237,7.07626343e-05,0.999795837,0.149267368,7.97278511,no,,,,,,no,,,,,,,,,,,,,
checker,0,placement01,msb,failed,0.863144,619,681,,0.497969,0,1,0,681,15,8,formal,10485760.0,0.499929237,7.07626343e-05,0.999795837,0.149267368,7.97278511,no,,,,,,no,,,,,,,,,,,,,
checker,12,placement01,lsb,passed,0.865884,618,568,0.797739,0.479638,0,10,0,568,87,80,formal,10485760.0,0.499929237,7.07626343e-05,0.999795837,0.149267368,7.97278511,no,,,,,,no,,,,,,,,,,,,,
checker,12,placement01,msb,passed,0.863144,619,568,0.810255,0.479638,0,10,0,568,87,80,formal,10485760.0,0.499929237,7.07626343e-05,0.999795837,0.149267368,7.97278511,no,,,,,,no,,,,,,,,,,,,,
compact,0,placement01,lsb,failed,0.834591,629,713,,0.500212,0,1,5,713,10,13,formal,10485760.0,0.499947906,5.20944595e-05,0.999849695,0.263603273,7.97683476,no,,,,,,no,,,,,,,,,,,,,
compact,0,placement01,msb,failed,0.872029,616,713,,0.500212,0,1,5,713,10,13,formal,10485760.0,0.499947906,5.20944595e-05,0.999849695,0.263603273,7.97683476,no,,,,,,no,,,,,,,,,,,,,
compact,12,placement01,lsb,passed,0.834591,629,563,0.834591,0.498052,0,60,5,549,482,485,formal,10485760.0,0.499947906,5.20944595e-05,0.999849695,0.263603273,7.97683476,no,,,,,,no,,,,,,,,,,,,,
compact,12,placement01,msb,passed,0.872029,616,563,0.823763,0.498052,0,60,5,549,482,485,formal,10485760.0,0.499947906,5.20944595e-05,0.999849695,0.263603273,7.97683476,no,,,,,,no,,,,,,,,,,,,,
random1,8,contrast01_20260522,lsb,passed,0.383737,824,592,0.383737,0.454532,0,86,7,592,688,695,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,4.80160868,yes,0.46619470080861447,data4/data5,2,4,3466.9123682974628,yes,6,-0.00094981794,0.0022152956,0.0170523654,0.0265191137,0.0249755245,0.0317827302,2041.16833,2043.21872,0.233459781,0.814889717,0,0
random1,8,contrast01_20260522,msb,passed,0.385385,822,592,0.385385,0.454532,0,86,7,592,688,695,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,4.80160868,yes,0.46619470080861447,data4/data5,2,4,3466.9123682974628,yes,6,-0.00094981794,0.0022152956,0.0170523654,0.0265191137,0.0249755245,0.0317827302,2041.16833,2043.21872,0.233459781,0.814889717,0,0
random1,11,contrast01_20260522,lsb,passed,0.383737,824,562,0.383737,0.500771,0,5,2,562,45,42,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,4.80160868,yes,0.46619470080861447,data4/data5,2,4,3466.9123682974628,yes,6,-0.00094981794,0.0022152956,0.0170523654,0.0265191137,0.0249755245,0.0317827302,2041.16833,2043.21872,0.233459781,0.814889717,0,0
random1,11,contrast01_20260522,msb,passed,0.385385,822,562,0.385385,0.500771,0,5,2,562,45,42,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,4.80160868,yes,0.46619470080861447,data4/data5,2,4,3466.9123682974628,yes,6,-0.00094981794,0.0022152956,0.0170523654,0.0265191137,0.0249755245,0.0317827302,2041.16833,2043.21872,0.233459781,0.814889717,0,0
random1,12,contrast01_20260522,lsb,passed,0.383737,824,620,0.383737,0.472993,0,1,6,620,9,14,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,4.80160868,yes,0.46619470080861447,data4/data5,2,4,3466.9123682974628,yes,6,-0.00094981794,0.0022152956,0.0170523654,0.0265191137,0.0249755245,0.0317827302,2041.16833,2043.21872,0.233459781,0.814889717,0,0
random1,12,contrast01_20260522,msb,passed,0.385385,822,620,0.385385,0.472993,0,1,6,620,9,14,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,4.80160868,yes,0.46619470080861447,data4/data5,2,4,3466.9123682974628,yes,6,-0.00094981794,0.0022152956,0.0170523654,0.0265191137,0.0249755245,0.0317827302,2041.16833,2043.21872,0.233459781,0.814889717,0,0
random3,8,run01,lsb,failed,0.828444,632,721,,0.374385,893,2,2,721,21,18,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,8,run01,msb,failed,0.902345,605,721,,0.374385,893,2,2,721,21,18,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,10,repeat02,lsb,failed,0.828444,632,633,,0.415849,89,6,0,633,55,48,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,10,repeat02,msb,failed,0.902345,605,633,,0.415849,89,6,0,633,55,48,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,10,repeat03_20260522,lsb,failed,0.828444,632,640,,0.414384,108,1,6,631,9,14,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,10,repeat03_20260522,msb,failed,0.902345,605,640,,0.414384,108,1,6,631,9,14,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,10,run01,lsb,failed,0.828444,632,650,,0.415017,106,1,4,650,11,12,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,10,run01,msb,failed,0.902345,605,650,,0.415017,106,1,4,650,11,12,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,11,repeat02,lsb,passed,0.828444,632,588,0.746636,0.469261,0,68,3,588,548,547,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,11,repeat02,msb,passed,0.902345,605,588,0.765014,0.469261,0,68,3,588,548,547,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,11,repeat03_20260522,lsb,passed,0.828444,632,595,0.759914,0.46769,0,0,5,595,2,5,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,11,repeat03_20260522,msb,passed,0.902345,605,595,0.754707,0.46769,0,0,5,595,2,5,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,11,run01,lsb,passed,0.828444,632,583,0.753865,0.469088,0,1,3,583,12,11,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,11,run01,msb,passed,0.902345,605,583,0.743385,0.469088,0,1,3,583,12,11,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,12,repeat02,lsb,passed,0.828444,632,556,0.828444,0.499506,0,118,1,549,950,945,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,12,repeat02,msb,passed,0.902345,605,556,0.813237,0.499506,0,118,1,549,950,945,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,12,repeat03_20260522,lsb,passed,0.828444,632,556,0.828444,0.499348,0,35,0,550,287,280,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,12,repeat03_20260522,msb,passed,0.902345,605,556,0.823278,0.499348,0,35,0,550,287,280,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,12,run01,lsb,passed,0.828444,632,562,0.828444,0.499478,0,88,3,562,708,707,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,12,run01,msb,passed,0.902345,605,562,0.849807,0.499478,0,88,3,562,708,707,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,16,run01,lsb,passed,0.828444,632,549,0.820090,0.499126,0,43,7,547,344,351,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
random3,16,run01,msb,passed,0.902345,605,549,0.868735,0.499126,0,43,7,547,344,351,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,7.9845501,yes,0.6733958183129403,data3/data7,1,3,-824.55552530723,yes,6,-0.000266154517,0.0027277852,0.0155512471,0.0210031195,0.0253172375,0.027615762,2040.62459,2043.01228,0.269406064,1.0456545,0,0
same_column,0,placement01,lsb,failed,0.834502,629,946,,0.407826,0,1,0,946,15,8,formal,10485760.0,0.499930251,6.97493553e-05,0.99979876,0.0,7.86432277,no,,,,,,no,,,,,,,,,,,,,
same_column,0,placement01,msb,failed,0.834068,630,946,,0.407826,0,1,0,946,15,8,formal,10485760.0,0.499930251,6.97493553e-05,0.99979876,0.0,7.86432277,no,,,,,,no,,,,,,,,,,,,,
same_column,12,placement01,lsb,passed,0.834502,629,559,0.834502,0.496483,0,46,2,551,373,370,formal,10485760.0,0.499930251,6.97493553e-05,0.99979876,0.0,7.86432277,no,,,,,,no,,,,,,,,,,,,,
same_column,12,placement01,msb,passed,0.834068,630,559,0.795557,0.496483,0,46,2,551,373,370,formal,10485760.0,0.499930251,6.97493553e-05,0.99979876,0.0,7.86432277,no,,,,,,no,,,,,,,,,,,,,
sparse,0,placement01,lsb,failed,0.742313,666,827,,0.444096,0,1,6,827,9,14,formal,10485760.0,0.464349854,0.035650146,0.900637067,0.0,7.1440609,no,,,,,,no,,,,,,,,,,,,,
sparse,0,placement01,msb,failed,0.734432,669,827,,0.444096,0,1,6,827,9,14,formal,10485760.0,0.464349854,0.035650146,0.900637067,0.0,7.1440609,no,,,,,,no,,,,,,,,,,,,,
sparse,12,placement01,lsb,passed,0.742313,666,603,0.705935,0.456867,0,3,0,603,31,24,formal,10485760.0,0.464349854,0.035650146,0.900637067,0.0,7.1440609,no,,,,,,no,,,,,,,,,,,,,
sparse,12,placement01,msb,passed,0.734432,669,603,0.714726,0.456867,0,3,0,603,31,24,formal,10485760.0,0.464349854,0.035650146,0.900637067,0.0,7.1440609,no,,,,,,no,,,,,,,,,,,,,
