placement,role,bytes_mean,p1_mean,abs_bias_mean,bit_min_entropy_mean,runs_p_mean,adjacent_equal_ratio_mean,byte_min_entropy_mean
checker,formal,10485760.0,0.499929237,7.07626343e-05,0.999795837,0.149267368,0.500078744,7.97278511
checker,repeat,5242880.0,0.499947119,5.28812408e-05,0.999847425,0.239635009,0.500090802,7.96410121
compact,formal,10485760.0,0.499947906,5.20944595e-05,0.999849695,0.263603273,0.499938983,7.97683476
compact,repeat,5242880.0,0.500059223,5.9223175e-05,0.999829128,0.0980423787,0.499872291,7.97347656
cross_region,formal,10485760.0,0.49994415,5.58495522e-05,0.999838861,0.719841022,0.499980432,7.98367919
cross_region,repeat,5242880.0,0.500011396,1.13964081e-05,0.999967117,0.561737791,0.500044811,7.96623289
far,formal,10485760.0,0.491507936,0.00849206448,0.975702835,0.0,0.500726348,7.79616262
far,repeat,5242880.0,0.491642475,0.00835752487,0.976084602,0.0,0.500773513,7.79024204
original_fpga1,repeat,5242880.0,0.500216961,0.000216960907,0.999374119,0.64365765,0.499964392,7.96898809
random1,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,0.556739754,4.80160868
random1,repeat,5242880.0,0.337669373,0.162330627,0.594376522,0.0,0.556682719,4.80477392
random2,formal,10485760.0,0.491222239,0.00877776146,0.974892483,0.0,0.501079673,7.77684296
random2,repeat,5242880.0,0.491030312,0.00896968842,0.974348355,0.0,0.501148617,7.79591799
random3,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.18437283,0.500072473,7.9845501
random3,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076
row,formal,10485760.0,0.473579586,0.0264204144,0.925712657,0.0,0.504303533,7.36645981
row,repeat,5242880.0,0.473337555,0.0266624451,0.925049507,0.0,0.504302442,7.34742388
same_column,formal,10485760.0,0.499930251,6.97493553e-05,0.99979876,0.0,0.505979735,7.86432277
same_column,repeat,5242880.0,0.499835944,0.000164055824,0.999526713,0.0,0.506032288,7.86672933
sparse,formal,10485760.0,0.464349854,0.035650146,0.900637067,0.0,0.506596333,7.1440609
sparse,repeat,5242880.0,0.464140511,0.0358594894,0.900073341,0.0,0.506506574,7.1555296
