run,source,source_format,window_index,packet_start,packet_end,packets,clock_period_ps,bins,phase_pearson_r,bin_pearson_r,diff_mean_ps,diff_std_ps,diff_mean_delta_from_first_ps,diff_mean_delta_from_run_mean_ps,run_diff_mean_ps_slope_per_window,lag_min,lag_max,lag0_phase_pearson_r,best_lag_packets,best_lag_phase_pearson_r,best_lag_abs_phase_pearson_r,strong_lock_window,source_file
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,0,0,16383,16384,5000,256,-0.00789185687,-0.00769319897,-7.82509118,2051.4129,0,-7.82511694,0.190320202,-8,8,-0.00789185687,4,0.0193085016,0.0193085016,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,1,16384,32767,16384,5000,256,0.021806924,0.0220586217,12.7062581,2021.18156,20.5313493,12.7062324,0.190320202,-8,8,0.021806924,0,0.021806924,0.021806924,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,2,32768,49151,16384,5000,256,-0.00550495889,-0.00472063156,10.3429523,2042.04973,18.1680435,10.3429266,0.190320202,-8,8,-0.00550495889,3,0.0135392023,0.0135392023,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,3,49152,65535,16384,5000,256,-0.0097568161,-0.00991972136,-15.4391171,2050.66604,-7.6140259,-15.4391428,0.190320202,-8,8,-0.0097568161,0,-0.0097568161,0.0097568161,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,4,65536,81919,16384,5000,256,0.00146392168,0.00155099383,-15.4732869,2031.6375,-7.64819568,-15.4733126,0.190320202,-8,8,0.00146392168,-4,-0.0122064422,0.0122064422,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,5,81920,98303,16384,5000,256,-0.00246711084,-0.0024608372,-9.02330278,2040.90272,-1.1982116,-9.02332853,0.190320202,-8,8,-0.00246711084,5,0.0148951742,0.0148951742,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,6,98304,114687,16384,5000,256,0.00570067154,0.00584671261,1.91782809,2039.28104,9.74291927,1.91780233,0.190320202,-8,8,0.00570067154,6,0.0232889369,0.0232889369,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,7,114688,131071,16384,5000,256,-0.000454387223,-0.000633650983,3.15747148,2037.49955,10.9825627,3.15744572,0.190320202,-8,8,-0.000454387223,6,0.011130454,0.011130454,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,8,131072,147455,16384,5000,256,-0.013075194,-0.013026556,12.5344116,2063.07005,20.3595028,12.5343858,0.190320202,-8,8,-0.013075194,-3,0.0233716529,0.0233716529,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
tdc_pair_random1_ro0_ro1_repeat02_2mib,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv,csv,9,147456,163839,16384,5000,256,0.00934703491,0.00929954992,-0.0291935816,2041.07358,7.7958976,-0.0292193368,0.190320202,-8,8,0.00934703491,1,0.0175496128,0.0175496128,0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_pairs\analysis_tdc_pair_random1_ro0_ro1_repeat02_2mib\tdc_pair_random1_ro0_ro1_repeat02_2mib.tdc_packets.csv
