byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,464,536,0.464000000,0.036000000,536,7,0,False
0,1,512,488,0.512000000,0.012000000,512,6,1,False
0,2,524,476,0.524000000,0.024000000,524,5,2,False
0,3,498,502,0.498000000,0.002000000,502,4,3,False
0,4,501,499,0.501000000,0.001000000,501,3,4,False
0,5,480,520,0.480000000,0.020000000,520,2,5,False
0,6,493,507,0.493000000,0.007000000,507,1,6,False
0,7,522,478,0.522000000,0.022000000,522,0,7,False
1,0,319,681,0.319000000,0.181000000,681,15,8,False
1,1,404,596,0.404000000,0.096000000,596,14,9,False
1,2,479,521,0.479000000,0.021000000,521,13,10,False
1,3,495,505,0.495000000,0.005000000,505,12,11,False
1,4,519,481,0.519000000,0.019000000,519,11,12,False
1,5,489,511,0.489000000,0.011000000,511,10,13,False
1,6,567,433,0.567000000,0.067000000,567,9,14,False
1,7,559,441,0.559000000,0.059000000,559,8,15,False
2,0,457,543,0.457000000,0.043000000,543,23,16,False
2,1,474,526,0.474000000,0.026000000,526,22,17,False
2,2,516,484,0.516000000,0.016000000,516,21,18,False
2,3,557,443,0.557000000,0.057000000,557,20,19,False
2,4,525,475,0.525000000,0.025000000,525,19,20,False
2,5,496,504,0.496000000,0.004000000,504,18,21,False
2,6,506,494,0.506000000,0.006000000,506,17,22,False
2,7,582,418,0.582000000,0.082000000,582,16,23,False
3,0,477,523,0.477000000,0.023000000,523,31,24,False
3,1,514,486,0.514000000,0.014000000,514,30,25,False
3,2,481,519,0.481000000,0.019000000,519,29,26,False
3,3,521,479,0.521000000,0.021000000,521,28,27,False
3,4,499,501,0.499000000,0.001000000,501,27,28,False
3,5,494,506,0.494000000,0.006000000,506,26,29,False
3,6,526,474,0.526000000,0.026000000,526,25,30,False
3,7,488,512,0.488000000,0.012000000,512,24,31,False
4,0,507,493,0.507000000,0.007000000,507,39,32,False
4,1,507,493,0.507000000,0.007000000,507,38,33,False
4,2,471,529,0.471000000,0.029000000,529,37,34,False
4,3,507,493,0.507000000,0.007000000,507,36,35,False
4,4,479,521,0.479000000,0.021000000,521,35,36,False
4,5,539,461,0.539000000,0.039000000,539,34,37,False
4,6,499,501,0.499000000,0.001000000,501,33,38,False
4,7,479,521,0.479000000,0.021000000,521,32,39,False
5,0,496,504,0.496000000,0.004000000,504,47,40,False
5,1,505,495,0.505000000,0.005000000,505,46,41,False
5,2,492,508,0.492000000,0.008000000,508,45,42,False
5,3,520,480,0.520000000,0.020000000,520,44,43,False
5,4,508,492,0.508000000,0.008000000,508,43,44,False
5,5,474,526,0.474000000,0.026000000,526,42,45,False
5,6,439,561,0.439000000,0.061000000,561,41,46,False
5,7,500,500,0.500000000,0.000000000,500,40,47,False
6,0,501,499,0.501000000,0.001000000,501,55,48,False
6,1,491,509,0.491000000,0.009000000,509,54,49,False
6,2,507,493,0.507000000,0.007000000,507,53,50,False
6,3,507,493,0.507000000,0.007000000,507,52,51,False
6,4,497,503,0.497000000,0.003000000,503,51,52,False
6,5,499,501,0.499000000,0.001000000,501,50,53,False
6,6,489,511,0.489000000,0.011000000,511,49,54,False
