byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
10,0,432,568,0.432000000,0.068000000,568,87,80,False
2,2,434,566,0.434000000,0.066000000,566,21,18,False
60,4,435,565,0.435000000,0.065000000,565,483,484,False
78,0,436,564,0.436000000,0.064000000,564,631,624,False
100,0,437,563,0.437000000,0.063000000,563,807,800,False
117,2,437,563,0.437000000,0.063000000,563,941,938,False
116,5,439,561,0.439000000,0.061000000,561,930,933,False
67,3,442,558,0.442000000,0.058000000,558,540,539,False
2,1,443,557,0.443000000,0.057000000,557,22,17,False
53,5,443,557,0.443000000,0.057000000,557,426,429,False
63,0,443,557,0.443000000,0.057000000,557,511,504,False
1,7,444,556,0.444000000,0.056000000,556,8,15,False
16,2,445,555,0.445000000,0.055000000,555,133,130,False
33,2,445,555,0.445000000,0.055000000,555,269,266,False
66,4,445,555,0.445000000,0.055000000,555,531,532,False
122,0,445,555,0.445000000,0.055000000,555,983,976,False
85,4,446,554,0.446000000,0.054000000,554,683,684,False
117,7,447,553,0.447000000,0.053000000,553,936,943,False
119,0,447,553,0.447000000,0.053000000,553,959,952,False
12,0,448,552,0.448000000,0.052000000,552,103,96,False
82,6,448,552,0.448000000,0.052000000,552,657,662,False
53,2,449,551,0.449000000,0.051000000,551,429,426,False
82,7,449,551,0.449000000,0.051000000,551,656,663,False
92,4,449,551,0.449000000,0.051000000,551,739,740,False
35,6,450,550,0.450000000,0.050000000,550,281,286,False
48,3,450,550,0.450000000,0.050000000,550,388,387,False
57,6,450,550,0.450000000,0.050000000,550,457,462,False
68,3,450,550,0.450000000,0.050000000,550,548,547,False
80,5,450,550,0.450000000,0.050000000,550,642,645,False
82,0,450,550,0.450000000,0.050000000,550,663,656,False
12,3,451,549,0.451000000,0.049000000,549,100,99,False
53,1,451,549,0.451000000,0.049000000,549,430,425,False
