byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
1,5,287,713,0.287000000,0.213000000,713,10,13,False
2,7,630,370,0.630000000,0.130000000,630,16,23,False
1,7,577,423,0.577000000,0.077000000,577,8,15,False
0,0,425,575,0.425000000,0.075000000,575,7,0,False
1,0,570,430,0.570000000,0.070000000,570,15,8,False
1,4,570,430,0.570000000,0.070000000,570,11,12,False
1,6,435,565,0.435000000,0.065000000,565,9,14,False
104,1,447,553,0.447000000,0.053000000,553,838,833,False
2,6,552,448,0.552000000,0.052000000,552,17,22,False
3,3,551,449,0.551000000,0.051000000,551,28,27,False
80,0,547,453,0.547000000,0.047000000,547,647,640,False
1,3,546,454,0.546000000,0.046000000,546,12,11,False
5,5,546,454,0.546000000,0.046000000,546,42,45,False
66,0,544,456,0.544000000,0.044000000,544,535,528,False
95,0,543,457,0.543000000,0.043000000,543,767,760,False
101,0,543,457,0.543000000,0.043000000,543,815,808,False
37,5,542,458,0.542000000,0.042000000,542,298,301,False
116,7,542,458,0.542000000,0.042000000,542,928,935,False
1,2,541,459,0.541000000,0.041000000,541,13,10,False
9,5,459,541,0.459000000,0.041000000,541,74,77,False
4,5,460,540,0.460000000,0.040000000,540,34,37,False
48,7,460,540,0.460000000,0.040000000,540,384,391,False
76,0,540,460,0.540000000,0.040000000,540,615,608,False
27,2,539,461,0.539000000,0.039000000,539,221,218,False
29,5,461,539,0.461000000,0.039000000,539,234,237,False
39,2,539,461,0.539000000,0.039000000,539,317,314,False
47,0,539,461,0.539000000,0.039000000,539,383,376,False
14,6,462,538,0.462000000,0.038000000,538,113,118,False
65,3,538,462,0.538000000,0.038000000,538,524,523,False
107,1,462,538,0.462000000,0.038000000,538,862,857,False
51,4,463,537,0.463000000,0.037000000,537,411,412,False
54,5,463,537,0.463000000,0.037000000,537,434,437,False
