byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,505,495,0.505000000,0.005000000,505,7,0,False
0,1,499,501,0.499000000,0.001000000,501,6,1,False
0,2,477,523,0.477000000,0.023000000,523,5,2,False
0,3,499,501,0.499000000,0.001000000,501,4,3,False
0,4,497,503,0.497000000,0.003000000,503,3,4,False
0,5,478,522,0.478000000,0.022000000,522,2,5,False
0,6,528,472,0.528000000,0.028000000,528,1,6,False
0,7,518,482,0.518000000,0.018000000,518,0,7,False
1,0,505,495,0.505000000,0.005000000,505,15,8,False
1,1,495,505,0.495000000,0.005000000,505,14,9,False
1,2,529,471,0.529000000,0.029000000,529,13,10,False
1,3,481,519,0.481000000,0.019000000,519,12,11,False
1,4,490,510,0.490000000,0.010000000,510,11,12,False
1,5,498,502,0.498000000,0.002000000,502,10,13,False
1,6,491,509,0.491000000,0.009000000,509,9,14,False
1,7,513,487,0.513000000,0.013000000,513,8,15,False
2,0,474,526,0.474000000,0.026000000,526,23,16,False
2,1,478,522,0.478000000,0.022000000,522,22,17,False
2,2,472,528,0.472000000,0.028000000,528,21,18,False
2,3,499,501,0.499000000,0.001000000,501,20,19,False
2,4,514,486,0.514000000,0.014000000,514,19,20,False
2,5,499,501,0.499000000,0.001000000,501,18,21,False
2,6,520,480,0.520000000,0.020000000,520,17,22,False
2,7,512,488,0.512000000,0.012000000,512,16,23,False
3,0,511,489,0.511000000,0.011000000,511,31,24,False
3,1,499,501,0.499000000,0.001000000,501,30,25,False
3,2,491,509,0.491000000,0.009000000,509,29,26,False
3,3,489,511,0.489000000,0.011000000,511,28,27,False
3,4,504,496,0.504000000,0.004000000,504,27,28,False
3,5,492,508,0.492000000,0.008000000,508,26,29,False
3,6,505,495,0.505000000,0.005000000,505,25,30,False
3,7,502,498,0.502000000,0.002000000,502,24,31,False
4,0,484,516,0.484000000,0.016000000,516,39,32,False
4,1,465,535,0.465000000,0.035000000,535,38,33,False
4,2,515,485,0.515000000,0.015000000,515,37,34,False
4,3,501,499,0.501000000,0.001000000,501,36,35,False
4,4,461,539,0.461000000,0.039000000,539,35,36,False
4,5,499,501,0.499000000,0.001000000,501,34,37,False
4,6,478,522,0.478000000,0.022000000,522,33,38,False
4,7,496,504,0.496000000,0.004000000,504,32,39,False
5,0,506,494,0.506000000,0.006000000,506,47,40,False
5,1,511,489,0.511000000,0.011000000,511,46,41,False
5,2,503,497,0.503000000,0.003000000,503,45,42,False
5,3,486,514,0.486000000,0.014000000,514,44,43,False
