byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,320,680,0.320000000,0.180000000,680,7,0,False
0,1,508,492,0.508000000,0.008000000,508,6,1,False
0,2,489,511,0.489000000,0.011000000,511,5,2,False
0,3,507,493,0.507000000,0.007000000,507,4,3,False
0,4,499,501,0.499000000,0.001000000,501,3,4,False
0,5,519,481,0.519000000,0.019000000,519,2,5,False
0,6,501,499,0.501000000,0.001000000,501,1,6,False
0,7,492,508,0.492000000,0.008000000,508,0,7,False
1,0,562,438,0.562000000,0.062000000,562,15,8,False
1,1,504,496,0.504000000,0.004000000,504,14,9,False
1,2,466,534,0.466000000,0.034000000,534,13,10,False
1,3,413,587,0.413000000,0.087000000,587,12,11,False
1,4,435,565,0.435000000,0.065000000,565,11,12,False
1,5,462,538,0.462000000,0.038000000,538,10,13,False
1,6,519,481,0.519000000,0.019000000,519,9,14,False
1,7,570,430,0.570000000,0.070000000,570,8,15,False
2,0,515,485,0.515000000,0.015000000,515,23,16,False
2,1,513,487,0.513000000,0.013000000,513,22,17,False
2,2,499,501,0.499000000,0.001000000,501,21,18,False
2,3,413,587,0.413000000,0.087000000,587,20,19,False
2,4,469,531,0.469000000,0.031000000,531,19,20,False
2,5,449,551,0.449000000,0.051000000,551,18,21,False
2,6,497,503,0.497000000,0.003000000,503,17,22,False
2,7,599,401,0.599000000,0.099000000,599,16,23,False
3,0,509,491,0.509000000,0.009000000,509,31,24,False
3,1,501,499,0.501000000,0.001000000,501,30,25,False
3,2,488,512,0.488000000,0.012000000,512,29,26,False
3,3,510,490,0.510000000,0.010000000,510,28,27,False
3,4,521,479,0.521000000,0.021000000,521,27,28,False
3,5,486,514,0.486000000,0.014000000,514,26,29,False
3,6,489,511,0.489000000,0.011000000,511,25,30,False
3,7,493,507,0.493000000,0.007000000,507,24,31,False
4,0,517,483,0.517000000,0.017000000,517,39,32,False
4,1,522,478,0.522000000,0.022000000,522,38,33,False
4,2,484,516,0.484000000,0.016000000,516,37,34,False
4,3,519,481,0.519000000,0.019000000,519,36,35,False
4,4,504,496,0.504000000,0.004000000,504,35,36,False
4,5,486,514,0.486000000,0.014000000,514,34,37,False
4,6,487,513,0.487000000,0.013000000,513,33,38,False
4,7,481,519,0.481000000,0.019000000,519,32,39,False
5,0,497,503,0.497000000,0.003000000,503,47,40,False
5,1,535,465,0.535000000,0.035000000,535,46,41,False
5,2,517,483,0.517000000,0.017000000,517,45,42,False
5,3,501,499,0.501000000,0.001000000,501,44,43,False
5,4,477,523,0.477000000,0.023000000,523,43,44,False
5,5,509,491,0.509000000,0.009000000,509,42,45,False
5,6,489,511,0.489000000,0.011000000,511,41,46,False
5,7,492,508,0.492000000,0.008000000,508,40,47,False
6,0,496,504,0.496000000,0.004000000,504,55,48,False
6,1,506,494,0.506000000,0.006000000,506,54,49,False
6,2,512,488,0.512000000,0.012000000,512,53,50,False
6,3,493,507,0.493000000,0.007000000,507,52,51,False
6,4,491,509,0.491000000,0.009000000,509,51,52,False
6,5,512,488,0.512000000,0.012000000,512,50,53,False
6,6,523,477,0.523000000,0.023000000,523,49,54,False
