byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,320,680,0.320000000,0.180000000,680,7,0,False
2,7,599,401,0.599000000,0.099000000,599,16,23,False
1,3,413,587,0.413000000,0.087000000,587,12,11,False
2,3,413,587,0.413000000,0.087000000,587,20,19,False
1,7,570,430,0.570000000,0.070000000,570,8,15,False
1,4,435,565,0.435000000,0.065000000,565,11,12,False
1,0,562,438,0.562000000,0.062000000,562,15,8,False
100,5,448,552,0.448000000,0.052000000,552,802,805,False
2,5,449,551,0.449000000,0.051000000,551,18,21,False
33,5,452,548,0.452000000,0.048000000,548,266,269,False
81,5,548,452,0.548000000,0.048000000,548,650,653,False
22,5,453,547,0.453000000,0.047000000,547,178,181,False
31,6,547,453,0.547000000,0.047000000,547,249,254,False
47,3,546,454,0.546000000,0.046000000,546,380,379,False
26,6,456,544,0.456000000,0.044000000,544,209,214,False
43,0,460,540,0.460000000,0.040000000,540,351,344,False
56,1,460,540,0.460000000,0.040000000,540,454,449,False
81,0,540,460,0.540000000,0.040000000,540,655,648,False
121,6,540,460,0.540000000,0.040000000,540,969,974,False
38,6,461,539,0.461000000,0.039000000,539,305,310,False
107,0,461,539,0.461000000,0.039000000,539,863,856,False
108,3,461,539,0.461000000,0.039000000,539,868,867,False
1,5,462,538,0.462000000,0.038000000,538,10,13,False
70,2,538,462,0.538000000,0.038000000,538,565,562,False
70,4,462,538,0.462000000,0.038000000,538,563,564,False
83,3,463,537,0.463000000,0.037000000,537,668,667,False
9,6,536,464,0.536000000,0.036000000,536,73,78,False
11,5,536,464,0.536000000,0.036000000,536,90,93,False
56,2,464,536,0.464000000,0.036000000,536,453,450,False
59,0,464,536,0.464000000,0.036000000,536,479,472,False
72,2,536,464,0.536000000,0.036000000,536,581,578,False
85,5,536,464,0.536000000,0.036000000,536,682,685,False
