byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
5,2,562,438,0.562000000,0.062000000,562,45,42,False
61,5,448,552,0.448000000,0.052000000,552,490,493,False
53,0,449,551,0.449000000,0.051000000,551,431,424,False
81,0,550,450,0.550000000,0.050000000,550,655,648,False
93,0,550,450,0.550000000,0.050000000,550,751,744,False
92,1,549,451,0.549000000,0.049000000,549,742,737,False
22,1,453,547,0.453000000,0.047000000,547,182,177,False
96,6,453,547,0.453000000,0.047000000,547,769,774,False
103,6,547,453,0.547000000,0.047000000,547,825,830,False
97,5,454,546,0.454000000,0.046000000,546,778,781,False
54,0,455,545,0.455000000,0.045000000,545,439,432,False
38,4,457,543,0.457000000,0.043000000,543,307,308,False
105,1,543,457,0.543000000,0.043000000,543,846,841,False
55,5,542,458,0.542000000,0.042000000,542,442,445,False
92,2,542,458,0.542000000,0.042000000,542,741,738,False
38,5,541,459,0.541000000,0.041000000,541,306,309,False
116,0,459,541,0.459000000,0.041000000,541,935,928,False
57,4,460,540,0.460000000,0.040000000,540,459,460,False
5,6,461,539,0.461000000,0.039000000,539,41,46,False
46,6,539,461,0.539000000,0.039000000,539,369,374,False
53,3,461,539,0.461000000,0.039000000,539,428,427,False
75,0,461,539,0.461000000,0.039000000,539,607,600,False
36,2,538,462,0.538000000,0.038000000,538,293,290,False
51,5,537,463,0.537000000,0.037000000,537,410,413,False
71,3,463,537,0.463000000,0.037000000,537,572,571,False
110,2,463,537,0.463000000,0.037000000,537,885,882,False
19,2,536,464,0.536000000,0.036000000,536,157,154,False
56,5,536,464,0.536000000,0.036000000,536,450,453,False
61,4,464,536,0.464000000,0.036000000,536,491,492,False
74,5,464,536,0.464000000,0.036000000,536,594,597,False
122,1,536,464,0.536000000,0.036000000,536,982,977,False
2,5,535,465,0.535000000,0.035000000,535,18,21,False
