byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,486,514,0.486000000,0.014000000,514,7,0,False
0,1,448,552,0.448000000,0.052000000,552,6,1,False
0,2,441,559,0.441000000,0.059000000,559,5,2,False
0,3,457,543,0.457000000,0.043000000,543,4,3,False
0,4,493,507,0.493000000,0.007000000,507,3,4,False
0,5,432,568,0.432000000,0.068000000,568,2,5,False
0,6,428,572,0.428000000,0.072000000,572,1,6,False
0,7,462,538,0.462000000,0.038000000,538,0,7,False
1,0,442,558,0.442000000,0.058000000,558,15,8,False
1,1,443,557,0.443000000,0.057000000,557,14,9,False
1,2,464,536,0.464000000,0.036000000,536,13,10,False
1,3,430,570,0.430000000,0.070000000,570,12,11,False
1,4,440,560,0.440000000,0.060000000,560,11,12,False
1,5,473,527,0.473000000,0.027000000,527,10,13,False
1,6,460,540,0.460000000,0.040000000,540,9,14,False
1,7,419,581,0.419000000,0.081000000,581,8,15,False
2,0,455,545,0.455000000,0.045000000,545,23,16,False
2,1,470,530,0.470000000,0.030000000,530,22,17,False
2,2,476,524,0.476000000,0.024000000,524,21,18,False
2,3,484,516,0.484000000,0.016000000,516,20,19,False
2,4,471,529,0.471000000,0.029000000,529,19,20,False
2,5,457,543,0.457000000,0.043000000,543,18,21,False
2,6,457,543,0.457000000,0.043000000,543,17,22,False
2,7,451,549,0.451000000,0.049000000,549,16,23,False
3,0,446,554,0.446000000,0.054000000,554,31,24,False
3,1,484,516,0.484000000,0.016000000,516,30,25,False
3,2,464,536,0.464000000,0.036000000,536,29,26,False
3,3,470,530,0.470000000,0.030000000,530,28,27,False
3,4,476,524,0.476000000,0.024000000,524,27,28,False
3,5,447,553,0.447000000,0.053000000,553,26,29,False
3,6,454,546,0.454000000,0.046000000,546,25,30,False
3,7,423,577,0.423000000,0.077000000,577,24,31,False
4,0,435,565,0.435000000,0.065000000,565,39,32,False
4,1,441,559,0.441000000,0.059000000,559,38,33,False
4,2,436,564,0.436000000,0.064000000,564,37,34,False
4,3,471,529,0.471000000,0.029000000,529,36,35,False
4,4,452,548,0.452000000,0.048000000,548,35,36,False
4,5,435,565,0.435000000,0.065000000,565,34,37,False
4,6,463,537,0.463000000,0.037000000,537,33,38,False
4,7,444,556,0.444000000,0.056000000,556,32,39,False
5,0,471,529,0.471000000,0.029000000,529,47,40,False
5,1,464,536,0.464000000,0.036000000,536,46,41,False
5,2,471,529,0.471000000,0.029000000,529,45,42,False
5,3,474,526,0.474000000,0.026000000,526,44,43,False
5,4,485,515,0.485000000,0.015000000,515,43,44,False
5,5,442,558,0.442000000,0.058000000,558,42,45,False
5,6,441,559,0.441000000,0.059000000,559,41,46,False
5,7,437,563,0.437000000,0.063000000,563,40,47,False
6,0,459,541,0.459000000,0.041000000,541,55,48,False
6,1,446,554,0.446000000,0.054000000,554,54,49,False
6,2,470,530,0.470000000,0.030000000,530,53,50,False
6,3,441,559,0.441000000,0.059000000,559,52,51,False
6,4,458,542,0.458000000,0.042000000,542,51,52,False
6,5,464,536,0.464000000,0.036000000,536,50,53,False
6,6,462,538,0.462000000,0.038000000,538,49,54,False
6,7,443,557,0.443000000,0.057000000,557,48,55,False
7,0,457,543,0.457000000,0.043000000,543,63,56,False
7,1,430,570,0.430000000,0.070000000,570,62,57,False
7,2,461,539,0.461000000,0.039000000,539,61,58,False
7,3,467,533,0.467000000,0.033000000,533,60,59,False
7,4,445,555,0.445000000,0.055000000,555,59,60,False
7,5,464,536,0.464000000,0.036000000,536,58,61,False
7,6,472,528,0.472000000,0.028000000,528,57,62,False
7,7,469,531,0.469000000,0.031000000,531,56,63,False
8,0,451,549,0.451000000,0.049000000,549,71,64,False
8,1,409,591,0.409000000,0.091000000,591,70,65,False
8,2,440,560,0.440000000,0.060000000,560,69,66,False
8,3,433,567,0.433000000,0.067000000,567,68,67,False
8,4,459,541,0.459000000,0.041000000,541,67,68,False
8,5,442,558,0.442000000,0.058000000,558,66,69,False
8,6,449,551,0.449000000,0.051000000,551,65,70,False
8,7,432,568,0.432000000,0.068000000,568,64,71,False
9,0,453,547,0.453000000,0.047000000,547,79,72,False
9,1,433,567,0.433000000,0.067000000,567,78,73,False
9,2,454,546,0.454000000,0.046000000,546,77,74,False
9,3,496,504,0.496000000,0.004000000,504,76,75,False
9,4,435,565,0.435000000,0.065000000,565,75,76,False
9,5,470,530,0.470000000,0.030000000,530,74,77,False
9,6,454,546,0.454000000,0.046000000,546,73,78,False
9,7,446,554,0.446000000,0.054000000,554,72,79,False
10,0,435,565,0.435000000,0.065000000,565,87,80,False
10,1,486,514,0.486000000,0.014000000,514,86,81,False
10,2,462,538,0.462000000,0.038000000,538,85,82,False
10,3,451,549,0.451000000,0.049000000,549,84,83,False
10,4,435,565,0.435000000,0.065000000,565,83,84,False
10,5,466,534,0.466000000,0.034000000,534,82,85,False
10,6,455,545,0.455000000,0.045000000,545,81,86,False
10,7,473,527,0.473000000,0.027000000,527,80,87,False
11,0,435,565,0.435000000,0.065000000,565,95,88,False
11,1,445,555,0.445000000,0.055000000,555,94,89,False
11,2,421,579,0.421000000,0.079000000,579,93,90,False
11,3,436,564,0.436000000,0.064000000,564,92,91,False
11,4,451,549,0.451000000,0.049000000,549,91,92,False
11,5,455,545,0.455000000,0.045000000,545,90,93,False
11,6,491,509,0.491000000,0.009000000,509,89,94,False
11,7,470,530,0.470000000,0.030000000,530,88,95,False
12,0,445,555,0.445000000,0.055000000,555,103,96,False
12,1,444,556,0.444000000,0.056000000,556,102,97,False
12,2,465,535,0.465000000,0.035000000,535,101,98,False
12,3,464,536,0.464000000,0.036000000,536,100,99,False
12,4,421,579,0.421000000,0.079000000,579,99,100,False
12,5,457,543,0.457000000,0.043000000,543,98,101,False
12,6,444,556,0.444000000,0.056000000,556,97,102,False
12,7,479,521,0.479000000,0.021000000,521,96,103,False
13,0,462,538,0.462000000,0.038000000,538,111,104,False
13,1,454,546,0.454000000,0.046000000,546,110,105,False
13,2,454,546,0.454000000,0.046000000,546,109,106,False
13,3,461,539,0.461000000,0.039000000,539,108,107,False
13,4,472,528,0.472000000,0.028000000,528,107,108,False
13,5,449,551,0.449000000,0.051000000,551,106,109,False
13,6,462,538,0.462000000,0.038000000,538,105,110,False
13,7,435,565,0.435000000,0.065000000,565,104,111,False
14,0,441,559,0.441000000,0.059000000,559,119,112,False
14,1,445,555,0.445000000,0.055000000,555,118,113,False
14,2,445,555,0.445000000,0.055000000,555,117,114,False
14,3,437,563,0.437000000,0.063000000,563,116,115,False
14,4,450,550,0.450000000,0.050000000,550,115,116,False
14,5,455,545,0.455000000,0.045000000,545,114,117,False
14,6,450,550,0.450000000,0.050000000,550,113,118,False
14,7,453,547,0.453000000,0.047000000,547,112,119,False
15,0,457,543,0.457000000,0.043000000,543,127,120,False
15,1,490,510,0.490000000,0.010000000,510,126,121,False
15,2,453,547,0.453000000,0.047000000,547,125,122,False
15,3,459,541,0.459000000,0.041000000,541,124,123,False
15,4,442,558,0.442000000,0.058000000,558,123,124,False
15,5,463,537,0.463000000,0.037000000,537,122,125,False
15,6,484,516,0.484000000,0.016000000,516,121,126,False
15,7,454,546,0.454000000,0.046000000,546,120,127,False
16,0,456,544,0.456000000,0.044000000,544,135,128,False
16,1,422,578,0.422000000,0.078000000,578,134,129,False
16,2,467,533,0.467000000,0.033000000,533,133,130,False
16,3,464,536,0.464000000,0.036000000,536,132,131,False
16,4,475,525,0.475000000,0.025000000,525,131,132,False
16,5,455,545,0.455000000,0.045000000,545,130,133,False
16,6,462,538,0.462000000,0.038000000,538,129,134,False
16,7,418,582,0.418000000,0.082000000,582,128,135,False
17,0,426,574,0.426000000,0.074000000,574,143,136,False
17,1,454,546,0.454000000,0.046000000,546,142,137,False
17,2,456,544,0.456000000,0.044000000,544,141,138,False
17,3,446,554,0.446000000,0.054000000,554,140,139,False
17,4,472,528,0.472000000,0.028000000,528,139,140,False
17,5,445,555,0.445000000,0.055000000,555,138,141,False
17,6,485,515,0.485000000,0.015000000,515,137,142,False
17,7,460,540,0.460000000,0.040000000,540,136,143,False
18,0,469,531,0.469000000,0.031000000,531,151,144,False
18,1,485,515,0.485000000,0.015000000,515,150,145,False
18,2,456,544,0.456000000,0.044000000,544,149,146,False
18,3,456,544,0.456000000,0.044000000,544,148,147,False
18,4,457,543,0.457000000,0.043000000,543,147,148,False
18,5,435,565,0.435000000,0.065000000,565,146,149,False
18,6,436,564,0.436000000,0.064000000,564,145,150,False
18,7,464,536,0.464000000,0.036000000,536,144,151,False
19,0,464,536,0.464000000,0.036000000,536,159,152,False
19,1,446,554,0.446000000,0.054000000,554,158,153,False
19,2,443,557,0.443000000,0.057000000,557,157,154,False
19,3,484,516,0.484000000,0.016000000,516,156,155,False
19,4,462,538,0.462000000,0.038000000,538,155,156,False
19,5,453,547,0.453000000,0.047000000,547,154,157,False
19,6,459,541,0.459000000,0.041000000,541,153,158,False
19,7,449,551,0.449000000,0.051000000,551,152,159,False
20,0,437,563,0.437000000,0.063000000,563,167,160,False
20,1,454,546,0.454000000,0.046000000,546,166,161,False
20,2,484,516,0.484000000,0.016000000,516,165,162,False
20,3,442,558,0.442000000,0.058000000,558,164,163,False
20,4,442,558,0.442000000,0.058000000,558,163,164,False
20,5,437,563,0.437000000,0.063000000,563,162,165,False
20,6,491,509,0.491000000,0.009000000,509,161,166,False
20,7,424,576,0.424000000,0.076000000,576,160,167,False
21,0,437,563,0.437000000,0.063000000,563,175,168,False
21,1,457,543,0.457000000,0.043000000,543,174,169,False
21,2,483,517,0.483000000,0.017000000,517,173,170,False
21,3,447,553,0.447000000,0.053000000,553,172,171,False
21,4,452,548,0.452000000,0.048000000,548,171,172,False
21,5,478,522,0.478000000,0.022000000,522,170,173,False
21,6,432,568,0.432000000,0.068000000,568,169,174,False
21,7,453,547,0.453000000,0.047000000,547,168,175,False
22,0,479,521,0.479000000,0.021000000,521,183,176,False
22,1,423,577,0.423000000,0.077000000,577,182,177,False
22,2,476,524,0.476000000,0.024000000,524,181,178,False
22,3,452,548,0.452000000,0.048000000,548,180,179,False
22,4,436,564,0.436000000,0.064000000,564,179,180,False
22,5,470,530,0.470000000,0.030000000,530,178,181,False
22,6,486,514,0.486000000,0.014000000,514,177,182,False
22,7,467,533,0.467000000,0.033000000,533,176,183,False
23,0,472,528,0.472000000,0.028000000,528,191,184,False
23,1,441,559,0.441000000,0.059000000,559,190,185,False
23,2,471,529,0.471000000,0.029000000,529,189,186,False
23,3,453,547,0.453000000,0.047000000,547,188,187,False
23,4,430,570,0.430000000,0.070000000,570,187,188,False
23,5,466,534,0.466000000,0.034000000,534,186,189,False
23,6,459,541,0.459000000,0.041000000,541,185,190,False
23,7,442,558,0.442000000,0.058000000,558,184,191,False
24,0,484,516,0.484000000,0.016000000,516,199,192,False
24,1,471,529,0.471000000,0.029000000,529,198,193,False
24,2,463,537,0.463000000,0.037000000,537,197,194,False
24,3,432,568,0.432000000,0.068000000,568,196,195,False
24,4,449,551,0.449000000,0.051000000,551,195,196,False
24,5,453,547,0.453000000,0.047000000,547,194,197,False
24,6,446,554,0.446000000,0.054000000,554,193,198,False
24,7,458,542,0.458000000,0.042000000,542,192,199,False
