byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,358,642,0.358000000,0.142000000,642,7,0,True
0,1,520,480,0.520000000,0.020000000,520,6,1,False
0,2,485,515,0.485000000,0.015000000,515,5,2,False
0,3,517,483,0.517000000,0.017000000,517,4,3,False
0,4,493,507,0.493000000,0.007000000,507,3,4,False
0,5,511,489,0.511000000,0.011000000,511,2,5,False
0,6,514,486,0.514000000,0.014000000,514,1,6,False
0,7,459,541,0.459000000,0.041000000,541,0,7,False
1,0,572,428,0.572000000,0.072000000,572,15,8,False
1,1,516,484,0.516000000,0.016000000,516,14,9,False
1,2,487,513,0.487000000,0.013000000,513,13,10,False
1,3,506,494,0.506000000,0.006000000,506,12,11,False
1,4,441,559,0.441000000,0.059000000,559,11,12,False
1,5,481,519,0.481000000,0.019000000,519,10,13,False
1,6,532,468,0.532000000,0.032000000,532,9,14,False
1,7,503,497,0.503000000,0.003000000,503,8,15,False
2,0,500,500,0.500000000,0.000000000,500,23,16,False
2,1,513,487,0.513000000,0.013000000,513,22,17,False
2,2,477,523,0.477000000,0.023000000,523,21,18,False
2,3,518,482,0.518000000,0.018000000,518,20,19,False
2,4,502,498,0.502000000,0.002000000,502,19,20,False
2,5,515,485,0.515000000,0.015000000,515,18,21,False
2,6,497,503,0.497000000,0.003000000,503,17,22,False
2,7,680,320,0.680000000,0.180000000,680,16,23,True
3,0,507,493,0.507000000,0.007000000,507,31,24,False
3,1,493,507,0.493000000,0.007000000,507,30,25,False
3,2,514,486,0.514000000,0.014000000,514,29,26,False
3,3,500,500,0.500000000,0.000000000,500,28,27,False
3,4,504,496,0.504000000,0.004000000,504,27,28,False
3,5,469,531,0.469000000,0.031000000,531,26,29,False
3,6,522,478,0.522000000,0.022000000,522,25,30,False
3,7,491,509,0.491000000,0.009000000,509,24,31,False
4,0,526,474,0.526000000,0.026000000,526,39,32,False
4,1,480,520,0.480000000,0.020000000,520,38,33,False
4,2,505,495,0.505000000,0.005000000,505,37,34,False
4,3,508,492,0.508000000,0.008000000,508,36,35,False
4,4,502,498,0.502000000,0.002000000,502,35,36,False
4,5,511,489,0.511000000,0.011000000,511,34,37,False
4,6,509,491,0.509000000,0.009000000,509,33,38,False
4,7,495,505,0.495000000,0.005000000,505,32,39,False
5,0,503,497,0.503000000,0.003000000,503,47,40,False
5,1,487,513,0.487000000,0.013000000,513,46,41,False
5,2,488,512,0.488000000,0.012000000,512,45,42,False
5,3,524,476,0.524000000,0.024000000,524,44,43,False
