byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,510,490,0.510000000,0.010000000,510,7,0,False
0,1,480,520,0.480000000,0.020000000,520,6,1,False
0,2,492,508,0.492000000,0.008000000,508,5,2,False
0,3,467,533,0.467000000,0.033000000,533,4,3,False
0,4,497,503,0.497000000,0.003000000,503,3,4,False
0,5,500,500,0.500000000,0.000000000,500,2,5,False
0,6,516,484,0.516000000,0.016000000,516,1,6,False
0,7,484,516,0.484000000,0.016000000,516,0,7,False
1,0,520,480,0.520000000,0.020000000,520,15,8,False
1,1,521,479,0.521000000,0.021000000,521,14,9,False
1,2,511,489,0.511000000,0.011000000,511,13,10,False
1,3,515,485,0.515000000,0.015000000,515,12,11,False
1,4,500,500,0.500000000,0.000000000,500,11,12,False
1,5,499,501,0.499000000,0.001000000,501,10,13,False
1,6,517,483,0.517000000,0.017000000,517,9,14,False
1,7,463,537,0.463000000,0.037000000,537,8,15,False
2,0,485,515,0.485000000,0.015000000,515,23,16,False
2,1,505,495,0.505000000,0.005000000,505,22,17,False
2,2,497,503,0.497000000,0.003000000,503,21,18,False
2,3,483,517,0.483000000,0.017000000,517,20,19,False
2,4,494,506,0.494000000,0.006000000,506,19,20,False
2,5,512,488,0.512000000,0.012000000,512,18,21,False
2,6,516,484,0.516000000,0.016000000,516,17,22,False
2,7,520,480,0.520000000,0.020000000,520,16,23,False
3,0,526,474,0.526000000,0.026000000,526,31,24,False
3,1,507,493,0.507000000,0.007000000,507,30,25,False
3,2,485,515,0.485000000,0.015000000,515,29,26,False
3,3,491,509,0.491000000,0.009000000,509,28,27,False
3,4,465,535,0.465000000,0.035000000,535,27,28,False
3,5,498,502,0.498000000,0.002000000,502,26,29,False
3,6,499,501,0.499000000,0.001000000,501,25,30,False
3,7,493,507,0.493000000,0.007000000,507,24,31,False
4,0,495,505,0.495000000,0.005000000,505,39,32,False
4,1,495,505,0.495000000,0.005000000,505,38,33,False
4,2,514,486,0.514000000,0.014000000,514,37,34,False
4,3,512,488,0.512000000,0.012000000,512,36,35,False
4,4,513,487,0.513000000,0.013000000,513,35,36,False
4,5,517,483,0.517000000,0.017000000,517,34,37,False
4,6,509,491,0.509000000,0.009000000,509,33,38,False
4,7,509,491,0.509000000,0.009000000,509,32,39,False
5,0,482,518,0.482000000,0.018000000,518,47,40,False
5,1,511,489,0.511000000,0.011000000,511,46,41,False
5,2,495,505,0.495000000,0.005000000,505,45,42,False
5,3,507,493,0.507000000,0.007000000,507,44,43,False
5,4,510,490,0.510000000,0.010000000,510,43,44,False
5,5,491,509,0.491000000,0.009000000,509,42,45,False
5,6,516,484,0.516000000,0.016000000,516,41,46,False
5,7,474,526,0.474000000,0.026000000,526,40,47,False
