byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
118,1,451,549,0.451000000,0.049000000,549,950,945,False
11,3,548,452,0.548000000,0.048000000,548,92,91,False
44,7,452,548,0.452000000,0.048000000,548,352,359,False
97,2,548,452,0.548000000,0.048000000,548,781,778,False
18,7,453,547,0.453000000,0.047000000,547,144,151,False
70,7,455,545,0.455000000,0.045000000,545,560,567,False
7,4,541,459,0.541000000,0.041000000,541,59,60,False
56,7,459,541,0.459000000,0.041000000,541,448,455,False
59,3,540,460,0.540000000,0.040000000,540,476,475,False
111,2,540,460,0.540000000,0.040000000,540,893,890,False
41,2,461,539,0.461000000,0.039000000,539,333,330,False
61,0,539,461,0.539000000,0.039000000,539,495,488,False
102,3,539,461,0.539000000,0.039000000,539,820,819,False
7,3,538,462,0.538000000,0.038000000,538,60,59,False
23,3,538,462,0.538000000,0.038000000,538,188,187,False
38,4,462,538,0.462000000,0.038000000,538,307,308,False
55,7,538,462,0.538000000,0.038000000,538,440,447,False
1,7,463,537,0.463000000,0.037000000,537,8,15,False
19,4,537,463,0.537000000,0.037000000,537,155,156,False
46,3,463,537,0.463000000,0.037000000,537,372,371,False
62,4,537,463,0.537000000,0.037000000,537,499,500,False
64,1,463,537,0.463000000,0.037000000,537,518,513,False
48,7,464,536,0.464000000,0.036000000,536,384,391,False
50,5,464,536,0.464000000,0.036000000,536,402,405,False
95,5,464,536,0.464000000,0.036000000,536,762,765,False
108,1,464,536,0.464000000,0.036000000,536,870,865,False
3,4,465,535,0.465000000,0.035000000,535,27,28,False
6,2,465,535,0.465000000,0.035000000,535,53,50,False
12,0,465,535,0.465000000,0.035000000,535,103,96,False
12,4,465,535,0.465000000,0.035000000,535,99,100,False
13,1,465,535,0.465000000,0.035000000,535,110,105,False
57,6,465,535,0.465000000,0.035000000,535,457,462,False
