byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
43,7,547,453,0.547000000,0.047000000,547,344,351,False
20,7,543,457,0.543000000,0.043000000,543,160,167,False
43,6,542,458,0.542000000,0.042000000,542,345,350,False
26,0,459,541,0.459000000,0.041000000,541,215,208,False
2,6,461,539,0.461000000,0.039000000,539,17,22,False
21,0,461,539,0.461000000,0.039000000,539,175,168,False
65,2,462,538,0.462000000,0.038000000,538,525,522,False
77,4,462,538,0.462000000,0.038000000,538,619,620,False
61,7,463,537,0.463000000,0.037000000,537,488,495,False
11,5,536,464,0.536000000,0.036000000,536,90,93,False
23,2,464,536,0.464000000,0.036000000,536,189,186,False
106,4,536,464,0.536000000,0.036000000,536,851,852,False
29,3,465,535,0.465000000,0.035000000,535,236,235,False
35,6,465,535,0.465000000,0.035000000,535,281,286,False
69,7,465,535,0.465000000,0.035000000,535,552,559,False
90,4,465,535,0.465000000,0.035000000,535,723,724,False
24,7,534,466,0.534000000,0.034000000,534,192,199,False
79,0,466,534,0.466000000,0.034000000,534,639,632,False
95,3,466,534,0.466000000,0.034000000,534,764,763,False
112,0,466,534,0.466000000,0.034000000,534,903,896,False
5,4,467,533,0.467000000,0.033000000,533,43,44,False
30,1,533,467,0.533000000,0.033000000,533,246,241,False
31,5,533,467,0.533000000,0.033000000,533,250,253,False
14,0,468,532,0.468000000,0.032000000,532,119,112,False
16,5,468,532,0.468000000,0.032000000,532,130,133,False
48,5,468,532,0.468000000,0.032000000,532,386,389,False
49,1,468,532,0.468000000,0.032000000,532,398,393,False
57,2,532,468,0.532000000,0.032000000,532,461,458,False
68,1,468,532,0.468000000,0.032000000,532,550,545,False
76,3,468,532,0.468000000,0.032000000,532,612,611,False
80,5,468,532,0.468000000,0.032000000,532,642,645,False
104,3,468,532,0.468000000,0.032000000,532,836,835,False
