byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
46,2,449,551,0.449000000,0.051000000,551,373,370,False
113,1,452,548,0.452000000,0.048000000,548,910,905,False
9,4,453,547,0.453000000,0.047000000,547,75,76,False
48,2,453,547,0.453000000,0.047000000,547,389,386,False
59,1,547,453,0.547000000,0.047000000,547,478,473,False
85,5,453,547,0.453000000,0.047000000,547,682,685,False
30,6,546,454,0.546000000,0.046000000,546,241,246,False
67,6,455,545,0.455000000,0.045000000,545,537,542,False
69,1,544,456,0.544000000,0.044000000,544,558,553,False
123,4,457,543,0.457000000,0.043000000,543,987,988,False
24,0,458,542,0.458000000,0.042000000,542,199,192,False
64,5,458,542,0.458000000,0.042000000,542,514,517,False
70,6,458,542,0.458000000,0.042000000,542,561,566,False
9,6,541,459,0.541000000,0.041000000,541,73,78,False
120,0,541,459,0.541000000,0.041000000,541,967,960,False
17,0,460,540,0.460000000,0.040000000,540,143,136,False
59,3,540,460,0.540000000,0.040000000,540,476,475,False
21,7,539,461,0.539000000,0.039000000,539,168,175,False
84,0,461,539,0.461000000,0.039000000,539,679,672,False
103,3,461,539,0.461000000,0.039000000,539,828,827,False
30,5,462,538,0.462000000,0.038000000,538,242,245,False
94,5,537,463,0.537000000,0.037000000,537,754,757,False
6,1,536,464,0.536000000,0.036000000,536,54,49,False
33,7,464,536,0.464000000,0.036000000,536,264,271,False
37,0,464,536,0.464000000,0.036000000,536,303,296,False
73,6,464,536,0.464000000,0.036000000,536,585,590,False
99,4,536,464,0.536000000,0.036000000,536,795,796,False
35,1,465,535,0.465000000,0.035000000,535,286,281,False
69,0,535,465,0.535000000,0.035000000,535,559,552,False
106,6,465,535,0.465000000,0.035000000,535,849,854,False
3,4,466,534,0.466000000,0.034000000,534,27,28,False
23,2,466,534,0.466000000,0.034000000,534,189,186,False
