byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
3,0,397,603,0.397000000,0.103000000,603,31,24,False
1,2,409,591,0.409000000,0.091000000,591,13,10,False
118,4,413,587,0.413000000,0.087000000,587,947,948,False
59,4,418,582,0.418000000,0.082000000,582,475,476,False
69,1,418,582,0.418000000,0.082000000,582,558,553,False
104,2,420,580,0.420000000,0.080000000,580,837,834,False
90,5,421,579,0.421000000,0.079000000,579,722,725,False
12,3,422,578,0.422000000,0.078000000,578,100,99,False
102,6,422,578,0.422000000,0.078000000,578,817,822,False
123,4,422,578,0.422000000,0.078000000,578,987,988,False
34,4,423,577,0.423000000,0.077000000,577,275,276,False
36,4,423,577,0.423000000,0.077000000,577,291,292,False
108,6,423,577,0.423000000,0.077000000,577,865,870,False
6,2,424,576,0.424000000,0.076000000,576,53,50,False
77,6,424,576,0.424000000,0.076000000,576,617,622,False
97,3,424,576,0.424000000,0.076000000,576,780,779,False
99,3,424,576,0.424000000,0.076000000,576,796,795,False
84,3,425,575,0.425000000,0.075000000,575,676,675,False
89,1,425,575,0.425000000,0.075000000,575,718,713,False
99,4,425,575,0.425000000,0.075000000,575,795,796,False
105,5,425,575,0.425000000,0.075000000,575,842,845,False
9,1,426,574,0.426000000,0.074000000,574,78,73,False
22,5,426,574,0.426000000,0.074000000,574,178,181,False
39,1,426,574,0.426000000,0.074000000,574,318,313,False
90,4,426,574,0.426000000,0.074000000,574,723,724,False
94,6,426,574,0.426000000,0.074000000,574,753,758,False
118,1,426,574,0.426000000,0.074000000,574,950,945,False
6,1,427,573,0.427000000,0.073000000,573,54,49,False
83,1,427,573,0.427000000,0.073000000,573,670,665,False
95,0,427,573,0.427000000,0.073000000,573,767,760,False
44,7,428,572,0.428000000,0.072000000,572,352,359,False
53,2,428,572,0.428000000,0.072000000,572,429,426,False
