placement,bit_order,restart_input_sha256,restart_overall_p1,restart_x_cutoff,restart_positions_over_x_cutoff,restart_worst_byte,restart_worst_bit,restart_worst_ones,restart_worst_zeros,restart_worst_x,restart_worst_p1,restart_worst_msb_column,restart_worst_lsb_column,restart_summary,restart_method,warmup_bytes,warmup_unit,restart_rows,restart_row_packed_bytes,restart_output_bit_symbols_per_row,restart_input_file,restart_capture_sha256,restart_bps1_sha256,restart_bps1_sha256_msb,restart_bps1_sha256_lsb,ea_restart_status_msb,ea_restart_status_lsb,restart_hi_msb,restart_hi_lsb,restart_hi_source_msb,restart_hi_source_lsb,restart_x_cutoff_msb,restart_x_cutoff_lsb,restart_x_max_msb,restart_x_max_lsb,restart_hr_msb,restart_hr_lsb,restart_hc_msb,restart_hc_lsb,restart_min_entropy_msb,restart_min_entropy_lsb,repeat_id,run_id,trng_role,trng_bytes_mean,trng_p1_mean,trng_abs_bias_mean,trng_bit_min_entropy_mean,trng_runs_p_mean,trng_adjacent_equal_ratio_mean,trng_byte_min_entropy_mean,rofreq_trng_sample_role,rofreq_trng_target_bytes,rofreq_trng_p1,rofreq_trng_abs_bias,rofreq_trng_bit_min_entropy,rofreq_trng_monobit_p,rofreq_trng_runs_p,rofreq_trng_adjacent_equal_ratio,rofreq_trng_byte_min_entropy,rofreq_ro_data_count,rofreq_ro_data_mean_freq_mhz,rofreq_ro_data_std_freq_mhz,rofreq_ro_data_min_freq_mhz,rofreq_ro_data_max_freq_mhz,rofreq_ro_data_span_mhz,rofreq_ro_sample_all_on_freq_mhz,rofreq_ro_min_data_data_delta_mhz,rofreq_ro_min_data_data_pair,rofreq_ro_min_data_data_beat_ns,rofreq_ro_second_data_data_delta_mhz,rofreq_ro_second_data_data_pair,rofreq_ro_close_data_data_pairs_le_1mhz,rofreq_ro_close_data_data_pairs_le_3mhz,rofreq_ro_nearest_data_sample_delta_mhz,rofreq_ro_nearest_data_sample_pair,rofreq_ro_nearest_data_sample_beat_ns,rofreq_ro_data_mean_shift_mhz,rofreq_ro_data_mean_abs_shift_ppm,rofreq_ro_data_max_abs_shift_ppm,rofreq_ro_sample_shift_mhz,rofreq_ro_sample_shift_ppm,rofreq_ro_sample_abs_shift_ppm,tdc_pair_count,tdc_phase_r_mean_mean,tdc_phase_r_mean_max,tdc_phase_r_max_abs_mean,tdc_phase_r_max_abs_max,tdc_best_lag_abs_r_max_mean,tdc_best_lag_abs_r_max_max,tdc_diff_std_ps_mean_mean,tdc_diff_std_ps_mean_max,tdc_diff_mean_ps_slope_per_window_mean,tdc_diff_mean_ps_slope_per_window_max,tdc_strong_lock_windows_mean,tdc_strong_lock_windows_max
random1,packed_warmup0,A9A4FFEAD5EA6CA15E74F13B3A068FFC59A156AEF28112F7D4B968E10470C512,0.498954000,0,0,0,0,320,680,680,0.320000000,7,0,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random1_formal_bits\summary.json,auto_stream_once,0,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_header_delay60s_20260515.bin,A9A4FFEAD5EA6CA15E74F13B3A068FFC59A156AEF28112F7D4B968E10470C512,20BA93F6C3330A3DF9167BB590209A3BEB7BD57A420E3EB2B9BCF1236D37DE16,20BA93F6C3330A3DF9167BB590209A3BEB7BD57A420E3EB2B9BCF1236D37DE16,6961FEA5A07AED881C91DEAB6C0BAB8A27451F84FFCC4DAE7086EF9239444314,,,,,,,0,0,680,680,,,,,,,,random1_restart_auto_formal_bits_1000x125_header_delay60s_20260515,repeat,5242880.0,0.337669373,0.162330627,0.594376522,0.0,0.556682719,4.80477392,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,0.0,0.556739754,4.80160868,8,434.84794627052264,20.706257403063432,403.2029822029822,457.2276989660976,54.02471676311541,89.99615384615385,0.46619470080861447,data4/data5,2145.0265270400982,0.9790865384615017,data0/data1,2,4,313.20682835682834,data6/sample,3.1927784117807487,-0.18504094978992214,421.577454650692,690.3612056574947,0.31093080900102166,3466.9123682974628,3466.9123682974628,3,-0.00196849237,-0.00120253074,0.0136762108,0.0150347121,0.0252931189,0.0317827302,2042.21639,2042.85897,0.0117930878,0.382658364,0,0
random3,packed_warmup0,A9B7BD143BE83CF63F7EF793B6D8409011A03EB8E70DE6828D1EFA4388A59338,0.497933000,605,1,0,0,315,685,685,0.315000000,7,0,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits\summary.json,auto_stream_once,0,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_header_delay60s_20260515.bin,A9B7BD143BE83CF63F7EF793B6D8409011A03EB8E70DE6828D1EFA4388A59338,8C927742F11564F08722BDCC09616A2A15619038E4AC362D0C327C5B81706726,8C927742F11564F08722BDCC09616A2A15619038E4AC362D0C327C5B81706726,25A3C2E95789FF3AB9A7B93EFE544B76C46068FC439B30ECDA6182E8641E07A4,,,,,,,605,605,685,685,,,,,,,,random3_restart_auto_formal_bits_1000x125_header_delay60s_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,7CE2161474009731EA7AC3C7ACBD7E38443DD55AC6881DAA5D2F2FAAB4D10ED5,0.497787000,605,2,2,7,680,320,680,0.680000000,16,23,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_repeat02\summary.json,auto_stream_once,0,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_header_delay60s_repeat02_20260515.bin,7CE2161474009731EA7AC3C7ACBD7E38443DD55AC6881DAA5D2F2FAAB4D10ED5,FDE530F346A969CC9BF1469184CDB417879654F16DABCDC698AC17755F1224D5,FDE530F346A969CC9BF1469184CDB417879654F16DABCDC698AC17755F1224D5,78E5F2C380E7383214A26034EDC03245B6EE5EF0796A45202BC0B4922BA76AE4,,,,,,,605,605,680,680,,,,,,,repeat02,random3_restart_auto_formal_bits_1000x125_header_delay60s_repeat02_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,90810C80B5936DF71B184D37E357E85FE05D33ED83CB0E5D0748906FF9BC6597,0.415017000,605,106,1,4,350,650,650,0.350000000,11,12,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup10\summary.json,auto_stream_once,10,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_20260515.bin,90810C80B5936DF71B184D37E357E85FE05D33ED83CB0E5D0748906FF9BC6597,597D930EACFFEACD5E18662DD668379B354B598BAB6C366CE718FED57EC13658,597D930EACFFEACD5E18662DD668379B354B598BAB6C366CE718FED57EC13658,65D98ED5D6B7F4E0DE0735D19559B7FB3C8A6C8817759452A5A197AB3102519D,failed,failed,0.902345,0.828444,ea_restart_stdout,ea_restart_stdout,605,632,650,650,,,,,,,,random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,743E2A6536BFFAADDBFEE8F45FFE8DE4D14734504118CAFB3D3DAB7A2A1C7CAD,0.415849000,605,89,6,0,367,633,633,0.367000000,55,48,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup10_repeat02\summary.json,auto_stream_once,10,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515.bin,743E2A6536BFFAADDBFEE8F45FFE8DE4D14734504118CAFB3D3DAB7A2A1C7CAD,81497E66D2D25D6FA4AECF64237BC671FFD2EC720FB86BD2EC5CCABA2F52AFFA,81497E66D2D25D6FA4AECF64237BC671FFD2EC720FB86BD2EC5CCABA2F52AFFA,379F505566F2E03897A2CC717693FE0027E152CFA98E37C39E1B801CD864E402,failed,failed,0.902345,0.828444,ea_restart_stdout,ea_restart_stdout,605,632,633,633,,,,,,,repeat02,random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,4418C3D6550684637B56121F96A906F48B128B63139991A3B8C827D2C30A6BA9,0.469088000,605,0,1,3,417,583,583,0.417000000,12,11,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup11\summary.json,auto_stream_once,11,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_20260515.bin,4418C3D6550684637B56121F96A906F48B128B63139991A3B8C827D2C30A6BA9,4EBF7244063138838227327180911E4F2F69D4D30299A8D9D5875810ECF7E5A1,4EBF7244063138838227327180911E4F2F69D4D30299A8D9D5875810ECF7E5A1,573A87D6E22F0B14485AD3657BB9E0C4A2C9B4FB3AD499065100F9E0AD248E33,passed,passed,0.902345,0.828444,ea_restart_stdout,ea_restart_stdout,605,632,583,583,0.743385,0.753865,0.756293,0.759525,0.743385,0.753865,,random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,806E52B1C50539152C6AE5450E7CD47E961DFC4B9E0197788F722711386A0BB6,0.469261000,605,0,68,3,412,588,588,0.412000000,548,547,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup11_repeat02\summary.json,auto_stream_once,11,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260515.bin,806E52B1C50539152C6AE5450E7CD47E961DFC4B9E0197788F722711386A0BB6,C7C030EBBB907A497F07D1470FFEDBCADEB7E45FA8F576D5C67DCCFF01A2AEEC,C7C030EBBB907A497F07D1470FFEDBCADEB7E45FA8F576D5C67DCCFF01A2AEEC,5EAFC5C39A22D656FC7DCC31980E85BAB76B278DCD8266A881E102F7762A7A8E,passed,passed,0.902345,0.828444,ea_restart_stdout,ea_restart_stdout,605,632,588,588,0.772477,0.757162,0.765014,0.746636,0.765014,0.746636,repeat02,random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,E5F690CF5545F5EBF7271175472F2B2D36033E750C060F569B196CC08CB3B2C0,0.499478000,605,0,88,3,562,438,562,0.562000000,708,707,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup12\summary.json,auto_stream_once,12,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_20260515.bin,E5F690CF5545F5EBF7271175472F2B2D36033E750C060F569B196CC08CB3B2C0,BDB6521AFF45F2FDC9F489CDB4AF2E4019E33241BA6D0EAE72CC20EE1FB6D297,BDB6521AFF45F2FDC9F489CDB4AF2E4019E33241BA6D0EAE72CC20EE1FB6D297,E32B02B0E8ECA8FB0CF31B6803F3B4E545279640E35D30B2E2BB08FD2F22D299,passed,passed,0.902345,0.828444,ea_restart_stdout,ea_restart_stdout,605,632,562,562,0.867146,0.866043,0.849807,0.836130,0.849807,0.828444,,random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,2137FD20C71F1245E2568E4AFE4F86FA126B04536E4E63588CE1257D2E0BA134,0.499506000,605,0,118,1,451,549,549,0.451000000,950,945,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup12_repeat02\summary.json,auto_stream_once,12,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat02_20260515.bin,2137FD20C71F1245E2568E4AFE4F86FA126B04536E4E63588CE1257D2E0BA134,19BC177436E6C47B63440E6B068A3591C3393D0867F9C39434E0A825D12D9528,19BC177436E6C47B63440E6B068A3591C3393D0867F9C39434E0A825D12D9528,C3302B0F6B851845337F587918D1682B22527E3762E3942C224AAB6E6F79EF20,passed,passed,0.902345,0.828444,ea_restart_stdout,ea_restart_stdout,605,632,556,556,0.844203,0.877826,0.813237,0.883047,0.813237,0.828444,repeat02,random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat02_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
random3,packed_warmup0,8084E1AB95062564ACE582113520A54163CADA96E12C1A2211DE2C044AC860E7,0.499126000,605,0,43,7,547,453,547,0.547000000,344,351,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup16\summary.json,auto_stream_once,16,packed_byte,1000,125,1000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_20260515.bin,8084E1AB95062564ACE582113520A54163CADA96E12C1A2211DE2C044AC860E7,16776DFF817D178B05C8479C634469C55B130740F7719412A5D0257DBD384D0B,16776DFF817D178B05C8479C634469C55B130740F7719412A5D0257DBD384D0B,EFF66AE869332A04F38FE3F1FB93DCE1D398ACAEC57C6126CFDECBA0AF3DD1B5,passed,passed,0.902345,0.828444,ea_restart_stdout,ea_restart_stdout,605,632,549,549,0.871037,0.820090,0.868735,0.830192,0.868735,0.820090,,random3_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_20260515,repeat,5242880.0,0.499971128,2.88724899e-05,0.999916694,0.0487015454,0.499847829,7.97396076,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723,3,-0.000502279108,-1.30364877e-05,0.0155529356,0.0170542668,0.0248181745,0.027615762,2040.86226,2041.92112,-0.113944907,0.848702989,0,0
