byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
115,3,435,565,0.435000000,0.065000000,565,924,923,False
16,7,546,454,0.546000000,0.046000000,546,128,135,False
42,2,546,454,0.546000000,0.046000000,546,341,338,False
4,4,541,459,0.541000000,0.041000000,541,35,36,False
24,4,540,460,0.540000000,0.040000000,540,195,196,False
28,5,460,540,0.460000000,0.040000000,540,226,229,False
48,5,540,460,0.540000000,0.040000000,540,386,389,False
53,2,460,540,0.460000000,0.040000000,540,429,426,False
94,1,540,460,0.540000000,0.040000000,540,758,753,False
6,6,461,539,0.461000000,0.039000000,539,49,54,False
10,1,461,539,0.461000000,0.039000000,539,86,81,False
36,2,461,539,0.461000000,0.039000000,539,293,290,False
71,0,461,539,0.461000000,0.039000000,539,575,568,False
83,2,461,539,0.461000000,0.039000000,539,669,666,False
24,6,462,538,0.462000000,0.038000000,538,193,198,False
70,4,462,538,0.462000000,0.038000000,538,563,564,False
90,4,538,462,0.538000000,0.038000000,538,723,724,False
3,2,537,463,0.537000000,0.037000000,537,29,26,False
23,2,463,537,0.463000000,0.037000000,537,189,186,False
54,1,537,463,0.537000000,0.037000000,537,438,433,False
55,5,537,463,0.537000000,0.037000000,537,442,445,False
5,3,464,536,0.464000000,0.036000000,536,44,43,False
48,0,464,536,0.464000000,0.036000000,536,391,384,False
66,0,464,536,0.464000000,0.036000000,536,535,528,False
79,1,464,536,0.464000000,0.036000000,536,638,633,False
81,6,464,536,0.464000000,0.036000000,536,649,654,False
98,1,536,464,0.536000000,0.036000000,536,790,785,False
120,0,464,536,0.464000000,0.036000000,536,967,960,False
13,6,465,535,0.465000000,0.035000000,535,105,110,False
68,7,465,535,0.465000000,0.035000000,535,544,551,False
101,5,465,535,0.465000000,0.035000000,535,810,813,False
112,2,465,535,0.465000000,0.035000000,535,901,898,False
