byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
14,1,453,547,0.453000000,0.047000000,547,118,113,False
102,5,453,547,0.453000000,0.047000000,547,818,821,False
37,1,454,546,0.454000000,0.046000000,546,302,297,False
28,5,455,545,0.455000000,0.045000000,545,226,229,False
70,7,455,545,0.455000000,0.045000000,545,560,567,False
95,1,455,545,0.455000000,0.045000000,545,766,761,False
113,3,545,455,0.545000000,0.045000000,545,908,907,False
124,2,545,455,0.545000000,0.045000000,545,997,994,False
92,5,544,456,0.544000000,0.044000000,544,738,741,False
34,0,457,543,0.457000000,0.043000000,543,279,272,False
10,4,542,458,0.542000000,0.042000000,542,83,84,False
34,1,542,458,0.542000000,0.042000000,542,278,273,False
11,3,459,541,0.459000000,0.041000000,541,92,91,False
90,1,540,460,0.540000000,0.040000000,540,726,721,False
122,2,540,460,0.540000000,0.040000000,540,981,978,False
16,5,539,461,0.539000000,0.039000000,539,130,133,False
57,3,539,461,0.539000000,0.039000000,539,460,459,False
64,5,461,539,0.461000000,0.039000000,539,514,517,False
98,4,461,539,0.461000000,0.039000000,539,787,788,False
16,2,538,462,0.538000000,0.038000000,538,133,130,False
33,7,462,538,0.462000000,0.038000000,538,264,271,False
44,5,462,538,0.462000000,0.038000000,538,354,357,False
64,7,538,462,0.538000000,0.038000000,538,512,519,False
83,7,462,538,0.462000000,0.038000000,538,664,671,False
64,3,537,463,0.537000000,0.037000000,537,516,515,False
80,0,537,463,0.537000000,0.037000000,537,647,640,False
119,4,537,463,0.537000000,0.037000000,537,955,956,False
10,2,536,464,0.536000000,0.036000000,536,85,82,False
20,1,464,536,0.464000000,0.036000000,536,166,161,False
20,3,536,464,0.536000000,0.036000000,536,164,163,False
22,3,464,536,0.464000000,0.036000000,536,180,179,False
32,2,536,464,0.536000000,0.036000000,536,261,258,False
