byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,548,452,0.548000000,0.048000000,548,7,0,False
0,1,537,463,0.537000000,0.037000000,537,6,1,False
0,2,555,445,0.555000000,0.055000000,555,5,2,False
0,3,526,474,0.526000000,0.026000000,526,4,3,False
0,4,537,463,0.537000000,0.037000000,537,3,4,False
0,5,514,486,0.514000000,0.014000000,514,2,5,False
0,6,574,426,0.574000000,0.074000000,574,1,6,False
0,7,575,425,0.575000000,0.075000000,575,0,7,False
1,0,526,474,0.526000000,0.026000000,526,15,8,False
1,1,542,458,0.542000000,0.042000000,542,14,9,False
1,2,561,439,0.561000000,0.061000000,561,13,10,False
1,3,533,467,0.533000000,0.033000000,533,12,11,False
1,4,587,413,0.587000000,0.087000000,587,11,12,False
1,5,601,399,0.601000000,0.101000000,601,10,13,False
1,6,584,416,0.584000000,0.084000000,584,9,14,False
1,7,561,439,0.561000000,0.061000000,561,8,15,False
2,0,583,417,0.583000000,0.083000000,583,23,16,False
2,1,597,403,0.597000000,0.097000000,597,22,17,False
2,2,571,429,0.571000000,0.071000000,571,21,18,False
2,3,567,433,0.567000000,0.067000000,567,20,19,False
2,4,525,475,0.525000000,0.025000000,525,19,20,False
2,5,583,417,0.583000000,0.083000000,583,18,21,False
2,6,558,442,0.558000000,0.058000000,558,17,22,False
2,7,544,456,0.544000000,0.044000000,544,16,23,False
3,0,515,485,0.515000000,0.015000000,515,31,24,False
3,1,521,479,0.521000000,0.021000000,521,30,25,False
3,2,548,452,0.548000000,0.048000000,548,29,26,False
3,3,539,461,0.539000000,0.039000000,539,28,27,False
3,4,542,458,0.542000000,0.042000000,542,27,28,False
3,5,506,494,0.506000000,0.006000000,506,26,29,False
3,6,534,466,0.534000000,0.034000000,534,25,30,False
3,7,541,459,0.541000000,0.041000000,541,24,31,False
4,0,543,457,0.543000000,0.043000000,543,39,32,False
4,1,536,464,0.536000000,0.036000000,536,38,33,False
4,2,539,461,0.539000000,0.039000000,539,37,34,False
4,3,566,434,0.566000000,0.066000000,566,36,35,False
4,4,563,437,0.563000000,0.063000000,563,35,36,False
4,5,561,439,0.561000000,0.061000000,561,34,37,False
4,6,581,419,0.581000000,0.081000000,581,33,38,False
4,7,557,443,0.557000000,0.057000000,557,32,39,False
5,0,531,469,0.531000000,0.031000000,531,47,40,False
5,1,566,434,0.566000000,0.066000000,566,46,41,False
5,2,580,420,0.580000000,0.080000000,580,45,42,False
5,3,576,424,0.576000000,0.076000000,576,44,43,False
5,4,531,469,0.531000000,0.031000000,531,43,44,False
5,5,557,443,0.557000000,0.057000000,557,42,45,False
5,6,499,501,0.499000000,0.001000000,501,41,46,False
5,7,545,455,0.545000000,0.045000000,545,40,47,False
6,0,562,438,0.562000000,0.062000000,562,55,48,False
6,1,561,439,0.561000000,0.061000000,561,54,49,False
