byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
81,4,613,387,0.613000000,0.113000000,613,651,652,False
90,2,609,391,0.609000000,0.109000000,609,725,722,False
96,5,608,392,0.608000000,0.108000000,608,770,773,False
41,1,603,397,0.603000000,0.103000000,603,334,329,False
70,6,603,397,0.603000000,0.103000000,603,561,566,False
74,3,602,398,0.602000000,0.102000000,602,596,595,False
1,5,601,399,0.601000000,0.101000000,601,10,13,False
8,3,601,399,0.601000000,0.101000000,601,68,67,False
71,6,601,399,0.601000000,0.101000000,601,569,574,False
122,0,601,399,0.601000000,0.101000000,601,983,976,False
8,1,598,402,0.598000000,0.098000000,598,70,65,False
2,1,597,403,0.597000000,0.097000000,597,22,17,False
23,1,597,403,0.597000000,0.097000000,597,190,185,False
17,4,596,404,0.596000000,0.096000000,596,139,140,False
103,5,596,404,0.596000000,0.096000000,596,826,829,False
104,1,595,405,0.595000000,0.095000000,595,838,833,False
15,0,593,407,0.593000000,0.093000000,593,127,120,False
71,5,593,407,0.593000000,0.093000000,593,570,573,False
76,3,593,407,0.593000000,0.093000000,593,612,611,False
78,2,593,407,0.593000000,0.093000000,593,629,626,False
85,2,593,407,0.593000000,0.093000000,593,685,682,False
86,7,593,407,0.593000000,0.093000000,593,688,695,False
18,7,592,408,0.592000000,0.092000000,592,144,151,False
109,4,592,408,0.592000000,0.092000000,592,875,876,False
118,6,592,408,0.592000000,0.092000000,592,945,950,False
25,3,591,409,0.591000000,0.091000000,591,204,203,False
75,7,591,409,0.591000000,0.091000000,591,600,607,False
79,0,591,409,0.591000000,0.091000000,591,639,632,False
104,7,591,409,0.591000000,0.091000000,591,832,839,False
11,2,590,410,0.590000000,0.090000000,590,93,90,False
17,3,590,410,0.590000000,0.090000000,590,140,139,False
109,3,590,410,0.590000000,0.090000000,590,876,875,False
