byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,506,494,0.506000000,0.006000000,506,7,0,False
0,1,493,507,0.493000000,0.007000000,507,6,1,False
0,2,542,458,0.542000000,0.042000000,542,5,2,False
0,3,520,480,0.520000000,0.020000000,520,4,3,False
0,4,551,449,0.551000000,0.051000000,551,3,4,False
0,5,525,475,0.525000000,0.025000000,525,2,5,False
0,6,561,439,0.561000000,0.061000000,561,1,6,False
0,7,565,435,0.565000000,0.065000000,565,0,7,False
1,0,521,479,0.521000000,0.021000000,521,15,8,False
1,1,573,427,0.573000000,0.073000000,573,14,9,False
1,2,579,421,0.579000000,0.079000000,579,13,10,False
1,3,586,414,0.586000000,0.086000000,586,12,11,False
1,4,553,447,0.553000000,0.053000000,553,11,12,False
1,5,568,432,0.568000000,0.068000000,568,10,13,False
1,6,550,450,0.550000000,0.050000000,550,9,14,False
1,7,592,408,0.592000000,0.092000000,592,8,15,False
2,0,574,426,0.574000000,0.074000000,574,23,16,False
2,1,544,456,0.544000000,0.044000000,544,22,17,False
2,2,547,453,0.547000000,0.047000000,547,21,18,False
2,3,541,459,0.541000000,0.041000000,541,20,19,False
2,4,572,428,0.572000000,0.072000000,572,19,20,False
2,5,556,444,0.556000000,0.056000000,556,18,21,False
2,6,541,459,0.541000000,0.041000000,541,17,22,False
2,7,523,477,0.523000000,0.023000000,523,16,23,False
3,0,531,469,0.531000000,0.031000000,531,31,24,False
3,1,528,472,0.528000000,0.028000000,528,30,25,False
3,2,553,447,0.553000000,0.053000000,553,29,26,False
3,3,536,464,0.536000000,0.036000000,536,28,27,False
3,4,562,438,0.562000000,0.062000000,562,27,28,False
3,5,519,481,0.519000000,0.019000000,519,26,29,False
3,6,572,428,0.572000000,0.072000000,572,25,30,False
3,7,555,445,0.555000000,0.055000000,555,24,31,False
4,0,516,484,0.516000000,0.016000000,516,39,32,False
4,1,575,425,0.575000000,0.075000000,575,38,33,False
4,2,600,400,0.600000000,0.100000000,600,37,34,False
4,3,572,428,0.572000000,0.072000000,572,36,35,False
4,4,590,410,0.590000000,0.090000000,590,35,36,False
4,5,591,409,0.591000000,0.091000000,591,34,37,False
4,6,549,451,0.549000000,0.049000000,549,33,38,False
4,7,536,464,0.536000000,0.036000000,536,32,39,False
5,0,555,445,0.555000000,0.055000000,555,47,40,False
5,1,549,451,0.549000000,0.049000000,549,46,41,False
5,2,550,450,0.550000000,0.050000000,550,45,42,False
5,3,553,447,0.553000000,0.053000000,553,44,43,False
5,4,511,489,0.511000000,0.011000000,511,43,44,False
5,5,544,456,0.544000000,0.044000000,544,42,45,False
5,6,523,477,0.523000000,0.023000000,523,41,46,False
5,7,549,451,0.549000000,0.049000000,549,40,47,False
6,0,567,433,0.567000000,0.067000000,567,55,48,False
6,1,548,452,0.548000000,0.048000000,548,54,49,False
6,2,533,467,0.533000000,0.033000000,533,53,50,False
6,3,567,433,0.567000000,0.067000000,567,52,51,False
6,4,564,436,0.564000000,0.064000000,564,51,52,False
6,5,551,449,0.551000000,0.051000000,551,50,53,False
6,6,581,419,0.581000000,0.081000000,581,49,54,False
6,7,594,406,0.594000000,0.094000000,594,48,55,False
7,0,562,438,0.562000000,0.062000000,562,63,56,False
7,1,554,446,0.554000000,0.054000000,554,62,57,False
7,2,555,445,0.555000000,0.055000000,555,61,58,False
7,3,560,440,0.560000000,0.060000000,560,60,59,False
7,4,542,458,0.542000000,0.042000000,542,59,60,False
7,5,573,427,0.573000000,0.073000000,573,58,61,False
7,6,544,456,0.544000000,0.044000000,544,57,62,False
7,7,521,479,0.521000000,0.021000000,521,56,63,False
8,0,573,427,0.573000000,0.073000000,573,71,64,False
8,1,554,446,0.554000000,0.054000000,554,70,65,False
8,2,561,439,0.561000000,0.061000000,561,69,66,False
8,3,529,471,0.529000000,0.029000000,529,68,67,False
8,4,518,482,0.518000000,0.018000000,518,67,68,False
8,5,561,439,0.561000000,0.061000000,561,66,69,False
8,6,541,459,0.541000000,0.041000000,541,65,70,False
8,7,546,454,0.546000000,0.046000000,546,64,71,False
9,0,513,487,0.513000000,0.013000000,513,79,72,False
9,1,512,488,0.512000000,0.012000000,512,78,73,False
9,2,538,462,0.538000000,0.038000000,538,77,74,False
9,3,534,466,0.534000000,0.034000000,534,76,75,False
9,4,548,452,0.548000000,0.048000000,548,75,76,False
9,5,548,452,0.548000000,0.048000000,548,74,77,False
9,6,554,446,0.554000000,0.054000000,554,73,78,False
9,7,547,453,0.547000000,0.047000000,547,72,79,False
10,0,563,437,0.563000000,0.063000000,563,87,80,False
10,1,573,427,0.573000000,0.073000000,573,86,81,False
