byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
2,7,391,609,0.391000000,0.109000000,609,16,23,False
3,5,402,598,0.402000000,0.098000000,598,26,29,False
75,6,407,593,0.407000000,0.093000000,593,601,606,False
1,6,410,590,0.410000000,0.090000000,590,9,14,False
40,6,410,590,0.410000000,0.090000000,590,321,326,False
10,1,411,589,0.411000000,0.089000000,589,86,81,False
35,7,412,588,0.412000000,0.088000000,588,280,287,False
91,0,412,588,0.412000000,0.088000000,588,735,728,False
36,5,413,587,0.413000000,0.087000000,587,290,293,False
77,5,413,587,0.413000000,0.087000000,587,618,621,False
90,5,413,587,0.413000000,0.087000000,587,722,725,False
4,2,416,584,0.416000000,0.084000000,584,37,34,False
58,2,416,584,0.416000000,0.084000000,584,469,466,False
46,6,417,583,0.417000000,0.083000000,583,369,374,False
80,2,417,583,0.417000000,0.083000000,583,645,642,False
14,1,418,582,0.418000000,0.082000000,582,118,113,False
32,7,418,582,0.418000000,0.082000000,582,256,263,False
69,1,418,582,0.418000000,0.082000000,582,558,553,False
106,3,418,582,0.418000000,0.082000000,582,852,851,False
109,3,418,582,0.418000000,0.082000000,582,876,875,False
28,0,419,581,0.419000000,0.081000000,581,231,224,False
52,4,419,581,0.419000000,0.081000000,581,419,420,False
60,3,419,581,0.419000000,0.081000000,581,484,483,False
116,1,419,581,0.419000000,0.081000000,581,934,929,False
5,7,420,580,0.420000000,0.080000000,580,40,47,False
116,3,420,580,0.420000000,0.080000000,580,932,931,False
123,6,420,580,0.420000000,0.080000000,580,985,990,False
52,6,421,579,0.421000000,0.079000000,579,417,422,False
60,6,421,579,0.421000000,0.079000000,579,481,486,False
120,3,421,579,0.421000000,0.079000000,579,964,963,False
2,5,422,578,0.422000000,0.078000000,578,18,21,False
20,2,422,578,0.422000000,0.078000000,578,165,162,False
