byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,388,612,0.388000000,0.112000000,612,7,0,False
0,1,471,529,0.471000000,0.029000000,529,6,1,False
0,2,334,666,0.334000000,0.166000000,666,5,2,False
0,3,404,596,0.404000000,0.096000000,596,4,3,False
0,4,486,514,0.486000000,0.014000000,514,3,4,False
0,5,500,500,0.500000000,0.000000000,500,2,5,False
0,6,332,668,0.332000000,0.168000000,668,1,6,False
0,7,426,574,0.426000000,0.074000000,574,0,7,False
1,0,448,552,0.448000000,0.052000000,552,15,8,False
1,1,453,547,0.453000000,0.047000000,547,14,9,False
1,2,312,688,0.312000000,0.188000000,688,13,10,False
1,3,278,722,0.278000000,0.222000000,722,12,11,False
1,4,380,620,0.380000000,0.120000000,620,11,12,False
1,5,427,573,0.427000000,0.073000000,573,10,13,False
1,6,249,751,0.249000000,0.251000000,751,9,14,False
1,7,287,713,0.287000000,0.213000000,713,8,15,False
2,0,460,540,0.460000000,0.040000000,540,23,16,False
2,1,397,603,0.397000000,0.103000000,603,22,17,False
2,2,439,561,0.439000000,0.061000000,561,21,18,False
2,3,476,524,0.476000000,0.024000000,524,20,19,False
2,4,445,555,0.445000000,0.055000000,555,19,20,False
2,5,448,552,0.448000000,0.052000000,552,18,21,False
2,6,387,613,0.387000000,0.113000000,613,17,22,False
2,7,466,534,0.466000000,0.034000000,534,16,23,False
3,0,451,549,0.451000000,0.049000000,549,31,24,False
3,1,409,591,0.409000000,0.091000000,591,30,25,False
3,2,456,544,0.456000000,0.044000000,544,29,26,False
3,3,382,618,0.382000000,0.118000000,618,28,27,False
3,4,399,601,0.399000000,0.101000000,601,27,28,False
3,5,428,572,0.428000000,0.072000000,572,26,29,False
3,6,318,682,0.318000000,0.182000000,682,25,30,False
3,7,383,617,0.383000000,0.117000000,617,24,31,False
4,0,472,528,0.472000000,0.028000000,528,39,32,False
4,1,383,617,0.383000000,0.117000000,617,38,33,False
4,2,387,613,0.387000000,0.113000000,613,37,34,False
4,3,412,588,0.412000000,0.088000000,588,36,35,False
4,4,423,577,0.423000000,0.077000000,577,35,36,False
4,5,450,550,0.450000000,0.050000000,550,34,37,False
