byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
83,0,436,564,0.436000000,0.064000000,564,671,664,False
16,2,438,562,0.438000000,0.062000000,562,133,130,False
87,6,438,562,0.438000000,0.062000000,562,697,702,False
82,0,440,560,0.440000000,0.060000000,560,663,656,False
3,1,442,558,0.442000000,0.058000000,558,30,25,False
64,2,442,558,0.442000000,0.058000000,558,517,514,False
68,0,444,556,0.444000000,0.056000000,556,551,544,False
121,0,444,556,0.444000000,0.056000000,556,975,968,False
18,0,445,555,0.445000000,0.055000000,555,151,144,False
106,7,445,555,0.445000000,0.055000000,555,848,855,False
114,2,445,555,0.445000000,0.055000000,555,917,914,False
20,1,447,553,0.447000000,0.053000000,553,166,161,False
99,5,448,552,0.448000000,0.052000000,552,794,797,False
40,4,449,551,0.449000000,0.051000000,551,323,324,False
26,2,450,550,0.450000000,0.050000000,550,213,210,False
92,6,450,550,0.450000000,0.050000000,550,737,742,False
106,3,450,550,0.450000000,0.050000000,550,852,851,False
78,3,451,549,0.451000000,0.049000000,549,628,627,False
104,2,451,549,0.451000000,0.049000000,549,837,834,False
105,5,451,549,0.451000000,0.049000000,549,842,845,False
118,2,451,549,0.451000000,0.049000000,549,949,946,False
27,2,452,548,0.452000000,0.048000000,548,221,218,False
76,5,452,548,0.452000000,0.048000000,548,610,613,False
83,6,452,548,0.452000000,0.048000000,548,665,670,False
107,4,452,548,0.452000000,0.048000000,548,859,860,False
124,4,452,548,0.452000000,0.048000000,548,995,996,False
45,2,453,547,0.453000000,0.047000000,547,365,362,False
46,2,453,547,0.453000000,0.047000000,547,373,370,False
90,6,453,547,0.453000000,0.047000000,547,721,726,False
23,6,454,546,0.454000000,0.046000000,546,185,190,False
34,7,454,546,0.454000000,0.046000000,546,272,279,False
56,7,454,546,0.454000000,0.046000000,546,448,455,False
