byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,447,553,0.447000000,0.053000000,553,7,0,False
0,1,457,543,0.457000000,0.043000000,543,6,1,False
0,2,297,703,0.297000000,0.203000000,703,5,2,False
0,3,340,660,0.340000000,0.160000000,660,4,3,False
0,4,451,549,0.451000000,0.049000000,549,3,4,False
0,5,488,512,0.488000000,0.012000000,512,2,5,False
0,6,321,679,0.321000000,0.179000000,679,1,6,False
0,7,397,603,0.397000000,0.103000000,603,0,7,False
1,0,444,556,0.444000000,0.056000000,556,15,8,False
1,1,448,552,0.448000000,0.052000000,552,14,9,False
1,2,396,604,0.396000000,0.104000000,604,13,10,False
1,3,368,632,0.368000000,0.132000000,632,12,11,False
1,4,384,616,0.384000000,0.116000000,616,11,12,False
1,5,468,532,0.468000000,0.032000000,532,10,13,False
1,6,315,685,0.315000000,0.185000000,685,9,14,False
1,7,361,639,0.361000000,0.139000000,639,8,15,False
2,0,455,545,0.455000000,0.045000000,545,23,16,False
2,1,417,583,0.417000000,0.083000000,583,22,17,False
2,2,422,578,0.422000000,0.078000000,578,21,18,False
2,3,438,562,0.438000000,0.062000000,562,20,19,False
2,4,396,604,0.396000000,0.104000000,604,19,20,False
2,5,371,629,0.371000000,0.129000000,629,18,21,False
2,6,347,653,0.347000000,0.153000000,653,17,22,False
2,7,404,596,0.404000000,0.096000000,596,16,23,False
3,0,407,593,0.407000000,0.093000000,593,31,24,False
3,1,415,585,0.415000000,0.085000000,585,30,25,False
3,2,454,546,0.454000000,0.046000000,546,29,26,False
3,3,440,560,0.440000000,0.060000000,560,28,27,False
3,4,393,607,0.393000000,0.107000000,607,27,28,False
3,5,441,559,0.441000000,0.059000000,559,26,29,False
3,6,361,639,0.361000000,0.139000000,639,25,30,False
3,7,375,625,0.375000000,0.125000000,625,24,31,False
4,0,444,556,0.444000000,0.056000000,556,39,32,False
4,1,371,629,0.371000000,0.129000000,629,38,33,False
4,2,410,590,0.410000000,0.090000000,590,37,34,False
4,3,406,594,0.406000000,0.094000000,594,36,35,False
4,4,413,587,0.413000000,0.087000000,587,35,36,False
4,5,410,590,0.410000000,0.090000000,590,34,37,False
4,6,403,597,0.403000000,0.097000000,597,33,38,False
4,7,360,640,0.360000000,0.140000000,640,32,39,False
5,0,434,566,0.434000000,0.066000000,566,47,40,False
5,1,412,588,0.412000000,0.088000000,588,46,41,False
5,2,398,602,0.398000000,0.102000000,602,45,42,False
5,3,404,596,0.404000000,0.096000000,596,44,43,False
5,4,394,606,0.394000000,0.106000000,606,43,44,False
5,5,404,596,0.404000000,0.096000000,596,42,45,False
5,6,413,587,0.413000000,0.087000000,587,41,46,False
5,7,415,585,0.415000000,0.085000000,585,40,47,False
6,0,420,580,0.420000000,0.080000000,580,55,48,False
6,1,429,571,0.429000000,0.071000000,571,54,49,False
6,2,392,608,0.392000000,0.108000000,608,53,50,False
6,3,396,604,0.396000000,0.104000000,604,52,51,False
6,4,399,601,0.399000000,0.101000000,601,51,52,False
6,5,400,600,0.400000000,0.100000000,600,50,53,False
6,6,366,634,0.366000000,0.134000000,634,49,54,False
6,7,362,638,0.362000000,0.138000000,638,48,55,False
7,0,457,543,0.457000000,0.043000000,543,63,56,False
7,1,440,560,0.440000000,0.060000000,560,62,57,False
7,2,400,600,0.400000000,0.100000000,600,61,58,False
7,3,420,580,0.420000000,0.080000000,580,60,59,False
7,4,396,604,0.396000000,0.104000000,604,59,60,False
7,5,413,587,0.413000000,0.087000000,587,58,61,False
7,6,423,577,0.423000000,0.077000000,577,57,62,False
7,7,377,623,0.377000000,0.123000000,623,56,63,False
8,0,430,570,0.430000000,0.070000000,570,71,64,False
8,1,404,596,0.404000000,0.096000000,596,70,65,False
8,2,362,638,0.362000000,0.138000000,638,69,66,False
8,3,423,577,0.423000000,0.077000000,577,68,67,False
8,4,413,587,0.413000000,0.087000000,587,67,68,False
8,5,430,570,0.430000000,0.070000000,570,66,69,False
8,6,391,609,0.391000000,0.109000000,609,65,70,False
8,7,379,621,0.379000000,0.121000000,621,64,71,False
9,0,404,596,0.404000000,0.096000000,596,79,72,False
9,1,410,590,0.410000000,0.090000000,590,78,73,False
9,2,410,590,0.410000000,0.090000000,590,77,74,False
9,3,413,587,0.413000000,0.087000000,587,76,75,False
9,4,454,546,0.454000000,0.046000000,546,75,76,False
9,5,427,573,0.427000000,0.073000000,573,74,77,False
9,6,389,611,0.389000000,0.111000000,611,73,78,False
9,7,370,630,0.370000000,0.130000000,630,72,79,False
10,0,417,583,0.417000000,0.083000000,583,87,80,False
10,1,406,594,0.406000000,0.094000000,594,86,81,False
10,2,368,632,0.368000000,0.132000000,632,85,82,False
10,3,435,565,0.435000000,0.065000000,565,84,83,False
10,4,445,555,0.445000000,0.055000000,555,83,84,False
10,5,377,623,0.377000000,0.123000000,623,82,85,False
10,6,396,604,0.396000000,0.104000000,604,81,86,False
10,7,374,626,0.374000000,0.126000000,626,80,87,False
11,0,394,606,0.394000000,0.106000000,606,95,88,False
11,1,406,594,0.406000000,0.094000000,594,94,89,False
11,2,397,603,0.397000000,0.103000000,603,93,90,False
11,3,405,595,0.405000000,0.095000000,595,92,91,False
11,4,438,562,0.438000000,0.062000000,562,91,92,False
11,5,411,589,0.411000000,0.089000000,589,90,93,False
11,6,410,590,0.410000000,0.090000000,590,89,94,False
11,7,390,610,0.390000000,0.110000000,610,88,95,False
12,0,410,590,0.410000000,0.090000000,590,103,96,False
12,1,399,601,0.399000000,0.101000000,601,102,97,False
12,2,403,597,0.403000000,0.097000000,597,101,98,False
12,3,436,564,0.436000000,0.064000000,564,100,99,False
12,4,438,562,0.438000000,0.062000000,562,99,100,False
12,5,398,602,0.398000000,0.102000000,602,98,101,False
12,6,411,589,0.411000000,0.089000000,589,97,102,False
12,7,396,604,0.396000000,0.104000000,604,96,103,False
13,0,399,601,0.399000000,0.101000000,601,111,104,False
13,1,398,602,0.398000000,0.102000000,602,110,105,False
13,2,405,595,0.405000000,0.095000000,595,109,106,False
13,3,387,613,0.387000000,0.113000000,613,108,107,False
13,4,406,594,0.406000000,0.094000000,594,107,108,False
13,5,405,595,0.405000000,0.095000000,595,106,109,False
13,6,391,609,0.391000000,0.109000000,609,105,110,False
