byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,2,297,703,0.297000000,0.203000000,703,5,2,False
1,6,315,685,0.315000000,0.185000000,685,9,14,False
0,6,321,679,0.321000000,0.179000000,679,1,6,False
0,3,340,660,0.340000000,0.160000000,660,4,3,False
2,6,347,653,0.347000000,0.153000000,653,17,22,False
4,7,360,640,0.360000000,0.140000000,640,32,39,False
1,7,361,639,0.361000000,0.139000000,639,8,15,False
3,6,361,639,0.361000000,0.139000000,639,25,30,False
6,7,362,638,0.362000000,0.138000000,638,48,55,False
8,2,362,638,0.362000000,0.138000000,638,69,66,False
6,6,366,634,0.366000000,0.134000000,634,49,54,False
117,6,367,633,0.367000000,0.133000000,633,937,942,False
1,3,368,632,0.368000000,0.132000000,632,12,11,False
10,2,368,632,0.368000000,0.132000000,632,85,82,False
35,4,369,631,0.369000000,0.131000000,631,283,284,False
9,7,370,630,0.370000000,0.130000000,630,72,79,False
2,5,371,629,0.371000000,0.129000000,629,18,21,False
4,1,371,629,0.371000000,0.129000000,629,38,33,False
35,6,371,629,0.371000000,0.129000000,629,281,286,False
28,2,372,628,0.372000000,0.128000000,628,229,226,False
48,2,372,628,0.372000000,0.128000000,628,389,386,False
90,4,372,628,0.372000000,0.128000000,628,723,724,False
98,3,372,628,0.372000000,0.128000000,628,788,787,False
78,7,373,627,0.373000000,0.127000000,627,624,631,False
10,7,374,626,0.374000000,0.126000000,626,80,87,False
14,3,374,626,0.374000000,0.126000000,626,116,115,False
3,7,375,625,0.375000000,0.125000000,625,24,31,False
25,7,375,625,0.375000000,0.125000000,625,200,207,False
89,4,375,625,0.375000000,0.125000000,625,715,716,False
15,1,376,624,0.376000000,0.124000000,624,126,121,False
18,5,376,624,0.376000000,0.124000000,624,146,149,False
42,7,376,624,0.376000000,0.124000000,624,336,343,False
