byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,317,683,0.317000000,0.183000000,683,7,0,False
0,1,400,600,0.400000000,0.100000000,600,6,1,False
0,2,237,763,0.237000000,0.263000000,763,5,2,False
0,3,311,689,0.311000000,0.189000000,689,4,3,False
0,4,353,647,0.353000000,0.147000000,647,3,4,False
0,5,195,805,0.195000000,0.305000000,805,2,5,False
0,6,341,659,0.341000000,0.159000000,659,1,6,False
0,7,424,576,0.424000000,0.076000000,576,0,7,False
1,0,309,691,0.309000000,0.191000000,691,15,8,False
1,1,377,623,0.377000000,0.123000000,623,14,9,False
1,2,492,508,0.492000000,0.008000000,508,13,10,False
1,3,358,642,0.358000000,0.142000000,642,12,11,False
1,4,279,721,0.279000000,0.221000000,721,11,12,False
1,5,326,674,0.326000000,0.174000000,674,10,13,False
1,6,452,548,0.452000000,0.048000000,548,9,14,False
1,7,331,669,0.331000000,0.169000000,669,8,15,False
2,0,405,595,0.405000000,0.095000000,595,23,16,False
2,1,490,510,0.490000000,0.010000000,510,22,17,False
2,2,469,531,0.469000000,0.031000000,531,21,18,False
2,3,374,626,0.374000000,0.126000000,626,20,19,False
2,4,419,581,0.419000000,0.081000000,581,19,20,False
2,5,211,789,0.211000000,0.289000000,789,18,21,False
2,6,376,624,0.376000000,0.124000000,624,17,22,False
2,7,459,541,0.459000000,0.041000000,541,16,23,False
3,0,365,635,0.365000000,0.135000000,635,31,24,False
3,1,370,630,0.370000000,0.130000000,630,30,25,False
3,2,468,532,0.468000000,0.032000000,532,29,26,False
3,3,307,693,0.307000000,0.193000000,693,28,27,False
3,4,389,611,0.389000000,0.111000000,611,27,28,False
3,5,374,626,0.374000000,0.126000000,626,26,29,False
3,6,353,647,0.353000000,0.147000000,647,25,30,False
3,7,465,535,0.465000000,0.035000000,535,24,31,False
4,0,385,615,0.385000000,0.115000000,615,39,32,False
4,1,354,646,0.354000000,0.146000000,646,38,33,False
4,2,433,567,0.433000000,0.067000000,567,37,34,False
4,3,357,643,0.357000000,0.143000000,643,36,35,False
4,4,376,624,0.376000000,0.124000000,624,35,36,False
4,5,402,598,0.402000000,0.098000000,598,34,37,False
4,6,369,631,0.369000000,0.131000000,631,33,38,False
4,7,452,548,0.452000000,0.048000000,548,32,39,False
5,0,382,618,0.382000000,0.118000000,618,47,40,False
5,1,313,687,0.313000000,0.187000000,687,46,41,False
5,2,401,599,0.401000000,0.099000000,599,45,42,False
5,3,361,639,0.361000000,0.139000000,639,44,43,False
5,4,319,681,0.319000000,0.181000000,681,43,44,False
5,5,394,606,0.394000000,0.106000000,606,42,45,False
5,6,388,612,0.388000000,0.112000000,612,41,46,False
5,7,395,605,0.395000000,0.105000000,605,40,47,False
6,0,371,629,0.371000000,0.129000000,629,55,48,False
6,1,341,659,0.341000000,0.159000000,659,54,49,False
6,2,404,596,0.404000000,0.096000000,596,53,50,False
6,3,421,579,0.421000000,0.079000000,579,52,51,False
6,4,325,675,0.325000000,0.175000000,675,51,52,False
6,5,341,659,0.341000000,0.159000000,659,50,53,False
6,6,338,662,0.338000000,0.162000000,662,49,54,False
6,7,383,617,0.383000000,0.117000000,617,48,55,False
7,0,416,584,0.416000000,0.084000000,584,63,56,False
7,1,392,608,0.392000000,0.108000000,608,62,57,False
7,2,430,570,0.430000000,0.070000000,570,61,58,False
7,3,413,587,0.413000000,0.087000000,587,60,59,False
7,4,321,679,0.321000000,0.179000000,679,59,60,False
7,5,358,642,0.358000000,0.142000000,642,58,61,False
7,6,406,594,0.406000000,0.094000000,594,57,62,False
7,7,355,645,0.355000000,0.145000000,645,56,63,False
8,0,403,597,0.403000000,0.097000000,597,71,64,False
8,1,340,660,0.340000000,0.160000000,660,70,65,False
8,2,313,687,0.313000000,0.187000000,687,69,66,False
8,3,392,608,0.392000000,0.108000000,608,68,67,False
8,4,352,648,0.352000000,0.148000000,648,67,68,False
8,5,369,631,0.369000000,0.131000000,631,66,69,False
8,6,404,596,0.404000000,0.096000000,596,65,70,False
8,7,363,637,0.363000000,0.137000000,637,64,71,False
9,0,384,616,0.384000000,0.116000000,616,79,72,False
9,1,374,626,0.374000000,0.126000000,626,78,73,False
9,2,339,661,0.339000000,0.161000000,661,77,74,False
9,3,423,577,0.423000000,0.077000000,577,76,75,False
9,4,365,635,0.365000000,0.135000000,635,75,76,False
9,5,371,629,0.371000000,0.129000000,629,74,77,False
9,6,410,590,0.410000000,0.090000000,590,73,78,False
9,7,363,637,0.363000000,0.137000000,637,72,79,False
10,0,371,629,0.371000000,0.129000000,629,87,80,False
10,1,399,601,0.399000000,0.101000000,601,86,81,False
10,2,325,675,0.325000000,0.175000000,675,85,82,False
10,3,408,592,0.408000000,0.092000000,592,84,83,False
10,4,415,585,0.415000000,0.085000000,585,83,84,False
10,5,338,662,0.338000000,0.162000000,662,82,85,False
10,6,384,616,0.384000000,0.116000000,616,81,86,False
10,7,364,636,0.364000000,0.136000000,636,80,87,False
11,0,343,657,0.343000000,0.157000000,657,95,88,False
11,1,385,615,0.385000000,0.115000000,615,94,89,False
11,2,380,620,0.380000000,0.120000000,620,93,90,False
11,3,407,593,0.407000000,0.093000000,593,92,91,False
11,4,433,567,0.433000000,0.067000000,567,91,92,False
11,5,353,647,0.353000000,0.147000000,647,90,93,False
11,6,350,650,0.350000000,0.150000000,650,89,94,False
11,7,370,630,0.370000000,0.130000000,630,88,95,False
12,0,369,631,0.369000000,0.131000000,631,103,96,False
12,1,390,610,0.390000000,0.110000000,610,102,97,False
12,2,369,631,0.369000000,0.131000000,631,101,98,False
12,3,360,640,0.360000000,0.140000000,640,100,99,False
12,4,405,595,0.405000000,0.095000000,595,99,100,False
12,5,371,629,0.371000000,0.129000000,629,98,101,False
12,6,388,612,0.388000000,0.112000000,612,97,102,False
12,7,370,630,0.370000000,0.130000000,630,96,103,False
13,0,378,622,0.378000000,0.122000000,622,111,104,False
13,1,371,629,0.371000000,0.129000000,629,110,105,False
13,2,384,616,0.384000000,0.116000000,616,109,106,False
13,3,343,657,0.343000000,0.157000000,657,108,107,False
13,4,404,596,0.404000000,0.096000000,596,107,108,False
13,5,352,648,0.352000000,0.148000000,648,106,109,False
13,6,354,646,0.354000000,0.146000000,646,105,110,False
13,7,432,568,0.432000000,0.068000000,568,104,111,False
14,0,364,636,0.364000000,0.136000000,636,119,112,False
14,1,345,655,0.345000000,0.155000000,655,118,113,False
14,2,420,580,0.420000000,0.080000000,580,117,114,False
14,3,381,619,0.381000000,0.119000000,619,116,115,False
14,4,397,603,0.397000000,0.103000000,603,115,116,False
14,5,404,596,0.404000000,0.096000000,596,114,117,False
14,6,360,640,0.360000000,0.140000000,640,113,118,False
14,7,370,630,0.370000000,0.130000000,630,112,119,False
15,0,393,607,0.393000000,0.107000000,607,127,120,False
15,1,353,647,0.353000000,0.147000000,647,126,121,False
15,2,388,612,0.388000000,0.112000000,612,125,122,False
15,3,357,643,0.357000000,0.143000000,643,124,123,False
15,4,357,643,0.357000000,0.143000000,643,123,124,False
15,5,403,597,0.403000000,0.097000000,597,122,125,False
15,6,349,651,0.349000000,0.151000000,651,121,126,False
15,7,386,614,0.386000000,0.114000000,614,120,127,False
16,0,386,614,0.386000000,0.114000000,614,135,128,False
16,1,347,653,0.347000000,0.153000000,653,134,129,False
16,2,413,587,0.413000000,0.087000000,587,133,130,False
16,3,388,612,0.388000000,0.112000000,612,132,131,False
16,4,370,630,0.370000000,0.130000000,630,131,132,False
16,5,357,643,0.357000000,0.143000000,643,130,133,False
16,6,347,653,0.347000000,0.153000000,653,129,134,False
16,7,408,592,0.408000000,0.092000000,592,128,135,False
17,0,374,626,0.374000000,0.126000000,626,143,136,False
17,1,370,630,0.370000000,0.130000000,630,142,137,False
17,2,374,626,0.374000000,0.126000000,626,141,138,False
17,3,407,593,0.407000000,0.093000000,593,140,139,False
17,4,361,639,0.361000000,0.139000000,639,139,140,False
17,5,373,627,0.373000000,0.127000000,627,138,141,False
17,6,370,630,0.370000000,0.130000000,630,137,142,False
17,7,359,641,0.359000000,0.141000000,641,136,143,False
18,0,422,578,0.422000000,0.078000000,578,151,144,False
18,1,389,611,0.389000000,0.111000000,611,150,145,False
18,2,340,660,0.340000000,0.160000000,660,149,146,False
18,3,405,595,0.405000000,0.095000000,595,148,147,False
18,4,385,615,0.385000000,0.115000000,615,147,148,False
18,5,399,601,0.399000000,0.101000000,601,146,149,False
18,6,389,611,0.389000000,0.111000000,611,145,150,False
18,7,393,607,0.393000000,0.107000000,607,144,151,False
19,0,364,636,0.364000000,0.136000000,636,159,152,False
19,1,407,593,0.407000000,0.093000000,593,158,153,False
19,2,370,630,0.370000000,0.130000000,630,157,154,False
19,3,394,606,0.394000000,0.106000000,606,156,155,False
19,4,367,633,0.367000000,0.133000000,633,155,156,False
19,5,356,644,0.356000000,0.144000000,644,154,157,False
19,6,375,625,0.375000000,0.125000000,625,153,158,False
19,7,371,629,0.371000000,0.129000000,629,152,159,False
20,0,363,637,0.363000000,0.137000000,637,167,160,False
20,1,383,617,0.383000000,0.117000000,617,166,161,False
20,2,366,634,0.366000000,0.134000000,634,165,162,False
20,3,380,620,0.380000000,0.120000000,620,164,163,False
20,4,377,623,0.377000000,0.123000000,623,163,164,False
20,5,378,622,0.378000000,0.122000000,622,162,165,False
20,6,399,601,0.399000000,0.101000000,601,161,166,False
20,7,371,629,0.371000000,0.129000000,629,160,167,False
21,0,376,624,0.376000000,0.124000000,624,175,168,False
21,1,415,585,0.415000000,0.085000000,585,174,169,False
21,2,364,636,0.364000000,0.136000000,636,173,170,False
21,3,403,597,0.403000000,0.097000000,597,172,171,False
21,4,386,614,0.386000000,0.114000000,614,171,172,False
21,5,407,593,0.407000000,0.093000000,593,170,173,False
21,6,376,624,0.376000000,0.124000000,624,169,174,False
21,7,386,614,0.386000000,0.114000000,614,168,175,False
22,0,375,625,0.375000000,0.125000000,625,183,176,False
22,1,391,609,0.391000000,0.109000000,609,182,177,False
22,2,365,635,0.365000000,0.135000000,635,181,178,False
22,3,349,651,0.349000000,0.151000000,651,180,179,False
22,4,391,609,0.391000000,0.109000000,609,179,180,False
22,5,378,622,0.378000000,0.122000000,622,178,181,False
22,6,373,627,0.373000000,0.127000000,627,177,182,False
22,7,380,620,0.380000000,0.120000000,620,176,183,False
23,0,393,607,0.393000000,0.107000000,607,191,184,False
23,1,374,626,0.374000000,0.126000000,626,190,185,False
23,2,367,633,0.367000000,0.133000000,633,189,186,False
23,3,369,631,0.369000000,0.131000000,631,188,187,False
23,4,376,624,0.376000000,0.124000000,624,187,188,False
23,5,363,637,0.363000000,0.137000000,637,186,189,False
23,6,363,637,0.363000000,0.137000000,637,185,190,False
23,7,363,637,0.363000000,0.137000000,637,184,191,False
24,0,382,618,0.382000000,0.118000000,618,199,192,False
24,1,368,632,0.368000000,0.132000000,632,198,193,False
24,2,370,630,0.370000000,0.130000000,630,197,194,False
24,3,363,637,0.363000000,0.137000000,637,196,195,False
24,4,393,607,0.393000000,0.107000000,607,195,196,False
24,5,398,602,0.398000000,0.102000000,602,194,197,False
24,6,342,658,0.342000000,0.158000000,658,193,198,False
24,7,364,636,0.364000000,0.136000000,636,192,199,False
25,0,359,641,0.359000000,0.141000000,641,207,200,False
25,1,366,634,0.366000000,0.134000000,634,206,201,False
25,2,377,623,0.377000000,0.123000000,623,205,202,False
25,3,367,633,0.367000000,0.133000000,633,204,203,False
25,4,397,603,0.397000000,0.103000000,603,203,204,False
25,5,400,600,0.400000000,0.100000000,600,202,205,False
25,6,384,616,0.384000000,0.116000000,616,201,206,False
25,7,410,590,0.410000000,0.090000000,590,200,207,False
26,0,384,616,0.384000000,0.116000000,616,215,208,False
26,1,395,605,0.395000000,0.105000000,605,214,209,False
26,2,378,622,0.378000000,0.122000000,622,213,210,False
26,3,375,625,0.375000000,0.125000000,625,212,211,False
26,4,344,656,0.344000000,0.156000000,656,211,212,False
26,5,388,612,0.388000000,0.112000000,612,210,213,False
26,6,365,635,0.365000000,0.135000000,635,209,214,False
26,7,377,623,0.377000000,0.123000000,623,208,215,False
27,0,395,605,0.395000000,0.105000000,605,223,216,False
27,1,374,626,0.374000000,0.126000000,626,222,217,False
27,2,358,642,0.358000000,0.142000000,642,221,218,False
27,3,373,627,0.373000000,0.127000000,627,220,219,False
27,4,362,638,0.362000000,0.138000000,638,219,220,False
27,5,390,610,0.390000000,0.110000000,610,218,221,False
27,6,370,630,0.370000000,0.130000000,630,217,222,False
27,7,347,653,0.347000000,0.153000000,653,216,223,False
28,0,366,634,0.366000000,0.134000000,634,231,224,False
28,1,372,628,0.372000000,0.128000000,628,230,225,False
28,2,366,634,0.366000000,0.134000000,634,229,226,False
28,3,383,617,0.383000000,0.117000000,617,228,227,False
28,4,377,623,0.377000000,0.123000000,623,227,228,False
28,5,370,630,0.370000000,0.130000000,630,226,229,False
28,6,406,594,0.406000000,0.094000000,594,225,230,False
28,7,370,630,0.370000000,0.130000000,630,224,231,False
29,0,387,613,0.387000000,0.113000000,613,239,232,False
29,1,386,614,0.386000000,0.114000000,614,238,233,False
29,2,392,608,0.392000000,0.108000000,608,237,234,False
29,3,395,605,0.395000000,0.105000000,605,236,235,False
29,4,389,611,0.389000000,0.111000000,611,235,236,False
29,5,386,614,0.386000000,0.114000000,614,234,237,False
29,6,369,631,0.369000000,0.131000000,631,233,238,False
29,7,387,613,0.387000000,0.113000000,613,232,239,False
30,0,402,598,0.402000000,0.098000000,598,247,240,False
30,1,397,603,0.397000000,0.103000000,603,246,241,False
30,2,352,648,0.352000000,0.148000000,648,245,242,False
30,3,367,633,0.367000000,0.133000000,633,244,243,False
30,4,359,641,0.359000000,0.141000000,641,243,244,False
30,5,356,644,0.356000000,0.144000000,644,242,245,False
30,6,386,614,0.386000000,0.114000000,614,241,246,False
30,7,393,607,0.393000000,0.107000000,607,240,247,False
31,0,372,628,0.372000000,0.128000000,628,255,248,False
31,1,391,609,0.391000000,0.109000000,609,254,249,False
31,2,389,611,0.389000000,0.111000000,611,253,250,False
31,3,375,625,0.375000000,0.125000000,625,252,251,False
31,4,382,618,0.382000000,0.118000000,618,251,252,False
31,5,380,620,0.380000000,0.120000000,620,250,253,False
31,6,390,610,0.390000000,0.110000000,610,249,254,False
31,7,389,611,0.389000000,0.111000000,611,248,255,False
32,0,375,625,0.375000000,0.125000000,625,263,256,False
32,1,367,633,0.367000000,0.133000000,633,262,257,False
32,2,350,650,0.350000000,0.150000000,650,261,258,False
32,3,370,630,0.370000000,0.130000000,630,260,259,False
32,4,365,635,0.365000000,0.135000000,635,259,260,False
32,5,373,627,0.373000000,0.127000000,627,258,261,False
32,6,376,624,0.376000000,0.124000000,624,257,262,False
32,7,372,628,0.372000000,0.128000000,628,256,263,False
33,0,379,621,0.379000000,0.121000000,621,271,264,False
33,1,369,631,0.369000000,0.131000000,631,270,265,False
33,2,387,613,0.387000000,0.113000000,613,269,266,False
33,3,354,646,0.354000000,0.146000000,646,268,267,False
33,4,369,631,0.369000000,0.131000000,631,267,268,False
33,5,381,619,0.381000000,0.119000000,619,266,269,False
33,6,368,632,0.368000000,0.132000000,632,265,270,False
33,7,388,612,0.388000000,0.112000000,612,264,271,False
34,0,382,618,0.382000000,0.118000000,618,279,272,False
34,1,396,604,0.396000000,0.104000000,604,278,273,False
34,2,373,627,0.373000000,0.127000000,627,277,274,False
34,3,359,641,0.359000000,0.141000000,641,276,275,False
34,4,385,615,0.385000000,0.115000000,615,275,276,False
34,5,379,621,0.379000000,0.121000000,621,274,277,False
34,6,364,636,0.364000000,0.136000000,636,273,278,False
34,7,359,641,0.359000000,0.141000000,641,272,279,False
35,0,385,615,0.385000000,0.115000000,615,287,280,False
35,1,387,613,0.387000000,0.113000000,613,286,281,False
35,2,393,607,0.393000000,0.107000000,607,285,282,False
35,3,365,635,0.365000000,0.135000000,635,284,283,False
35,4,395,605,0.395000000,0.105000000,605,283,284,False
35,5,371,629,0.371000000,0.129000000,629,282,285,False
35,6,377,623,0.377000000,0.123000000,623,281,286,False
35,7,372,628,0.372000000,0.128000000,628,280,287,False
36,0,394,606,0.394000000,0.106000000,606,295,288,False
36,1,347,653,0.347000000,0.153000000,653,294,289,False
36,2,383,617,0.383000000,0.117000000,617,293,290,False
36,3,386,614,0.386000000,0.114000000,614,292,291,False
36,4,364,636,0.364000000,0.136000000,636,291,292,False
36,5,377,623,0.377000000,0.123000000,623,290,293,False
36,6,370,630,0.370000000,0.130000000,630,289,294,False
36,7,371,629,0.371000000,0.129000000,629,288,295,False
37,0,345,655,0.345000000,0.155000000,655,303,296,False
37,1,377,623,0.377000000,0.123000000,623,302,297,False
37,2,391,609,0.391000000,0.109000000,609,301,298,False
37,3,382,618,0.382000000,0.118000000,618,300,299,False
37,4,385,615,0.385000000,0.115000000,615,299,300,False
37,5,347,653,0.347000000,0.153000000,653,298,301,False
37,6,343,657,0.343000000,0.157000000,657,297,302,False
37,7,341,659,0.341000000,0.159000000,659,296,303,False
38,0,381,619,0.381000000,0.119000000,619,311,304,False
38,1,371,629,0.371000000,0.129000000,629,310,305,False
38,2,360,640,0.360000000,0.140000000,640,309,306,False
38,3,358,642,0.358000000,0.142000000,642,308,307,False
38,4,378,622,0.378000000,0.122000000,622,307,308,False
38,5,356,644,0.356000000,0.144000000,644,306,309,False
38,6,351,649,0.351000000,0.149000000,649,305,310,False
38,7,392,608,0.392000000,0.108000000,608,304,311,False
39,0,390,610,0.390000000,0.110000000,610,319,312,False
39,1,349,651,0.349000000,0.151000000,651,318,313,False
39,2,406,594,0.406000000,0.094000000,594,317,314,False
39,3,359,641,0.359000000,0.141000000,641,316,315,False
39,4,374,626,0.374000000,0.126000000,626,315,316,False
39,5,372,628,0.372000000,0.128000000,628,314,317,False
39,6,373,627,0.373000000,0.127000000,627,313,318,False
39,7,392,608,0.392000000,0.108000000,608,312,319,False
40,0,361,639,0.361000000,0.139000000,639,327,320,False
40,1,378,622,0.378000000,0.122000000,622,326,321,False
