byte_index,bit_index,ones,zeros,p1,x,msb_expanded_column,lsb_expanded_column
0,0,317,683,0.317000000,683,7,0
0,1,400,600,0.400000000,600,6,1
0,2,237,763,0.237000000,763,5,2
0,3,311,689,0.311000000,689,4,3
0,4,353,647,0.353000000,647,3,4
0,5,195,805,0.195000000,805,2,5
0,6,341,659,0.341000000,659,1,6
0,7,424,576,0.424000000,576,0,7
1,0,309,691,0.309000000,691,15,8
1,1,377,623,0.377000000,623,14,9
1,2,492,508,0.492000000,508,13,10
1,3,358,642,0.358000000,642,12,11
1,4,279,721,0.279000000,721,11,12
1,5,326,674,0.326000000,674,10,13
1,6,452,548,0.452000000,548,9,14
1,7,331,669,0.331000000,669,8,15
2,0,405,595,0.405000000,595,23,16
2,1,490,510,0.490000000,510,22,17
2,2,469,531,0.469000000,531,21,18
2,3,374,626,0.374000000,626,20,19
2,4,419,581,0.419000000,581,19,20
2,5,211,789,0.211000000,789,18,21
2,6,376,624,0.376000000,624,17,22
2,7,459,541,0.459000000,541,16,23
3,0,365,635,0.365000000,635,31,24
3,1,370,630,0.370000000,630,30,25
3,2,468,532,0.468000000,532,29,26
3,3,307,693,0.307000000,693,28,27
3,4,389,611,0.389000000,611,27,28
3,5,374,626,0.374000000,626,26,29
3,6,353,647,0.353000000,647,25,30
3,7,465,535,0.465000000,535,24,31
4,0,385,615,0.385000000,615,39,32
4,1,354,646,0.354000000,646,38,33
4,2,433,567,0.433000000,567,37,34
4,3,357,643,0.357000000,643,36,35
4,4,376,624,0.376000000,624,35,36
4,5,402,598,0.402000000,598,34,37
4,6,369,631,0.369000000,631,33,38
4,7,452,548,0.452000000,548,32,39
5,0,382,618,0.382000000,618,47,40
5,1,313,687,0.313000000,687,46,41
5,2,401,599,0.401000000,599,45,42
5,3,361,639,0.361000000,639,44,43
5,4,319,681,0.319000000,681,43,44
5,5,394,606,0.394000000,606,42,45
5,6,388,612,0.388000000,612,41,46
5,7,395,605,0.395000000,605,40,47
6,0,371,629,0.371000000,629,55,48
6,1,341,659,0.341000000,659,54,49
6,2,404,596,0.404000000,596,53,50
6,3,421,579,0.421000000,579,52,51
6,4,325,675,0.325000000,675,51,52
6,5,341,659,0.341000000,659,50,53
6,6,338,662,0.338000000,662,49,54
6,7,383,617,0.383000000,617,48,55
7,0,416,584,0.416000000,584,63,56
7,1,392,608,0.392000000,608,62,57
7,2,430,570,0.430000000,570,61,58
7,3,413,587,0.413000000,587,60,59
7,4,321,679,0.321000000,679,59,60
7,5,358,642,0.358000000,642,58,61
7,6,406,594,0.406000000,594,57,62
7,7,355,645,0.355000000,645,56,63
8,0,403,597,0.403000000,597,71,64
8,1,340,660,0.340000000,660,70,65
8,2,313,687,0.313000000,687,69,66
8,3,392,608,0.392000000,608,68,67
8,4,352,648,0.352000000,648,67,68
8,5,369,631,0.369000000,631,66,69
8,6,404,596,0.404000000,596,65,70
8,7,363,637,0.363000000,637,64,71
9,0,384,616,0.384000000,616,79,72
9,1,374,626,0.374000000,626,78,73
9,2,339,661,0.339000000,661,77,74
9,3,423,577,0.423000000,577,76,75
9,4,365,635,0.365000000,635,75,76
9,5,371,629,0.371000000,629,74,77
9,6,410,590,0.410000000,590,73,78
9,7,363,637,0.363000000,637,72,79
10,0,371,629,0.371000000,629,87,80
10,1,399,601,0.399000000,601,86,81
10,2,325,675,0.325000000,675,85,82
10,3,408,592,0.408000000,592,84,83
10,4,415,585,0.415000000,585,83,84
10,5,338,662,0.338000000,662,82,85
10,6,384,616,0.384000000,616,81,86
10,7,364,636,0.364000000,636,80,87
11,0,343,657,0.343000000,657,95,88
11,1,385,615,0.385000000,615,94,89
11,2,380,620,0.380000000,620,93,90
11,3,407,593,0.407000000,593,92,91
11,4,433,567,0.433000000,567,91,92
11,5,353,647,0.353000000,647,90,93
11,6,350,650,0.350000000,650,89,94
11,7,370,630,0.370000000,630,88,95
12,0,369,631,0.369000000,631,103,96
12,1,390,610,0.390000000,610,102,97
12,2,369,631,0.369000000,631,101,98
12,3,360,640,0.360000000,640,100,99
12,4,405,595,0.405000000,595,99,100
12,5,371,629,0.371000000,629,98,101
12,6,388,612,0.388000000,612,97,102
12,7,370,630,0.370000000,630,96,103
13,0,378,622,0.378000000,622,111,104
13,1,371,629,0.371000000,629,110,105
13,2,384,616,0.384000000,616,109,106
13,3,343,657,0.343000000,657,108,107
13,4,404,596,0.404000000,596,107,108
13,5,352,648,0.352000000,648,106,109
13,6,354,646,0.354000000,646,105,110
13,7,432,568,0.432000000,568,104,111
14,0,364,636,0.364000000,636,119,112
14,1,345,655,0.345000000,655,118,113
14,2,420,580,0.420000000,580,117,114
14,3,381,619,0.381000000,619,116,115
14,4,397,603,0.397000000,603,115,116
14,5,404,596,0.404000000,596,114,117
14,6,360,640,0.360000000,640,113,118
14,7,370,630,0.370000000,630,112,119
15,0,393,607,0.393000000,607,127,120
15,1,353,647,0.353000000,647,126,121
15,2,388,612,0.388000000,612,125,122
15,3,357,643,0.357000000,643,124,123
15,4,357,643,0.357000000,643,123,124
15,5,403,597,0.403000000,597,122,125
15,6,349,651,0.349000000,651,121,126
15,7,386,614,0.386000000,614,120,127
16,0,386,614,0.386000000,614,135,128
16,1,347,653,0.347000000,653,134,129
16,2,413,587,0.413000000,587,133,130
16,3,388,612,0.388000000,612,132,131
16,4,370,630,0.370000000,630,131,132
