byte_index,bit_index,ones,zeros,p1,x,msb_expanded_column,lsb_expanded_column
0,0,501,499,0.501000000,501,7,0
0,1,462,538,0.462000000,538,6,1
0,2,503,497,0.503000000,503,5,2
0,3,527,473,0.527000000,527,4,3
0,4,512,488,0.512000000,512,3,4
0,5,477,523,0.477000000,523,2,5
0,6,516,484,0.516000000,516,1,6
0,7,478,522,0.478000000,522,0,7
1,0,498,502,0.498000000,502,15,8
1,1,494,506,0.494000000,506,14,9
1,2,502,498,0.502000000,502,13,10
1,3,485,515,0.485000000,515,12,11
1,4,481,519,0.481000000,519,11,12
1,5,510,490,0.510000000,510,10,13
1,6,528,472,0.528000000,528,9,14
1,7,445,555,0.445000000,555,8,15
2,0,497,503,0.497000000,503,23,16
2,1,494,506,0.494000000,506,22,17
2,2,484,516,0.484000000,516,21,18
2,3,478,522,0.478000000,522,20,19
2,4,504,496,0.504000000,504,19,20
2,5,502,498,0.502000000,502,18,21
2,6,504,496,0.504000000,504,17,22
2,7,515,485,0.515000000,515,16,23
3,0,481,519,0.481000000,519,31,24
3,1,490,510,0.490000000,510,30,25
3,2,517,483,0.517000000,517,29,26
3,3,496,504,0.496000000,504,28,27
3,4,490,510,0.490000000,510,27,28
3,5,517,483,0.517000000,517,26,29
3,6,495,505,0.495000000,505,25,30
3,7,492,508,0.492000000,508,24,31
4,0,493,507,0.493000000,507,39,32
4,1,477,523,0.477000000,523,38,33
4,2,477,523,0.477000000,523,37,34
4,3,518,482,0.518000000,518,36,35
4,4,460,540,0.460000000,540,35,36
4,5,513,487,0.513000000,513,34,37
4,6,528,472,0.528000000,528,33,38
4,7,493,507,0.493000000,507,32,39
5,0,518,482,0.518000000,518,47,40
5,1,488,512,0.488000000,512,46,41
5,2,505,495,0.505000000,505,45,42
5,3,476,524,0.476000000,524,44,43
5,4,505,495,0.505000000,505,43,44
5,5,504,496,0.504000000,504,42,45
5,6,503,497,0.503000000,503,41,46
5,7,516,484,0.516000000,516,40,47
6,0,513,487,0.513000000,513,55,48
6,1,489,511,0.489000000,511,54,49
6,2,494,506,0.494000000,506,53,50
6,3,498,502,0.498000000,502,52,51
6,4,502,498,0.502000000,502,51,52
6,5,501,499,0.501000000,501,50,53
6,6,481,519,0.481000000,519,49,54
6,7,475,525,0.475000000,525,48,55
7,0,501,499,0.501000000,501,63,56
7,1,498,502,0.498000000,502,62,57
7,2,506,494,0.506000000,506,61,58
7,3,497,503,0.497000000,503,60,59
7,4,501,499,0.501000000,501,59,60
7,5,534,466,0.534000000,534,58,61
7,6,491,509,0.491000000,509,57,62
7,7,504,496,0.504000000,504,56,63
8,0,506,494,0.506000000,506,71,64
8,1,505,495,0.505000000,505,70,65
8,2,481,519,0.481000000,519,69,66
8,3,503,497,0.503000000,503,68,67
8,4,512,488,0.512000000,512,67,68
8,5,482,518,0.482000000,518,66,69
8,6,495,505,0.495000000,505,65,70
8,7,480,520,0.480000000,520,64,71
9,0,515,485,0.515000000,515,79,72
