byte_index,ones,zeros,p1,abs_bias
0,2774,5226,0.346750000,0.153250000
1,3223,4777,0.402875000,0.097125000
2,3361,4639,0.420125000,0.079875000
3,3161,4839,0.395125000,0.104875000
4,3050,4950,0.381250000,0.118750000
5,3168,4832,0.396000000,0.104000000
6,3338,4662,0.417250000,0.082750000
7,3059,4941,0.382375000,0.117625000
8,3237,4763,0.404625000,0.095375000
9,3083,4917,0.385375000,0.114625000
10,3265,4735,0.408125000,0.091875000
11,3187,4813,0.398375000,0.101625000
12,3150,4850,0.393750000,0.106250000
13,3161,4839,0.395125000,0.104875000
14,3227,4773,0.403375000,0.096625000
15,3282,4718,0.410250000,0.089750000
16,3184,4816,0.398000000,0.102000000
17,3101,4899,0.387625000,0.112375000
18,3086,4914,0.385750000,0.114250000
19,3162,4838,0.395250000,0.104750000
20,3084,4916,0.385500000,0.114500000
21,3179,4821,0.397375000,0.102625000
22,3081,4919,0.385125000,0.114875000
23,3087,4913,0.385875000,0.114125000
24,3072,4928,0.384000000,0.116000000
25,3132,4868,0.391500000,0.108500000
26,3167,4833,0.395875000,0.104125000
27,3108,4892,0.388500000,0.111500000
28,3208,4792,0.401000000,0.099000000
29,3003,4997,0.375375000,0.124625000
30,3060,4940,0.382500000,0.117500000
31,3147,4853,0.393375000,0.106625000
