byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,448,552,0.448000000,0.052000000,552,7,0,False
0,1,467,533,0.467000000,0.033000000,533,6,1,False
0,2,378,622,0.378000000,0.122000000,622,5,2,False
0,3,362,638,0.362000000,0.138000000,638,4,3,False
0,4,197,803,0.197000000,0.303000000,803,3,4,False
0,5,395,605,0.395000000,0.105000000,605,2,5,False
0,6,193,807,0.193000000,0.307000000,807,1,6,False
0,7,334,666,0.334000000,0.166000000,666,0,7,False
1,0,396,604,0.396000000,0.104000000,604,15,8,False
1,1,399,601,0.399000000,0.101000000,601,14,9,False
1,2,438,562,0.438000000,0.062000000,562,13,10,False
1,3,344,656,0.344000000,0.156000000,656,12,11,False
1,4,431,569,0.431000000,0.069000000,569,11,12,False
1,5,439,561,0.439000000,0.061000000,561,10,13,False
1,6,467,533,0.467000000,0.033000000,533,9,14,False
1,7,309,691,0.309000000,0.191000000,691,8,15,False
2,0,415,585,0.415000000,0.085000000,585,23,16,False
2,1,438,562,0.438000000,0.062000000,562,22,17,False
2,2,448,552,0.448000000,0.052000000,552,21,18,False
2,3,479,521,0.479000000,0.021000000,521,20,19,False
2,4,378,622,0.378000000,0.122000000,622,19,20,False
2,5,368,632,0.368000000,0.132000000,632,18,21,False
2,6,362,638,0.362000000,0.138000000,638,17,22,False
2,7,473,527,0.473000000,0.027000000,527,16,23,False
3,0,280,720,0.280000000,0.220000000,720,31,24,False
3,1,427,573,0.427000000,0.073000000,573,30,25,False
3,2,432,568,0.432000000,0.068000000,568,29,26,False
3,3,438,562,0.438000000,0.062000000,562,28,27,False
3,4,426,574,0.426000000,0.074000000,574,27,28,False
3,5,342,658,0.342000000,0.158000000,658,26,29,False
3,6,428,572,0.428000000,0.072000000,572,25,30,False
3,7,388,612,0.388000000,0.112000000,612,24,31,False
4,0,386,614,0.386000000,0.114000000,614,39,32,False
4,1,289,711,0.289000000,0.211000000,711,38,33,False
4,2,392,608,0.392000000,0.108000000,608,37,34,False
4,3,410,590,0.410000000,0.090000000,590,36,35,False
4,4,369,631,0.369000000,0.131000000,631,35,36,False
4,5,399,601,0.399000000,0.101000000,601,34,37,False
4,6,399,601,0.399000000,0.101000000,601,33,38,False
4,7,406,594,0.406000000,0.094000000,594,32,39,False
5,0,364,636,0.364000000,0.136000000,636,47,40,False
5,1,444,556,0.444000000,0.056000000,556,46,41,False
5,2,364,636,0.364000000,0.136000000,636,45,42,False
5,3,423,577,0.423000000,0.077000000,577,44,43,False
5,4,431,569,0.431000000,0.069000000,569,43,44,False
5,5,410,590,0.410000000,0.090000000,590,42,45,False
5,6,448,552,0.448000000,0.052000000,552,41,46,False
5,7,284,716,0.284000000,0.216000000,716,40,47,False
6,0,452,548,0.452000000,0.048000000,548,55,48,False
6,1,374,626,0.374000000,0.126000000,626,54,49,False
6,2,421,579,0.421000000,0.079000000,579,53,50,False
6,3,390,610,0.390000000,0.110000000,610,52,51,False
6,4,444,556,0.444000000,0.056000000,556,51,52,False
6,5,442,558,0.442000000,0.058000000,558,50,53,False
6,6,385,615,0.385000000,0.115000000,615,49,54,False
6,7,430,570,0.430000000,0.070000000,570,48,55,False
7,0,372,628,0.372000000,0.128000000,628,63,56,False
