byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,3,101,899,0.101000000,0.399000000,899,4,3,False
1,7,118,882,0.118000000,0.382000000,882,8,15,False
0,6,130,870,0.130000000,0.370000000,870,1,6,False
3,6,147,853,0.147000000,0.353000000,853,25,30,False
0,5,176,824,0.176000000,0.324000000,824,2,5,False
6,7,181,819,0.181000000,0.319000000,819,48,55,False
0,2,182,818,0.182000000,0.318000000,818,5,2,False
3,3,202,798,0.202000000,0.298000000,798,28,27,False
5,5,206,794,0.206000000,0.294000000,794,42,45,False
7,4,216,784,0.216000000,0.284000000,784,59,60,False
8,6,217,783,0.217000000,0.283000000,783,65,70,False
0,0,221,779,0.221000000,0.279000000,779,7,0,False
3,0,223,777,0.223000000,0.277000000,777,31,24,False
5,2,223,777,0.223000000,0.277000000,777,45,42,False
9,0,224,776,0.224000000,0.276000000,776,79,72,False
2,1,228,772,0.228000000,0.272000000,772,22,17,False
20,0,231,769,0.231000000,0.269000000,769,167,160,False
25,3,232,768,0.232000000,0.268000000,768,204,203,False
1,1,233,767,0.233000000,0.267000000,767,14,9,False
10,2,234,766,0.234000000,0.266000000,766,85,82,False
6,4,237,763,0.237000000,0.263000000,763,51,52,False
7,1,240,760,0.240000000,0.260000000,760,62,57,False
17,1,240,760,0.240000000,0.260000000,760,142,137,False
4,0,242,758,0.242000000,0.258000000,758,39,32,False
4,4,243,757,0.243000000,0.257000000,757,35,36,False
10,5,243,757,0.243000000,0.257000000,757,82,85,False
2,4,245,755,0.245000000,0.255000000,755,19,20,False
19,3,246,754,0.246000000,0.254000000,754,156,155,False
13,4,247,753,0.247000000,0.253000000,753,107,108,False
15,2,249,751,0.249000000,0.251000000,751,125,122,False
2,5,252,748,0.252000000,0.248000000,748,18,21,False
12,7,253,747,0.253000000,0.247000000,747,96,103,False
