byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
0,0,221,779,0.221000000,0.279000000,779,7,0
0,1,437,563,0.437000000,0.063000000,563,6,1
0,2,182,818,0.182000000,0.318000000,818,5,2
0,3,101,899,0.101000000,0.399000000,899,4,3
0,4,362,638,0.362000000,0.138000000,638,3,4
0,5,176,824,0.176000000,0.324000000,824,2,5
0,6,130,870,0.130000000,0.370000000,870,1,6
0,7,316,684,0.316000000,0.184000000,684,0,7
1,0,308,692,0.308000000,0.192000000,692,15,8
1,1,233,767,0.233000000,0.267000000,767,14,9
1,2,334,666,0.334000000,0.166000000,666,13,10
1,3,314,686,0.314000000,0.186000000,686,12,11
1,4,265,735,0.265000000,0.235000000,735,11,12
1,5,408,592,0.408000000,0.092000000,592,10,13
1,6,469,531,0.469000000,0.031000000,531,9,14
1,7,118,882,0.118000000,0.382000000,882,8,15
2,0,397,603,0.397000000,0.103000000,603,23,16
2,1,228,772,0.228000000,0.272000000,772,22,17
2,2,257,743,0.257000000,0.243000000,743,21,18
2,3,343,657,0.343000000,0.157000000,657,20,19
2,4,245,755,0.245000000,0.255000000,755,19,20
2,5,252,748,0.252000000,0.248000000,748,18,21
2,6,281,719,0.281000000,0.219000000,719,17,22
2,7,300,700,0.300000000,0.200000000,700,16,23
3,0,223,777,0.223000000,0.277000000,777,31,24
3,1,304,696,0.304000000,0.196000000,696,30,25
3,2,333,667,0.333000000,0.167000000,667,29,26
3,3,202,798,0.202000000,0.298000000,798,28,27
3,4,296,704,0.296000000,0.204000000,704,27,28
3,5,376,624,0.376000000,0.124000000,624,26,29
3,6,147,853,0.147000000,0.353000000,853,25,30
3,7,262,738,0.262000000,0.238000000,738,24,31
4,0,242,758,0.242000000,0.258000000,758,39,32
4,1,268,732,0.268000000,0.232000000,732,38,33
4,2,349,651,0.349000000,0.151000000,651,37,34
4,3,262,738,0.262000000,0.238000000,738,36,35
4,4,243,757,0.243000000,0.257000000,757,35,36
4,5,257,743,0.257000000,0.243000000,743,34,37
4,6,354,646,0.354000000,0.146000000,646,33,38
4,7,352,648,0.352000000,0.148000000,648,32,39
5,0,276,724,0.276000000,0.224000000,724,47,40
5,1,362,638,0.362000000,0.138000000,638,46,41
5,2,223,777,0.223000000,0.277000000,777,45,42
5,3,279,721,0.279000000,0.221000000,721,44,43
5,4,363,637,0.363000000,0.137000000,637,43,44
5,5,206,794,0.206000000,0.294000000,794,42,45
5,6,272,728,0.272000000,0.228000000,728,41,46
5,7,358,642,0.358000000,0.142000000,642,40,47
6,0,271,729,0.271000000,0.229000000,729,55,48
6,1,256,744,0.256000000,0.244000000,744,54,49
6,2,289,711,0.289000000,0.211000000,711,53,50
6,3,299,701,0.299000000,0.201000000,701,52,51
6,4,237,763,0.237000000,0.263000000,763,51,52
6,5,298,702,0.298000000,0.202000000,702,50,53
6,6,311,689,0.311000000,0.189000000,689,49,54
6,7,181,819,0.181000000,0.319000000,819,48,55
7,0,346,654,0.346000000,0.154000000,654,63,56
7,1,240,760,0.240000000,0.260000000,760,62,57
7,2,291,709,0.291000000,0.209000000,709,61,58
7,3,298,702,0.298000000,0.202000000,702,60,59
7,4,216,784,0.216000000,0.284000000,784,59,60
7,5,277,723,0.277000000,0.223000000,723,58,61
7,6,352,648,0.352000000,0.148000000,648,57,62
7,7,279,721,0.279000000,0.221000000,721,56,63
8,0,259,741,0.259000000,0.241000000,741,71,64
8,1,268,732,0.268000000,0.232000000,732,70,65
8,2,318,682,0.318000000,0.182000000,682,69,66
8,3,258,742,0.258000000,0.242000000,742,68,67
8,4,328,672,0.328000000,0.172000000,672,67,68
8,5,325,675,0.325000000,0.175000000,675,66,69
8,6,217,783,0.217000000,0.283000000,783,65,70
8,7,303,697,0.303000000,0.197000000,697,64,71
9,0,224,776,0.224000000,0.276000000,776,79,72
9,1,259,741,0.259000000,0.241000000,741,78,73
9,2,290,710,0.290000000,0.210000000,710,77,74
9,3,255,745,0.255000000,0.245000000,745,76,75
9,4,307,693,0.307000000,0.193000000,693,75,76
9,5,315,685,0.315000000,0.185000000,685,74,77
9,6,292,708,0.292000000,0.208000000,708,73,78
9,7,268,732,0.268000000,0.232000000,732,72,79
10,0,300,700,0.300000000,0.200000000,700,87,80
10,1,308,692,0.308000000,0.192000000,692,86,81
10,2,234,766,0.234000000,0.266000000,766,85,82
10,3,306,694,0.306000000,0.194000000,694,84,83
10,4,342,658,0.342000000,0.158000000,658,83,84
10,5,243,757,0.243000000,0.257000000,757,82,85
