bit_order,expanded_column,byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
lsb,0,0,0,499,501,0.499000000,0.001000000,501,7,0
lsb,1,0,1,500,500,0.500000000,0.000000000,500,6,1
lsb,2,0,2,477,523,0.477000000,0.023000000,523,5,2
lsb,3,0,3,502,498,0.502000000,0.002000000,502,4,3
lsb,4,0,4,492,508,0.492000000,0.008000000,508,3,4
lsb,5,0,5,502,498,0.502000000,0.002000000,502,2,5
lsb,6,0,6,481,519,0.481000000,0.019000000,519,1,6
lsb,7,0,7,478,522,0.478000000,0.022000000,522,0,7
lsb,8,1,0,503,497,0.503000000,0.003000000,503,15,8
lsb,9,1,1,507,493,0.507000000,0.007000000,507,14,9
lsb,10,1,2,484,516,0.484000000,0.016000000,516,13,10
lsb,11,1,3,514,486,0.514000000,0.014000000,514,12,11
lsb,12,1,4,490,510,0.490000000,0.010000000,510,11,12
lsb,13,1,5,504,496,0.504000000,0.004000000,504,10,13
lsb,14,1,6,513,487,0.513000000,0.013000000,513,9,14
lsb,15,1,7,496,504,0.496000000,0.004000000,504,8,15
lsb,16,2,0,488,512,0.488000000,0.012000000,512,23,16
lsb,17,2,1,498,502,0.498000000,0.002000000,502,22,17
lsb,18,2,2,477,523,0.477000000,0.023000000,523,21,18
lsb,19,2,3,482,518,0.482000000,0.018000000,518,20,19
lsb,20,2,4,470,530,0.470000000,0.030000000,530,19,20
lsb,21,2,5,493,507,0.493000000,0.007000000,507,18,21
lsb,22,2,6,477,523,0.477000000,0.023000000,523,17,22
lsb,23,2,7,524,476,0.524000000,0.024000000,524,16,23
lsb,24,3,0,517,483,0.517000000,0.017000000,517,31,24
lsb,25,3,1,510,490,0.510000000,0.010000000,510,30,25
lsb,26,3,2,502,498,0.502000000,0.002000000,502,29,26
lsb,27,3,3,481,519,0.481000000,0.019000000,519,28,27
lsb,28,3,4,530,470,0.530000000,0.030000000,530,27,28
lsb,29,3,5,505,495,0.505000000,0.005000000,505,26,29
lsb,30,3,6,488,512,0.488000000,0.012000000,512,25,30
lsb,31,3,7,508,492,0.508000000,0.008000000,508,24,31
lsb,32,4,0,507,493,0.507000000,0.007000000,507,39,32
lsb,33,4,1,500,500,0.500000000,0.000000000,500,38,33
lsb,34,4,2,492,508,0.492000000,0.008000000,508,37,34
lsb,35,4,3,525,475,0.525000000,0.025000000,525,36,35
lsb,36,4,4,508,492,0.508000000,0.008000000,508,35,36
lsb,37,4,5,507,493,0.507000000,0.007000000,507,34,37
lsb,38,4,6,469,531,0.469000000,0.031000000,531,33,38
lsb,39,4,7,520,480,0.520000000,0.020000000,520,32,39
lsb,40,5,0,501,499,0.501000000,0.001000000,501,47,40
lsb,41,5,1,480,520,0.480000000,0.020000000,520,46,41
lsb,42,5,2,512,488,0.512000000,0.012000000,512,45,42
lsb,43,5,3,533,467,0.533000000,0.033000000,533,44,43
lsb,44,5,4,500,500,0.500000000,0.000000000,500,43,44
lsb,45,5,5,506,494,0.506000000,0.006000000,506,42,45
lsb,46,5,6,493,507,0.493000000,0.007000000,507,41,46
lsb,47,5,7,488,512,0.488000000,0.012000000,512,40,47
lsb,48,6,0,469,531,0.469000000,0.031000000,531,55,48
lsb,49,6,1,496,504,0.496000000,0.004000000,504,54,49
lsb,50,6,2,507,493,0.507000000,0.007000000,507,53,50
lsb,51,6,3,497,503,0.497000000,0.003000000,503,52,51
lsb,52,6,4,491,509,0.491000000,0.009000000,509,51,52
lsb,53,6,5,535,465,0.535000000,0.035000000,535,50,53
lsb,54,6,6,484,516,0.484000000,0.016000000,516,49,54
lsb,55,6,7,484,516,0.484000000,0.016000000,516,48,55
lsb,56,7,0,493,507,0.493000000,0.007000000,507,63,56
lsb,57,7,1,501,499,0.501000000,0.001000000,501,62,57
lsb,58,7,2,490,510,0.490000000,0.010000000,510,61,58
lsb,59,7,3,497,503,0.497000000,0.003000000,503,60,59
lsb,60,7,4,511,489,0.511000000,0.011000000,511,59,60
lsb,61,7,5,490,510,0.490000000,0.010000000,510,58,61
lsb,62,7,6,486,514,0.486000000,0.014000000,514,57,62
lsb,63,7,7,492,508,0.492000000,0.008000000,508,56,63
lsb,64,8,0,474,526,0.474000000,0.026000000,526,71,64
lsb,65,8,1,476,524,0.476000000,0.024000000,524,70,65
lsb,66,8,2,504,496,0.504000000,0.004000000,504,69,66
lsb,67,8,3,512,488,0.512000000,0.012000000,512,68,67
lsb,68,8,4,512,488,0.512000000,0.012000000,512,67,68
lsb,69,8,5,509,491,0.509000000,0.009000000,509,66,69
lsb,70,8,6,478,522,0.478000000,0.022000000,522,65,70
lsb,71,8,7,495,505,0.495000000,0.005000000,505,64,71
lsb,72,9,0,500,500,0.500000000,0.000000000,500,79,72
lsb,73,9,1,485,515,0.485000000,0.015000000,515,78,73
lsb,74,9,2,535,465,0.535000000,0.035000000,535,77,74
lsb,75,9,3,507,493,0.507000000,0.007000000,507,76,75
lsb,76,9,4,484,516,0.484000000,0.016000000,516,75,76
lsb,77,9,5,496,504,0.496000000,0.004000000,504,74,77
lsb,78,9,6,489,511,0.489000000,0.011000000,511,73,78
lsb,79,9,7,503,497,0.503000000,0.003000000,503,72,79
lsb,80,10,0,511,489,0.511000000,0.011000000,511,87,80
lsb,81,10,1,506,494,0.506000000,0.006000000,506,86,81
lsb,82,10,2,489,511,0.489000000,0.011000000,511,85,82
lsb,83,10,3,516,484,0.516000000,0.016000000,516,84,83
lsb,84,10,4,513,487,0.513000000,0.013000000,513,83,84
lsb,85,10,5,502,498,0.502000000,0.002000000,502,82,85
lsb,86,10,6,472,528,0.472000000,0.028000000,528,81,86
lsb,87,10,7,504,496,0.504000000,0.004000000,504,80,87
lsb,88,11,0,481,519,0.481000000,0.019000000,519,95,88
lsb,89,11,1,522,478,0.522000000,0.022000000,522,94,89
lsb,90,11,2,503,497,0.503000000,0.003000000,503,93,90
lsb,91,11,3,506,494,0.506000000,0.006000000,506,92,91
lsb,92,11,4,510,490,0.510000000,0.010000000,510,91,92
lsb,93,11,5,495,505,0.495000000,0.005000000,505,90,93
lsb,94,11,6,483,517,0.483000000,0.017000000,517,89,94
lsb,95,11,7,516,484,0.516000000,0.016000000,516,88,95
lsb,96,12,0,504,496,0.504000000,0.004000000,504,103,96
lsb,97,12,1,507,493,0.507000000,0.007000000,507,102,97
lsb,98,12,2,487,513,0.487000000,0.013000000,513,101,98
lsb,99,12,3,519,481,0.519000000,0.019000000,519,100,99
lsb,100,12,4,499,501,0.499000000,0.001000000,501,99,100
lsb,101,12,5,495,505,0.495000000,0.005000000,505,98,101
lsb,102,12,6,489,511,0.489000000,0.011000000,511,97,102
lsb,103,12,7,502,498,0.502000000,0.002000000,502,96,103
lsb,104,13,0,514,486,0.514000000,0.014000000,514,111,104
lsb,105,13,1,543,457,0.543000000,0.043000000,543,110,105
lsb,106,13,2,468,532,0.468000000,0.032000000,532,109,106
lsb,107,13,3,482,518,0.482000000,0.018000000,518,108,107
lsb,108,13,4,504,496,0.504000000,0.004000000,504,107,108
lsb,109,13,5,487,513,0.487000000,0.013000000,513,106,109
lsb,110,13,6,507,493,0.507000000,0.007000000,507,105,110
lsb,111,13,7,498,502,0.498000000,0.002000000,502,104,111
lsb,112,14,0,483,517,0.483000000,0.017000000,517,119,112
lsb,113,14,1,512,488,0.512000000,0.012000000,512,118,113
lsb,114,14,2,498,502,0.498000000,0.002000000,502,117,114
lsb,115,14,3,497,503,0.497000000,0.003000000,503,116,115
lsb,116,14,4,466,534,0.466000000,0.034000000,534,115,116
lsb,117,14,5,494,506,0.494000000,0.006000000,506,114,117
lsb,118,14,6,507,493,0.507000000,0.007000000,507,113,118
lsb,119,14,7,503,497,0.503000000,0.003000000,503,112,119
lsb,120,15,0,536,464,0.536000000,0.036000000,536,127,120
lsb,121,15,1,498,502,0.498000000,0.002000000,502,126,121
lsb,122,15,2,502,498,0.502000000,0.002000000,502,125,122
lsb,123,15,3,495,505,0.495000000,0.005000000,505,124,123
lsb,124,15,4,503,497,0.503000000,0.003000000,503,123,124
lsb,125,15,5,510,490,0.510000000,0.010000000,510,122,125
lsb,126,15,6,500,500,0.500000000,0.000000000,500,121,126
lsb,127,15,7,493,507,0.493000000,0.007000000,507,120,127
lsb,128,16,0,521,479,0.521000000,0.021000000,521,135,128
lsb,129,16,1,523,477,0.523000000,0.023000000,523,134,129
lsb,130,16,2,494,506,0.494000000,0.006000000,506,133,130
lsb,131,16,3,504,496,0.504000000,0.004000000,504,132,131
lsb,132,16,4,476,524,0.476000000,0.024000000,524,131,132
lsb,133,16,5,487,513,0.487000000,0.013000000,513,130,133
lsb,134,16,6,479,521,0.479000000,0.021000000,521,129,134
lsb,135,16,7,499,501,0.499000000,0.001000000,501,128,135
lsb,136,17,0,472,528,0.472000000,0.028000000,528,143,136
lsb,137,17,1,512,488,0.512000000,0.012000000,512,142,137
lsb,138,17,2,489,511,0.489000000,0.011000000,511,141,138
lsb,139,17,3,525,475,0.525000000,0.025000000,525,140,139
lsb,140,17,4,449,551,0.449000000,0.051000000,551,139,140
lsb,141,17,5,506,494,0.506000000,0.006000000,506,138,141
lsb,142,17,6,490,510,0.490000000,0.010000000,510,137,142
lsb,143,17,7,538,462,0.538000000,0.038000000,538,136,143
lsb,144,18,0,526,474,0.526000000,0.026000000,526,151,144
lsb,145,18,1,473,527,0.473000000,0.027000000,527,150,145
lsb,146,18,2,518,482,0.518000000,0.018000000,518,149,146
lsb,147,18,3,503,497,0.503000000,0.003000000,503,148,147
lsb,148,18,4,496,504,0.496000000,0.004000000,504,147,148
lsb,149,18,5,506,494,0.506000000,0.006000000,506,146,149
lsb,150,18,6,475,525,0.475000000,0.025000000,525,145,150
lsb,151,18,7,483,517,0.483000000,0.017000000,517,144,151
lsb,152,19,0,498,502,0.498000000,0.002000000,502,159,152
lsb,153,19,1,508,492,0.508000000,0.008000000,508,158,153
lsb,154,19,2,479,521,0.479000000,0.021000000,521,157,154
lsb,155,19,3,503,497,0.503000000,0.003000000,503,156,155
lsb,156,19,4,490,510,0.490000000,0.010000000,510,155,156
lsb,157,19,5,503,497,0.503000000,0.003000000,503,154,157
lsb,158,19,6,495,505,0.495000000,0.005000000,505,153,158
lsb,159,19,7,510,490,0.510000000,0.010000000,510,152,159
lsb,160,20,0,508,492,0.508000000,0.008000000,508,167,160
lsb,161,20,1,516,484,0.516000000,0.016000000,516,166,161
lsb,162,20,2,477,523,0.477000000,0.023000000,523,165,162
lsb,163,20,3,501,499,0.501000000,0.001000000,501,164,163
lsb,164,20,4,523,477,0.523000000,0.023000000,523,163,164
lsb,165,20,5,499,501,0.499000000,0.001000000,501,162,165
lsb,166,20,6,488,512,0.488000000,0.012000000,512,161,166
