bit_order,expanded_column,byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
lsb,0,0,0,11,21,0.343750000,0.156250000,21,7,0
lsb,1,0,1,13,19,0.406250000,0.093750000,19,6,1
lsb,2,0,2,15,17,0.468750000,0.031250000,17,5,2
lsb,3,0,3,12,20,0.375000000,0.125000000,20,4,3
lsb,4,0,4,11,21,0.343750000,0.156250000,21,3,4
lsb,5,0,5,15,17,0.468750000,0.031250000,17,2,5
lsb,6,0,6,12,20,0.375000000,0.125000000,20,1,6
lsb,7,0,7,10,22,0.312500000,0.187500000,22,0,7
lsb,8,1,0,8,24,0.250000000,0.250000000,24,15,8
lsb,9,1,1,6,26,0.187500000,0.312500000,26,14,9
lsb,10,1,2,10,22,0.312500000,0.187500000,22,13,10
lsb,11,1,3,14,18,0.437500000,0.062500000,18,12,11
lsb,12,1,4,14,18,0.437500000,0.062500000,18,11,12
lsb,13,1,5,10,22,0.312500000,0.187500000,22,10,13
lsb,14,1,6,16,16,0.500000000,0.000000000,16,9,14
lsb,15,1,7,14,18,0.437500000,0.062500000,18,8,15
lsb,16,2,0,15,17,0.468750000,0.031250000,17,23,16
lsb,17,2,1,12,20,0.375000000,0.125000000,20,22,17
lsb,18,2,2,12,20,0.375000000,0.125000000,20,21,18
lsb,19,2,3,6,26,0.187500000,0.312500000,26,20,19
lsb,20,2,4,11,21,0.343750000,0.156250000,21,19,20
lsb,21,2,5,8,24,0.250000000,0.250000000,24,18,21
lsb,22,2,6,10,22,0.312500000,0.187500000,22,17,22
lsb,23,2,7,14,18,0.437500000,0.062500000,18,16,23
lsb,24,3,0,14,18,0.437500000,0.062500000,18,31,24
lsb,25,3,1,16,16,0.500000000,0.000000000,16,30,25
lsb,26,3,2,13,19,0.406250000,0.093750000,19,29,26
lsb,27,3,3,9,23,0.281250000,0.218750000,23,28,27
lsb,28,3,4,5,27,0.156250000,0.343750000,27,27,28
