byte_index,ones,zeros,p1,abs_bias
0,99,157,0.386718750,0.113281250
1,92,164,0.359375000,0.140625000
2,88,168,0.343750000,0.156250000
3,92,164,0.359375000,0.140625000
4,91,165,0.355468750,0.144531250
5,103,153,0.402343750,0.097656250
6,93,163,0.363281250,0.136718750
7,107,149,0.417968750,0.082031250
8,103,153,0.402343750,0.097656250
9,113,143,0.441406250,0.058593750
10,99,157,0.386718750,0.113281250
11,95,161,0.371093750,0.128906250
12,96,160,0.375000000,0.125000000
13,92,164,0.359375000,0.140625000
14,88,168,0.343750000,0.156250000
15,94,162,0.367187500,0.132812500
