byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
3,4,5,27,0.156250000,0.343750000,27,27,28,False
1,1,6,26,0.187500000,0.312500000,26,14,9,False
2,3,6,26,0.187500000,0.312500000,26,20,19,False
12,0,6,26,0.187500000,0.312500000,26,103,96,False
6,7,7,25,0.218750000,0.281250000,25,48,55,False
10,5,7,25,0.218750000,0.281250000,25,82,85,False
13,1,7,25,0.218750000,0.281250000,25,110,105,False
1,0,8,24,0.250000000,0.250000000,24,15,8,False
2,5,8,24,0.250000000,0.250000000,24,18,21,False
4,5,8,24,0.250000000,0.250000000,24,34,37,False
8,2,8,24,0.250000000,0.250000000,24,69,66,False
8,4,24,8,0.750000000,0.250000000,24,67,68,False
8,6,8,24,0.250000000,0.250000000,24,65,70,False
15,7,8,24,0.250000000,0.250000000,24,120,127,False
3,3,9,23,0.281250000,0.218750000,23,28,27,False
3,7,9,23,0.281250000,0.218750000,23,24,31,False
4,1,9,23,0.281250000,0.218750000,23,38,33,False
4,3,9,23,0.281250000,0.218750000,23,36,35,False
6,4,9,23,0.281250000,0.218750000,23,51,52,False
8,0,9,23,0.281250000,0.218750000,23,71,64,False
8,3,9,23,0.281250000,0.218750000,23,68,67,False
12,1,9,23,0.281250000,0.218750000,23,102,97,False
14,0,9,23,0.281250000,0.218750000,23,119,112,False
14,3,9,23,0.281250000,0.218750000,23,116,115,False
0,7,10,22,0.312500000,0.187500000,22,0,7,False
1,2,10,22,0.312500000,0.187500000,22,13,10,False
1,5,10,22,0.312500000,0.187500000,22,10,13,False
2,6,10,22,0.312500000,0.187500000,22,17,22,False
4,4,10,22,0.312500000,0.187500000,22,35,36,False
7,5,10,22,0.312500000,0.187500000,22,58,61,False
10,0,10,22,0.312500000,0.187500000,22,87,80,False
11,0,10,22,0.312500000,0.187500000,22,95,88,False
