label,seq,row_index,phase,phase_name,event_index,fifo_byte,fifo_empty,fifo_full,ro_en
smoke_run01_fixed_decode,0,0,1,warmup,0,161,0,1,1
smoke_run01_fixed_decode,1,0,1,warmup,1,4,0,1,1
smoke_run01_fixed_decode,2,0,1,warmup,2,21,0,1,1
smoke_run01_fixed_decode,3,0,1,warmup,3,130,0,1,1
smoke_run01_fixed_decode,4,0,2,send,0,5,0,1,1
smoke_run01_fixed_decode,5,0,2,send,1,193,0,1,1
smoke_run01_fixed_decode,6,0,2,send,2,213,0,1,1
smoke_run01_fixed_decode,7,0,2,send,3,54,0,1,1
smoke_run01_fixed_decode,8,0,2,send,4,60,0,1,1
smoke_run01_fixed_decode,9,0,2,send,5,44,0,1,1
smoke_run01_fixed_decode,10,0,2,send,6,1,0,1,1
smoke_run01_fixed_decode,11,0,2,send,7,51,0,1,1
smoke_run01_fixed_decode,12,0,2,send,8,16,0,1,1
smoke_run01_fixed_decode,13,0,2,send,9,30,0,1,1
smoke_run01_fixed_decode,14,0,2,send,10,87,0,1,1
smoke_run01_fixed_decode,15,0,2,send,11,228,0,1,1
smoke_run01_fixed_decode,16,0,2,send,12,92,0,1,1
smoke_run01_fixed_decode,17,0,2,send,13,100,0,1,1
smoke_run01_fixed_decode,18,0,2,send,14,100,0,1,1
smoke_run01_fixed_decode,19,0,2,send,15,75,0,1,1
smoke_run01_fixed_decode,20,1,1,warmup,0,50,0,1,1
smoke_run01_fixed_decode,21,1,1,warmup,1,20,0,1,1
smoke_run01_fixed_decode,22,1,1,warmup,2,200,0,1,1
smoke_run01_fixed_decode,23,1,1,warmup,3,0,0,1,1
smoke_run01_fixed_decode,24,1,2,send,0,88,0,1,1
smoke_run01_fixed_decode,25,1,2,send,1,161,0,1,1
smoke_run01_fixed_decode,26,1,2,send,2,4,0,1,1
smoke_run01_fixed_decode,27,1,2,send,3,150,0,1,1
smoke_run01_fixed_decode,28,1,2,send,4,16,0,1,1
smoke_run01_fixed_decode,29,1,2,send,5,128,0,1,1
smoke_run01_fixed_decode,30,1,2,send,6,103,0,1,1
smoke_run01_fixed_decode,31,1,2,send,7,0,0,1,1
smoke_run01_fixed_decode,32,1,2,send,8,18,0,1,1
smoke_run01_fixed_decode,33,1,2,send,9,109,0,1,1
smoke_run01_fixed_decode,34,1,2,send,10,52,0,1,1
smoke_run01_fixed_decode,35,1,2,send,11,224,0,1,1
smoke_run01_fixed_decode,36,1,2,send,12,134,0,1,1
smoke_run01_fixed_decode,37,1,2,send,13,94,0,1,1
smoke_run01_fixed_decode,38,1,2,send,14,0,0,1,1
smoke_run01_fixed_decode,39,1,2,send,15,208,0,1,1
smoke_run01_fixed_decode,40,2,1,warmup,0,0,0,1,1
smoke_run01_fixed_decode,41,2,1,warmup,1,104,0,1,1
smoke_run01_fixed_decode,42,2,1,warmup,2,76,0,1,1
smoke_run01_fixed_decode,43,2,1,warmup,3,203,0,1,1
smoke_run01_fixed_decode,44,2,2,send,0,90,0,1,1
smoke_run01_fixed_decode,45,2,2,send,1,144,0,1,1
smoke_run01_fixed_decode,46,2,2,send,2,21,0,1,1
smoke_run01_fixed_decode,47,2,2,send,3,11,0,1,1
smoke_run01_fixed_decode,48,2,2,send,4,81,0,1,1
smoke_run01_fixed_decode,49,2,2,send,5,14,0,1,1
smoke_run01_fixed_decode,50,2,2,send,6,37,0,1,1
smoke_run01_fixed_decode,51,2,2,send,7,33,0,1,1
smoke_run01_fixed_decode,52,2,2,send,8,46,0,1,1
smoke_run01_fixed_decode,53,2,2,send,9,177,0,1,1
smoke_run01_fixed_decode,54,2,2,send,10,151,0,1,1
smoke_run01_fixed_decode,55,2,2,send,11,3,0,1,1
smoke_run01_fixed_decode,56,2,2,send,12,24,0,1,1
smoke_run01_fixed_decode,57,2,2,send,13,144,0,1,1
smoke_run01_fixed_decode,58,2,2,send,14,240,0,1,1
smoke_run01_fixed_decode,59,2,2,send,15,73,0,1,1
smoke_run01_fixed_decode,60,3,1,warmup,0,69,0,1,1
smoke_run01_fixed_decode,61,3,1,warmup,1,50,0,1,1
smoke_run01_fixed_decode,62,3,1,warmup,2,146,0,1,1
smoke_run01_fixed_decode,63,3,1,warmup,3,137,0,1,1
smoke_run01_fixed_decode,64,3,2,send,0,169,0,1,1
smoke_run01_fixed_decode,65,3,2,send,1,40,0,1,1
smoke_run01_fixed_decode,66,3,2,send,2,208,0,1,1
