byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
0,0,11,21,0.343750000,0.156250000,21,7,0
0,1,13,19,0.406250000,0.093750000,19,6,1
0,2,15,17,0.468750000,0.031250000,17,5,2
0,3,12,20,0.375000000,0.125000000,20,4,3
0,4,11,21,0.343750000,0.156250000,21,3,4
0,5,15,17,0.468750000,0.031250000,17,2,5
0,6,12,20,0.375000000,0.125000000,20,1,6
0,7,10,22,0.312500000,0.187500000,22,0,7
1,0,8,24,0.250000000,0.250000000,24,15,8
1,1,6,26,0.187500000,0.312500000,26,14,9
1,2,10,22,0.312500000,0.187500000,22,13,10
1,3,14,18,0.437500000,0.062500000,18,12,11
1,4,14,18,0.437500000,0.062500000,18,11,12
1,5,10,22,0.312500000,0.187500000,22,10,13
1,6,16,16,0.500000000,0.000000000,16,9,14
1,7,14,18,0.437500000,0.062500000,18,8,15
2,0,15,17,0.468750000,0.031250000,17,23,16
2,1,12,20,0.375000000,0.125000000,20,22,17
2,2,12,20,0.375000000,0.125000000,20,21,18
2,3,6,26,0.187500000,0.312500000,26,20,19
2,4,11,21,0.343750000,0.156250000,21,19,20
2,5,8,24,0.250000000,0.250000000,24,18,21
2,6,10,22,0.312500000,0.187500000,22,17,22
2,7,14,18,0.437500000,0.062500000,18,16,23
3,0,14,18,0.437500000,0.062500000,18,31,24
3,1,16,16,0.500000000,0.000000000,16,30,25
3,2,13,19,0.406250000,0.093750000,19,29,26
3,3,9,23,0.281250000,0.218750000,23,28,27
3,4,5,27,0.156250000,0.343750000,27,27,28
3,5,14,18,0.437500000,0.062500000,18,26,29
3,6,12,20,0.375000000,0.125000000,20,25,30
3,7,9,23,0.281250000,0.218750000,23,24,31
4,0,17,15,0.531250000,0.031250000,17,39,32
4,1,9,23,0.281250000,0.218750000,23,38,33
4,2,11,21,0.343750000,0.156250000,21,37,34
4,3,9,23,0.281250000,0.218750000,23,36,35
4,4,10,22,0.312500000,0.187500000,22,35,36
4,5,8,24,0.250000000,0.250000000,24,34,37
4,6,14,18,0.437500000,0.062500000,18,33,38
4,7,13,19,0.406250000,0.093750000,19,32,39
5,0,15,17,0.468750000,0.031250000,17,47,40
5,1,12,20,0.375000000,0.125000000,20,46,41
5,2,17,15,0.531250000,0.031250000,17,45,42
5,3,11,21,0.343750000,0.156250000,21,44,43
5,4,11,21,0.343750000,0.156250000,21,43,44
5,5,14,18,0.437500000,0.062500000,18,42,45
5,6,11,21,0.343750000,0.156250000,21,41,46
5,7,12,20,0.375000000,0.125000000,20,40,47
6,0,15,17,0.468750000,0.031250000,17,55,48
6,1,12,20,0.375000000,0.125000000,20,54,49
6,2,11,21,0.343750000,0.156250000,21,53,50
6,3,11,21,0.343750000,0.156250000,21,52,51
6,4,9,23,0.281250000,0.218750000,23,51,52
6,5,16,16,0.500000000,0.000000000,16,50,53
6,6,12,20,0.375000000,0.125000000,20,49,54
6,7,7,25,0.218750000,0.281250000,25,48,55
7,0,16,16,0.500000000,0.000000000,16,63,56
7,1,14,18,0.437500000,0.062500000,18,62,57
7,2,17,15,0.531250000,0.031250000,17,61,58
7,3,13,19,0.406250000,0.093750000,19,60,59
7,4,12,20,0.375000000,0.125000000,20,59,60
7,5,10,22,0.312500000,0.187500000,22,58,61
7,6,14,18,0.437500000,0.062500000,18,57,62
7,7,11,21,0.343750000,0.156250000,21,56,63
8,0,9,23,0.281250000,0.218750000,23,71,64
8,1,16,16,0.500000000,0.000000000,16,70,65
8,2,8,24,0.250000000,0.250000000,24,69,66
8,3,9,23,0.281250000,0.218750000,23,68,67
8,4,24,8,0.750000000,0.250000000,24,67,68
8,5,13,19,0.406250000,0.093750000,19,66,69
8,6,8,24,0.250000000,0.250000000,24,65,70
8,7,16,16,0.500000000,0.000000000,16,64,71
9,0,14,18,0.437500000,0.062500000,18,79,72
9,1,12,20,0.375000000,0.125000000,20,78,73
9,2,14,18,0.437500000,0.062500000,18,77,74
9,3,14,18,0.437500000,0.062500000,18,76,75
9,4,14,18,0.437500000,0.062500000,18,75,76
9,5,15,17,0.468750000,0.031250000,17,74,77
9,6,13,19,0.406250000,0.093750000,19,73,78
9,7,17,15,0.531250000,0.031250000,17,72,79
10,0,10,22,0.312500000,0.187500000,22,87,80
10,1,13,19,0.406250000,0.093750000,19,86,81
10,2,14,18,0.437500000,0.062500000,18,85,82
10,3,13,19,0.406250000,0.093750000,19,84,83
10,4,16,16,0.500000000,0.000000000,16,83,84
10,5,7,25,0.218750000,0.281250000,25,82,85
10,6,12,20,0.375000000,0.125000000,20,81,86
10,7,14,18,0.437500000,0.062500000,18,80,87
11,0,10,22,0.312500000,0.187500000,22,95,88
11,1,12,20,0.375000000,0.125000000,20,94,89
11,2,10,22,0.312500000,0.187500000,22,93,90
11,3,12,20,0.375000000,0.125000000,20,92,91
11,4,15,17,0.468750000,0.031250000,17,91,92
11,5,11,21,0.343750000,0.156250000,21,90,93
11,6,12,20,0.375000000,0.125000000,20,89,94
11,7,13,19,0.406250000,0.093750000,19,88,95
12,0,6,26,0.187500000,0.312500000,26,103,96
12,1,9,23,0.281250000,0.218750000,23,102,97
12,2,17,15,0.531250000,0.031250000,17,101,98
12,3,13,19,0.406250000,0.093750000,19,100,99
12,4,15,17,0.468750000,0.031250000,17,99,100
12,5,11,21,0.343750000,0.156250000,21,98,101
12,6,11,21,0.343750000,0.156250000,21,97,102
12,7,14,18,0.437500000,0.062500000,18,96,103
13,0,12,20,0.375000000,0.125000000,20,111,104
13,1,7,25,0.218750000,0.281250000,25,110,105
13,2,13,19,0.406250000,0.093750000,19,109,106
13,3,12,20,0.375000000,0.125000000,20,108,107
13,4,11,21,0.343750000,0.156250000,21,107,108
13,5,14,18,0.437500000,0.062500000,18,106,109
13,6,10,22,0.312500000,0.187500000,22,105,110
13,7,13,19,0.406250000,0.093750000,19,104,111
14,0,9,23,0.281250000,0.218750000,23,119,112
14,1,14,18,0.437500000,0.062500000,18,118,113
14,2,11,21,0.343750000,0.156250000,21,117,114
14,3,9,23,0.281250000,0.218750000,23,116,115
14,4,11,21,0.343750000,0.156250000,21,115,116
14,5,11,21,0.343750000,0.156250000,21,114,117
14,6,12,20,0.375000000,0.125000000,20,113,118
14,7,11,21,0.343750000,0.156250000,21,112,119
15,0,10,22,0.312500000,0.187500000,22,127,120
15,1,11,21,0.343750000,0.156250000,21,126,121
15,2,12,20,0.375000000,0.125000000,20,125,122
15,3,10,22,0.312500000,0.187500000,22,124,123
15,4,13,19,0.406250000,0.093750000,19,123,124
15,5,14,18,0.437500000,0.062500000,18,122,125
15,6,16,16,0.500000000,0.000000000,16,121,126
15,7,8,24,0.250000000,0.250000000,24,120,127
