label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,0,3961,4039,0.495125000,0.004875000,0.999931426,0.986001854
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,1,3986,4014,0.498250000,0.001750000,0.999991163,0.994959383
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,2,2,4123,3877,0.515375000,0.015375000,0.999317813,0.956305539
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,3,3,3921,4079,0.490125000,0.009875000,0.999718611,0.971784493
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,4,4,3975,4025,0.496875000,0.003125000,0.999971822,0.991011217
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,5,5,3969,4031,0.496125000,0.003875000,0.999956674,0.988862217
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,6,6,4009,3991,0.501125000,0.001125000,0.999996348,0.996757583
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,7,7,3995,4005,0.499375000,0.000625000,0.999998873,0.998197757
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,8,0,4008,3992,0.501000000,0.001000000,0.999997115,0.997117491
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,9,1,3974,4026,0.496750000,0.003250000,0.999969523,0.990652828
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,10,2,3913,4087,0.489125000,0.010875000,0.999658731,0.968957757
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,11,3,4003,3997,0.500375000,0.000375000,0.999999594,0.998918384
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,12,4,4014,3986,0.501750000,0.001750000,0.999991163,0.994959383
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,13,5,3999,4001,0.499875000,0.000125000,0.999999955,0.999639371
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,14,6,3979,4021,0.497375000,0.002625000,0.999980118,0.992445664
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,15,7,3981,4019,0.497625000,0.002375000,0.999983725,0.993163423
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,16,0,3995,4005,0.499375000,0.000625000,0.999998873,0.998197757
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,17,1,4032,3968,0.504000000,0.004000000,0.999953833,0.988504361
