label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,0,16000,8012,7988,0.500750000,0.000750000,0.999998377,0.997837579
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,1,16000,7996,8004,0.499750000,0.000250000,0.999999820,0.999278833
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,2,16000,8033,7967,0.502062500,0.002062500,0.999987726,0.994061123
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,3,16000,7991,8009,0.499437500,0.000562500,0.999999087,0.998377880
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,4,16000,7861,8139,0.491312500,0.008687500,0.999782221,0.975148452
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,5,16000,8024,7976,0.501500000,0.001500000,0.999993508,0.995678394
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,6,16000,8078,7922,0.504875000,0.004875000,0.999931426,0.986001854
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,0,7,16000,8005,7995,0.500312500,0.000312500,0.999999718,0.999098597
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,0,16000,7937,8063,0.496062500,0.003937500,0.999955265,0.988683278
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,1,16000,7976,8024,0.498500000,0.001500000,0.999993508,0.995678394
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,2,16000,8050,7950,0.503125000,0.003125000,0.999971822,0.991011217
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,3,16000,7930,8070,0.495625000,0.004375000,0.999944771,0.987431326
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,4,16000,8080,7920,0.505000000,0.005000000,0.999927864,0.985644707
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,5,16000,7974,8026,0.498375000,0.001625000,0.999992381,0.995318844
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,6,16000,7941,8059,0.496312500,0.003687500,0.999960765,0.989399167
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,1,7,16000,7904,8096,0.494000000,0.006000000,0.999896123,0.982790710
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,2,0,16000,8050,7950,0.503125000,0.003125000,0.999971822,0.991011217
