byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,493,507,0.493000000,0.007000000,507,7,0,False
0,1,514,486,0.514000000,0.014000000,514,6,1,False
0,2,498,502,0.498000000,0.002000000,502,5,2,False
0,3,503,497,0.503000000,0.003000000,503,4,3,False
0,4,508,492,0.508000000,0.008000000,508,3,4,False
0,5,506,494,0.506000000,0.006000000,506,2,5,False
0,6,501,499,0.501000000,0.001000000,501,1,6,False
0,7,504,496,0.504000000,0.004000000,504,0,7,False
1,0,533,467,0.533000000,0.033000000,533,15,8,False
1,1,507,493,0.507000000,0.007000000,507,14,9,False
1,2,513,487,0.513000000,0.013000000,513,13,10,False
1,3,510,490,0.510000000,0.010000000,510,12,11,False
1,4,504,496,0.504000000,0.004000000,504,11,12,False
1,5,498,502,0.498000000,0.002000000,502,10,13,False
1,6,491,509,0.491000000,0.009000000,509,9,14,False
1,7,467,533,0.467000000,0.033000000,533,8,15,False
2,0,480,520,0.480000000,0.020000000,520,23,16,False
2,1,507,493,0.507000000,0.007000000,507,22,17,False
2,2,498,502,0.498000000,0.002000000,502,21,18,False
2,3,492,508,0.492000000,0.008000000,508,20,19,False
2,4,503,497,0.503000000,0.003000000,503,19,20,False
2,5,521,479,0.521000000,0.021000000,521,18,21,False
2,6,482,518,0.482000000,0.018000000,518,17,22,False
2,7,529,471,0.529000000,0.029000000,529,16,23,False
3,0,507,493,0.507000000,0.007000000,507,31,24,False
3,1,521,479,0.521000000,0.021000000,521,30,25,False
3,2,510,490,0.510000000,0.010000000,510,29,26,False
3,3,507,493,0.507000000,0.007000000,507,28,27,False
3,4,488,512,0.488000000,0.012000000,512,27,28,False
3,5,470,530,0.470000000,0.030000000,530,26,29,False
3,6,493,507,0.493000000,0.007000000,507,25,30,False
3,7,505,495,0.505000000,0.005000000,505,24,31,False
4,0,505,495,0.505000000,0.005000000,505,39,32,False
4,1,506,494,0.506000000,0.006000000,506,38,33,False
4,2,494,506,0.494000000,0.006000000,506,37,34,False
4,3,522,478,0.522000000,0.022000000,522,36,35,False
4,4,500,500,0.500000000,0.000000000,500,35,36,False
4,5,496,504,0.496000000,0.004000000,504,34,37,False
4,6,516,484,0.516000000,0.016000000,516,33,38,False
4,7,497,503,0.497000000,0.003000000,503,32,39,False
