byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
109,4,448,552,0.448000000,0.052000000,552,875,876,False
115,1,551,449,0.551000000,0.051000000,551,926,921,False
89,6,549,451,0.549000000,0.049000000,549,713,718,False
111,1,546,454,0.546000000,0.046000000,546,894,889,False
29,0,457,543,0.457000000,0.043000000,543,239,232,False
108,5,542,458,0.542000000,0.042000000,542,866,869,False
113,0,458,542,0.458000000,0.042000000,542,911,904,False
115,0,458,542,0.458000000,0.042000000,542,927,920,False
97,5,459,541,0.459000000,0.041000000,541,778,781,False
30,0,460,540,0.460000000,0.040000000,540,247,240,False
40,5,540,460,0.540000000,0.040000000,540,322,325,False
47,4,460,540,0.460000000,0.040000000,540,379,380,False
17,6,461,539,0.461000000,0.039000000,539,137,142,False
100,5,539,461,0.539000000,0.039000000,539,802,805,False
46,5,462,538,0.462000000,0.038000000,538,370,373,False
50,3,538,462,0.538000000,0.038000000,538,404,403,False
88,0,538,462,0.538000000,0.038000000,538,711,704,False
20,7,537,463,0.537000000,0.037000000,537,160,167,False
55,6,537,463,0.537000000,0.037000000,537,441,446,False
63,5,537,463,0.537000000,0.037000000,537,506,509,False
91,0,537,463,0.537000000,0.037000000,537,735,728,False
94,0,537,463,0.537000000,0.037000000,537,759,752,False
108,2,463,537,0.463000000,0.037000000,537,869,866,False
45,1,464,536,0.464000000,0.036000000,536,366,361,False
83,0,536,464,0.536000000,0.036000000,536,671,664,False
86,4,536,464,0.536000000,0.036000000,536,691,692,False
108,0,464,536,0.464000000,0.036000000,536,871,864,False
58,3,465,535,0.465000000,0.035000000,535,468,467,False
70,1,465,535,0.465000000,0.035000000,535,566,561,False
75,2,465,535,0.465000000,0.035000000,535,605,602,False
93,5,535,465,0.535000000,0.035000000,535,746,749,False
111,2,535,465,0.535000000,0.035000000,535,893,890,False
