byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,5,116,884,0.116000000,0.384000000,884,2,5,False
2,5,215,785,0.215000000,0.285000000,785,18,21,False
3,3,232,768,0.232000000,0.268000000,768,28,27,False
4,1,255,745,0.255000000,0.245000000,745,38,33,False
5,1,258,742,0.258000000,0.242000000,742,46,41,False
7,7,299,701,0.299000000,0.201000000,701,56,63,False
4,3,307,693,0.307000000,0.193000000,693,36,35,False
3,4,314,686,0.314000000,0.186000000,686,27,28,False
10,5,322,678,0.322000000,0.178000000,678,82,85,False
9,0,323,677,0.323000000,0.177000000,677,79,72,False
11,0,325,675,0.325000000,0.175000000,675,95,88,False
39,2,325,675,0.325000000,0.175000000,675,317,314,False
11,3,329,671,0.329000000,0.171000000,671,92,91,False
2,4,331,669,0.331000000,0.169000000,669,19,20,False
3,1,331,669,0.331000000,0.169000000,669,30,25,False
18,5,331,669,0.331000000,0.169000000,669,146,149,False
6,7,337,663,0.337000000,0.163000000,663,48,55,False
14,1,337,663,0.337000000,0.163000000,663,118,113,False
77,3,337,663,0.337000000,0.163000000,663,620,619,False
114,6,337,663,0.337000000,0.163000000,663,913,918,False
1,3,338,662,0.338000000,0.162000000,662,12,11,False
9,5,338,662,0.338000000,0.162000000,662,74,77,False
14,4,338,662,0.338000000,0.162000000,662,115,116,False
22,1,338,662,0.338000000,0.162000000,662,182,177,False
76,3,338,662,0.338000000,0.162000000,662,612,611,False
89,1,339,661,0.339000000,0.161000000,661,718,713,False
121,7,339,661,0.339000000,0.161000000,661,968,975,False
24,4,340,660,0.340000000,0.160000000,660,195,196,False
71,1,340,660,0.340000000,0.160000000,660,574,569,False
0,4,341,659,0.341000000,0.159000000,659,3,4,False
8,5,341,659,0.341000000,0.159000000,659,66,69,False
10,0,342,658,0.342000000,0.158000000,658,87,80,False
