byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
2,0,248,752,0.248000000,0.252000000,752,23,16,False
0,0,266,734,0.266000000,0.234000000,734,7,0,False
1,2,280,720,0.280000000,0.220000000,720,13,10,False
0,2,289,711,0.289000000,0.211000000,711,5,2,False
4,6,290,710,0.290000000,0.210000000,710,33,38,False
1,0,303,697,0.303000000,0.197000000,697,15,8,False
3,6,313,687,0.313000000,0.187000000,687,25,30,False
5,1,318,682,0.318000000,0.182000000,682,46,41,False
13,3,320,680,0.320000000,0.180000000,680,108,107,False
7,7,324,676,0.324000000,0.176000000,676,56,63,False
8,7,326,674,0.326000000,0.174000000,674,64,71,False
78,7,326,674,0.326000000,0.174000000,674,624,631,False
10,0,331,669,0.331000000,0.169000000,669,87,80,False
15,4,331,669,0.331000000,0.169000000,669,123,124,False
4,3,333,667,0.333000000,0.167000000,667,36,35,False
6,1,334,666,0.334000000,0.166000000,666,54,49,False
10,7,334,666,0.334000000,0.166000000,666,80,87,False
88,1,335,665,0.335000000,0.165000000,665,710,705,False
33,6,336,664,0.336000000,0.164000000,664,265,270,False
18,1,338,662,0.338000000,0.162000000,662,150,145,False
77,0,338,662,0.338000000,0.162000000,662,623,616,False
22,0,340,660,0.340000000,0.160000000,660,183,176,False
5,6,341,659,0.341000000,0.159000000,659,41,46,False
25,4,341,659,0.341000000,0.159000000,659,203,204,False
67,1,341,659,0.341000000,0.159000000,659,542,537,False
88,0,341,659,0.341000000,0.159000000,659,711,704,False
120,0,341,659,0.341000000,0.159000000,659,967,960,False
3,1,342,658,0.342000000,0.158000000,658,30,25,False
26,7,342,658,0.342000000,0.158000000,658,208,215,False
12,3,343,657,0.343000000,0.157000000,657,100,99,False
24,6,343,657,0.343000000,0.157000000,657,193,198,False
99,3,343,657,0.343000000,0.157000000,657,796,795,False
