byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,429,571,0.429000000,0.071000000,571,7,0,False
0,1,408,592,0.408000000,0.092000000,592,6,1,False
0,2,405,595,0.405000000,0.095000000,595,5,2,False
0,3,336,664,0.336000000,0.164000000,664,4,3,False
0,4,448,552,0.448000000,0.052000000,552,3,4,False
0,5,370,630,0.370000000,0.130000000,630,2,5,False
0,6,377,623,0.377000000,0.123000000,623,1,6,False
0,7,419,581,0.419000000,0.081000000,581,0,7,False
1,0,372,628,0.372000000,0.128000000,628,15,8,False
1,1,426,574,0.426000000,0.074000000,574,14,9,False
1,2,306,694,0.306000000,0.194000000,694,13,10,False
1,3,366,634,0.366000000,0.134000000,634,12,11,False
1,4,391,609,0.391000000,0.109000000,609,11,12,False
1,5,273,727,0.273000000,0.227000000,727,10,13,False
1,6,401,599,0.401000000,0.099000000,599,9,14,False
1,7,475,525,0.475000000,0.025000000,525,8,15,False
2,0,343,657,0.343000000,0.157000000,657,23,16,False
2,1,398,602,0.398000000,0.102000000,602,22,17,False
2,2,243,757,0.243000000,0.257000000,757,21,18,False
2,3,353,647,0.353000000,0.147000000,647,20,19,False
2,4,437,563,0.437000000,0.063000000,563,19,20,False
2,5,387,613,0.387000000,0.113000000,613,18,21,False
2,6,401,599,0.401000000,0.099000000,599,17,22,False
2,7,427,573,0.427000000,0.073000000,573,16,23,False
3,0,326,674,0.326000000,0.174000000,674,31,24,False
3,1,370,630,0.370000000,0.130000000,630,30,25,False
3,2,329,671,0.329000000,0.171000000,671,29,26,False
3,3,377,623,0.377000000,0.123000000,623,28,27,False
3,4,439,561,0.439000000,0.061000000,561,27,28,False
3,5,361,639,0.361000000,0.139000000,639,26,29,False
3,6,394,606,0.394000000,0.106000000,606,25,30,False
3,7,433,567,0.433000000,0.067000000,567,24,31,False
4,0,352,648,0.352000000,0.148000000,648,39,32,False
4,1,426,574,0.426000000,0.074000000,574,38,33,False
4,2,331,669,0.331000000,0.169000000,669,37,34,False
4,3,350,650,0.350000000,0.150000000,650,36,35,False
4,4,373,627,0.373000000,0.127000000,627,35,36,False
4,5,250,750,0.250000000,0.250000000,750,34,37,False
4,6,372,628,0.372000000,0.128000000,628,33,38,False
4,7,370,630,0.370000000,0.130000000,630,32,39,False
5,0,339,661,0.339000000,0.161000000,661,47,40,False
5,1,431,569,0.431000000,0.069000000,569,46,41,False
5,2,344,656,0.344000000,0.156000000,656,45,42,False
5,3,405,595,0.405000000,0.095000000,595,44,43,False
5,4,349,651,0.349000000,0.151000000,651,43,44,False
5,5,305,695,0.305000000,0.195000000,695,42,45,False
5,6,413,587,0.413000000,0.087000000,587,41,46,False
5,7,326,674,0.326000000,0.174000000,674,40,47,False
6,0,371,629,0.371000000,0.129000000,629,55,48,False
6,1,422,578,0.422000000,0.078000000,578,54,49,False
6,2,342,658,0.342000000,0.158000000,658,53,50,False
6,3,345,655,0.345000000,0.155000000,655,52,51,False
6,4,375,625,0.375000000,0.125000000,625,51,52,False
6,5,396,604,0.396000000,0.104000000,604,50,53,False
6,6,402,598,0.402000000,0.098000000,598,49,54,False
6,7,359,641,0.359000000,0.141000000,641,48,55,False
7,0,378,622,0.378000000,0.122000000,622,63,56,False
7,1,418,582,0.418000000,0.082000000,582,62,57,False
7,2,301,699,0.301000000,0.199000000,699,61,58,False
7,3,374,626,0.374000000,0.126000000,626,60,59,False
7,4,365,635,0.365000000,0.135000000,635,59,60,False
7,5,436,564,0.436000000,0.064000000,564,58,61,False
7,6,393,607,0.393000000,0.107000000,607,57,62,False
7,7,329,671,0.329000000,0.171000000,671,56,63,False
8,0,397,603,0.397000000,0.103000000,603,71,64,False
8,1,403,597,0.403000000,0.097000000,597,70,65,False
8,2,347,653,0.347000000,0.153000000,653,69,66,False
8,3,386,614,0.386000000,0.114000000,614,68,67,False
8,4,386,614,0.386000000,0.114000000,614,67,68,False
8,5,368,632,0.368000000,0.132000000,632,66,69,False
8,6,400,600,0.400000000,0.100000000,600,65,70,False
8,7,304,696,0.304000000,0.196000000,696,64,71,False
9,0,410,590,0.410000000,0.090000000,590,79,72,False
9,1,399,601,0.399000000,0.101000000,601,78,73,False
9,2,342,658,0.342000000,0.158000000,658,77,74,False
9,3,390,610,0.390000000,0.110000000,610,76,75,False
9,4,388,612,0.388000000,0.112000000,612,75,76,False
