byte_index,bit_index,ones,zeros,p1,x,msb_expanded_column,lsb_expanded_column
0,0,429,571,0.429000000,571,7,0
0,1,408,592,0.408000000,592,6,1
0,2,405,595,0.405000000,595,5,2
0,3,336,664,0.336000000,664,4,3
0,4,448,552,0.448000000,552,3,4
0,5,370,630,0.370000000,630,2,5
0,6,377,623,0.377000000,623,1,6
0,7,419,581,0.419000000,581,0,7
1,0,372,628,0.372000000,628,15,8
1,1,426,574,0.426000000,574,14,9
1,2,306,694,0.306000000,694,13,10
1,3,366,634,0.366000000,634,12,11
1,4,391,609,0.391000000,609,11,12
1,5,273,727,0.273000000,727,10,13
1,6,401,599,0.401000000,599,9,14
1,7,475,525,0.475000000,525,8,15
2,0,343,657,0.343000000,657,23,16
2,1,398,602,0.398000000,602,22,17
2,2,243,757,0.243000000,757,21,18
2,3,353,647,0.353000000,647,20,19
2,4,437,563,0.437000000,563,19,20
2,5,387,613,0.387000000,613,18,21
2,6,401,599,0.401000000,599,17,22
2,7,427,573,0.427000000,573,16,23
3,0,326,674,0.326000000,674,31,24
3,1,370,630,0.370000000,630,30,25
3,2,329,671,0.329000000,671,29,26
3,3,377,623,0.377000000,623,28,27
3,4,439,561,0.439000000,561,27,28
3,5,361,639,0.361000000,639,26,29
3,6,394,606,0.394000000,606,25,30
3,7,433,567,0.433000000,567,24,31
4,0,352,648,0.352000000,648,39,32
4,1,426,574,0.426000000,574,38,33
4,2,331,669,0.331000000,669,37,34
4,3,350,650,0.350000000,650,36,35
4,4,373,627,0.373000000,627,35,36
4,5,250,750,0.250000000,750,34,37
4,6,372,628,0.372000000,628,33,38
4,7,370,630,0.370000000,630,32,39
5,0,339,661,0.339000000,661,47,40
5,1,431,569,0.431000000,569,46,41
5,2,344,656,0.344000000,656,45,42
5,3,405,595,0.405000000,595,44,43
5,4,349,651,0.349000000,651,43,44
5,5,305,695,0.305000000,695,42,45
5,6,413,587,0.413000000,587,41,46
5,7,326,674,0.326000000,674,40,47
6,0,371,629,0.371000000,629,55,48
6,1,422,578,0.422000000,578,54,49
6,2,342,658,0.342000000,658,53,50
6,3,345,655,0.345000000,655,52,51
6,4,375,625,0.375000000,625,51,52
6,5,396,604,0.396000000,604,50,53
6,6,402,598,0.402000000,598,49,54
6,7,359,641,0.359000000,641,48,55
7,0,378,622,0.378000000,622,63,56
7,1,418,582,0.418000000,582,62,57
7,2,301,699,0.301000000,699,61,58
7,3,374,626,0.374000000,626,60,59
7,4,365,635,0.365000000,635,59,60
7,5,436,564,0.436000000,564,58,61
7,6,393,607,0.393000000,607,57,62
7,7,329,671,0.329000000,671,56,63
8,0,397,603,0.397000000,603,71,64
8,1,403,597,0.403000000,597,70,65
8,2,347,653,0.347000000,653,69,66
8,3,386,614,0.386000000,614,68,67
8,4,386,614,0.386000000,614,67,68
8,5,368,632,0.368000000,632,66,69
8,6,400,600,0.400000000,600,65,70
8,7,304,696,0.304000000,696,64,71
9,0,410,590,0.410000000,590,79,72
9,1,399,601,0.399000000,601,78,73
9,2,342,658,0.342000000,658,77,74
9,3,390,610,0.390000000,610,76,75
