byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
84,0,556,444,0.556000000,0.056000000,556,679,672,False
18,1,450,550,0.450000000,0.050000000,550,150,145,False
108,6,547,453,0.547000000,0.047000000,547,865,870,False
24,1,543,457,0.543000000,0.043000000,543,198,193,False
98,0,543,457,0.543000000,0.043000000,543,791,784,False
123,3,457,543,0.457000000,0.043000000,543,988,987,False
53,2,542,458,0.542000000,0.042000000,542,429,426,False
60,6,542,458,0.542000000,0.042000000,542,481,486,False
83,6,458,542,0.458000000,0.042000000,542,665,670,False
10,2,459,541,0.459000000,0.041000000,541,85,82,False
25,7,460,540,0.460000000,0.040000000,540,200,207,False
48,6,460,540,0.460000000,0.040000000,540,385,390,False
101,3,460,540,0.460000000,0.040000000,540,812,811,False
0,5,461,539,0.461000000,0.039000000,539,2,5,False
4,3,539,461,0.539000000,0.039000000,539,36,35,False
58,4,461,539,0.461000000,0.039000000,539,467,468,False
107,0,461,539,0.461000000,0.039000000,539,863,856,False
52,4,537,463,0.537000000,0.037000000,537,419,420,False
62,7,537,463,0.537000000,0.037000000,537,496,503,False
71,0,463,537,0.463000000,0.037000000,537,575,568,False
72,4,463,537,0.463000000,0.037000000,537,579,580,False
103,1,537,463,0.537000000,0.037000000,537,830,825,False
124,4,537,463,0.537000000,0.037000000,537,995,996,False
8,7,536,464,0.536000000,0.036000000,536,64,71,False
33,3,464,536,0.464000000,0.036000000,536,268,267,False
39,3,464,536,0.464000000,0.036000000,536,316,315,False
124,6,464,536,0.464000000,0.036000000,536,993,998,False
4,4,535,465,0.535000000,0.035000000,535,35,36,False
73,2,465,535,0.465000000,0.035000000,535,589,586,False
84,7,465,535,0.465000000,0.035000000,535,672,679,False
102,6,535,465,0.535000000,0.035000000,535,817,822,False
12,7,466,534,0.466000000,0.034000000,534,96,103,False
