label,input_file,input_sha256,restart_count,bytes_per_restart,overall_p1,row_ones_mean,row_ones_std,worst_byte,worst_bit_lsb_index,worst_ones,worst_zeros,worst_x,worst_p1,msb_column,lsb_column,bitrev_msb_column,byte_reverse_msb_column,byte_reverse_lsb_column,cyclic_shift1_msb_column,cyclic_shift4_msb_column
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524.bin,0EAF8F4FC51B6F76F14CDD7BBB654A8D07D5D75895589DCB83D7F191FCFBEA5C,1000,125,0.499146,499.146,16.38373229761766,1,6,756,244,756,0.756,9,14,14,985,990,10,13
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524.bin,9F0C124FA540775CC874F3371C7CBE24B59B67D289B22529F5FA196DF69E2A05,1000,125,0.498425,498.425,16.084289695227454,1,7,802,198,802,0.802,8,15,15,984,991,9,12
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_passband01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_passband01_20260524.bin,F0BFCF24F6585BBBF8C080FF27CEBE0C4F8D88BBE5A43924E5791FB503692192,1000,125,0.499174,499.174,16.268673086641087,115,3,435,565,565,0.435,924,923,923,76,75,925,920
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260524.bin,EE3B24FC4A238763FFF6C035004F1581DBADB370D86677BF57A4148C6A71F371,1000,125,0.500018,500.018,15.953108662577336,14,1,453,547,547,0.453,118,113,113,886,881,119,114
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_edge01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_edge01_20260524.bin,F970A9AC8BB659D7CF5DCDF4F0F7154895170C2B1534B1BE1760582662DC03A3,1000,125,0.55921,559.21,32.52029981411611,81,4,613,387,613,0.613,651,652,652,347,348,652,655
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260524.bin,3F8764DAA56C642B148C63B6520F3F1318621058CFAAAAB3A55B9880256F8864,1000,125,0.558805,558.805,32.88894913188928,57,2,618,382,618,0.618,461,458,458,541,538,462,457
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run01_20260524.bin,F1C7EB5FDFDF49A1A4F38A185120C823AB4C7F8BBFE779FF38A78F9C3949C956,1000,125,0.452171,452.171,15.544508966191245,2,7,391,609,609,0.391,16,23,23,976,983,17,20
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run02_20260524.bin,3066F431E619358014585635596141C9DF4E2F5593BA994712919418E7CACC13,1000,125,0.453785,453.785,16.729099647022252,6,1,399,601,601,0.399,54,49,49,950,945,55,50
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_sweep01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_sweep01_20260524.bin,D6487168F7301D42FE4A8E808E184310403FDA123183FD21064E536741E60D78,1000,125,0.466933,466.933,15.666221975958338,60,3,414,586,586,0.414,484,483,483,516,515,485,480
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524.bin,FE3A6F6BF09C55B88AB96007CF582B6739A298FB324B49FA9207B0EACEE39A74,1000,125,0.407103,407.103,17.10135640819172,0,2,267,733,733,0.267,5,2,2,997,994,6,1
