label,rank,byte_index,bit_lsb_index,ones,zeros,x,p1,abs_bias,msb_column,lsb_column,bitrev_msb_column,byte_reverse_msb_column,byte_reverse_lsb_column,cyclic_shift1_msb_column,cyclic_shift4_msb_column
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,1,1,6,756,244,756,0.756,0.256,9,14,14,985,990,10,13
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,2,1,7,680,320,680,0.68,0.18000000000000005,8,15,15,984,991,9,12
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,3,0,0,659,341,659,0.659,0.15900000000000003,7,0,0,999,992,0,3
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,4,1,4,619,381,619,0.619,0.119,11,12,12,987,988,12,15
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,5,1,5,560,440,560,0.56,0.06000000000000005,10,13,13,986,989,11,14
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,6,85,4,446,554,554,0.446,0.05399999999999999,683,684,684,315,316,684,687
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,7,72,2,450,550,550,0.45,0.04999999999999999,581,578,578,421,418,582,577
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,8,10,5,451,549,549,0.451,0.04899999999999999,82,85,85,914,917,83,86
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,9,80,1,453,547,547,0.453,0.046999999999999986,646,641,641,358,353,647,642
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,10,52,7,454,546,546,0.454,0.045999999999999985,416,423,423,576,583,417,420
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,11,78,7,455,545,545,0.455,0.044999999999999984,624,631,631,368,375,625,628
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,12,56,7,457,543,543,0.457,0.04299999999999998,448,455,455,544,551,449,452
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,13,66,0,457,543,543,0.457,0.04299999999999998,535,528,528,471,464,528,531
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,14,1,2,542,458,542,0.542,0.04200000000000004,13,10,10,989,986,14,9
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,15,88,3,542,458,542,0.542,0.04200000000000004,708,707,707,292,291,709,704
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,16,59,6,458,542,542,0.458,0.04199999999999998,473,478,478,521,526,474,477
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,17,105,2,458,542,542,0.458,0.04199999999999998,845,842,842,157,154,846,841
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,18,27,1,541,459,541,0.541,0.041000000000000036,222,217,217,782,777,223,218
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,19,80,7,541,459,541,0.541,0.041000000000000036,640,647,647,352,359,641,644
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,20,87,0,459,541,541,0.459,0.04099999999999998,703,696,696,303,296,696,699
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,21,62,4,539,461,539,0.539,0.039000000000000035,499,500,500,499,500,500,503
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,22,82,4,539,461,539,0.539,0.039000000000000035,659,660,660,339,340,660,663
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,23,103,7,539,461,539,0.539,0.039000000000000035,824,831,831,168,175,825,828
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,24,101,1,538,462,538,0.538,0.038000000000000034,814,809,809,190,185,815,810
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,25,3,6,462,538,538,0.462,0.03799999999999998,25,30,30,969,974,26,29
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,26,8,3,462,538,538,0.462,0.03799999999999998,68,67,67,932,931,69,64
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,27,22,5,462,538,538,0.462,0.03799999999999998,178,181,181,818,821,179,182
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,28,48,0,462,538,538,0.462,0.03799999999999998,391,384,384,615,608,384,387
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,29,51,0,462,538,538,0.462,0.03799999999999998,415,408,408,591,584,408,411
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,30,20,2,463,537,537,0.463,0.03699999999999998,165,162,162,837,834,166,161
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,31,42,5,463,537,537,0.463,0.03699999999999998,338,341,341,658,661,339,342
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,32,47,7,463,537,537,0.463,0.03699999999999998,376,383,383,616,623,377,380
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,1,1,7,802,198,802,0.802,0.30200000000000005,8,15,15,984,991,9,12
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,2,1,6,735,265,735,0.735,0.235,9,14,14,985,990,10,13
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,3,0,0,660,340,660,0.66,0.16000000000000003,7,0,0,999,992,0,3
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,4,1,2,581,419,581,0.581,0.08099999999999996,13,10,10,989,986,14,9
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,5,1,5,570,430,570,0.57,0.06999999999999995,10,13,13,986,989,11,14
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,6,15,3,440,560,560,0.44,0.06,124,123,123,876,875,125,120
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,7,33,3,448,552,552,0.448,0.05199999999999999,268,267,267,732,731,269,264
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,8,1,3,549,451,549,0.549,0.049000000000000044,12,11,11,988,987,13,8
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,9,19,5,544,456,544,0.544,0.04400000000000004,154,157,157,842,845,155,158
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,10,0,4,543,457,543,0.543,0.04300000000000004,3,4,4,995,996,4,7
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,11,80,6,458,542,542,0.458,0.04199999999999998,641,646,646,353,358,642,645
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,12,28,6,459,541,541,0.459,0.04099999999999998,225,230,230,769,774,226,229
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,13,54,6,540,460,540,0.54,0.040000000000000036,433,438,438,561,566,434,437
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,14,8,1,460,540,540,0.46,0.03999999999999998,70,65,65,934,929,71,66
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,15,114,5,460,540,540,0.46,0.03999999999999998,914,917,917,82,85,915,918
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,16,96,5,539,461,539,0.539,0.039000000000000035,770,773,773,226,229,771,774
