label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,0,2165,5835,0.270625000,0.229375000,0.842360043,0.455267344
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,1,1868,6132,0.233500000,0.266500000,0.784062870,0.383642303
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,2,1843,6157,0.230375000,0.269625000,0.778664440,0.377772431
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,3,3,1773,6227,0.221625000,0.278375000,0.763123624,0.361462721
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,4,4,1810,6190,0.226250000,0.273750000,0.771416713,0.370060591
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,5,5,1964,6036,0.245500000,0.254500000,0.804067573,0.406407194
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,6,6,2022,5978,0.252750000,0.247250000,0.815607748,0.420337103
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,7,7,2036,5964,0.254500000,0.245500000,0.818332859,0.423719742
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,8,0,1898,6102,0.237250000,0.262750000,0.790437139,0.390717820
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,9,1,1969,6031,0.246125000,0.253875000,0.805078426,0.407602765
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,10,2,1975,6025,0.246875000,0.253125000,0.806287441,0.409038759
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,11,3,1972,6028,0.246500000,0.253500000,0.805683480,0.408320583
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,12,4,1962,6038,0.245250000,0.254750000,0.803662380,0.405929243
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,13,5,1980,6020,0.247500000,0.252500000,0.807291620,0.410236513
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,14,6,1943,6057,0.242875000,0.257125000,0.799788704,0.401396589
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,15,7,1939,6061,0.242375000,0.257625000,0.798967564,0.400444157
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,16,0,1914,6086,0.239250000,0.260750000,0.793790829,0.394505666
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,17,1,1890,6110,0.236250000,0.263750000,0.788748347,0.388827620
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,18,2,1967,6033,0.245875000,0.254125000,0.804674449,0.407124418
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,19,3,1942,6058,0.242750000,0.257250000,0.799583603,0.401158422
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,20,4,2014,5986,0.251750000,0.248250000,0.814040045,0.418407721
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,21,5,1978,6022,0.247250000,0.252750000,0.806890312,0.409757292
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,22,6,1919,6081,0.239875000,0.260125000,0.794832347,0.395691410
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,23,7,1938,6062,0.242250000,0.257750000,0.798761972,0.400206148
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,24,0,1955,6045,0.244375000,0.255625000,0.802240366,0.404257661
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,25,1,1925,6075,0.240625000,0.259375000,0.796078089,0.397115591
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,26,2,1993,6007,0.249125000,0.250875000,0.809888334,0.413355336
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,27,3,2072,5928,0.259000000,0.241000000,0.825233607,0.432454552
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,28,4,1979,6021,0.247375000,0.252625000,0.807091026,0.409996883
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,29,5,2002,5998,0.250250000,0.249750000,0.811674125,0.415518478
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,30,6,1874,6126,0.234250000,0.265750000,0.785346752,0.385054633
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,31,7,1925,6075,0.240625000,0.259375000,0.796078089,0.397115591
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,32,0,1891,6109,0.236375000,0.263625000,0.788959883,0.389063760
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,33,1,1949,6051,0.243625000,0.256375000,0.801016737,0.402826415
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,34,2,1942,6058,0.242750000,0.257250000,0.799583603,0.401158422
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,35,3,1970,6030,0.246250000,0.253750000,0.805280232,0.407841998
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,36,4,1957,6043,0.244625000,0.255375000,0.802647266,0.404735058
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,37,5,2031,5969,0.253875000,0.246125000,0.817362283,0.422510746
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,38,6,1988,6012,0.248500000,0.251500000,0.808892013,0.412154991
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,39,7,1933,6067,0.241625000,0.258375000,0.797732171,0.399016689
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,40,0,1904,6096,0.238000000,0.262000000,0.791698500,0.392137097
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,41,1,1954,6046,0.244250000,0.255750000,0.802036734,0.404019021
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,42,2,1964,6036,0.245500000,0.254500000,0.804067573,0.406407194
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,43,3,1936,6064,0.242000000,0.258000000,0.798350420,0.399730246
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,44,4,1989,6011,0.248625000,0.251375000,0.809091519,0.412394980
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,45,5,1973,6027,0.246625000,0.253375000,0.805884922,0.408559935
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,46,6,1934,6066,0.241750000,0.258250000,0.797938377,0.399254502
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,47,7,1897,6103,0.237125000,0.262875000,0.790226477,0.390481410
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,48,0,1913,6087,0.239125000,0.260875000,0.793582155,0.394268634
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,49,1,1976,6024,0.247000000,0.253000000,0.806488519,0.409278230
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,50,2,2005,5995,0.250625000,0.249375000,0.812267224,0.416240246
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,51,3,1935,6065,0.241875000,0.258125000,0.798144460,0.399492355
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,52,4,1981,6019,0.247625000,0.252375000,0.807492092,0.410476183
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,53,5,2019,5981,0.252375000,0.247625000,0.815020755,0.419613282
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,54,6,1948,6052,0.243500000,0.256500000,0.800812371,0.402588012
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,55,7,1934,6066,0.241750000,0.258250000,0.797938377,0.399254502
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,56,0,1982,6018,0.247750000,0.252250000,0.807692443,0.410715893
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,57,1,1908,6092,0.238500000,0.261500000,0.792536921,0.393084058
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,58,2,1871,6129,0.233875000,0.266125000,0.784705377,0.384348295
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,59,3,1882,6118,0.235250000,0.264750000,0.787051559,0.386939893
