label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,0,16000,4011,11989,0.250687500,0.249312500,0.812365969,0.416360576
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,1,16000,3816,12184,0.238500000,0.261500000,0.792536921,0.393084058
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,2,16000,3924,12076,0.245250000,0.254750000,0.803662380,0.405929243
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,3,16000,3979,12021,0.248687500,0.251312500,0.809191226,0.412514990
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,4,16000,3681,12319,0.230062500,0.269937500,0.778120239,0.377186756
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,5,16000,3944,12056,0.246500000,0.253500000,0.805683480,0.408320583
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,6,16000,4047,11953,0.252937500,0.247062500,0.815900841,0.420699150
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,0,7,16000,3834,12166,0.239625000,0.260375000,0.794416111,0.395216996
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,0,16000,3816,12184,0.238500000,0.261500000,0.792536921,0.393084058
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,1,16000,3913,12087,0.244562500,0.255437500,0.802545587,0.404615694
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,2,16000,4013,11987,0.250812500,0.249187500,0.812563369,0.416601266
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,3,16000,3761,12239,0.235062500,0.264937500,0.786732519,0.386586219
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,4,16000,3905,12095,0.244062500,0.255937500,0.801731055,0.403661136
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,5,16000,3964,12036,0.247750000,0.252250000,0.807692443,0.410715893
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,6,16000,3764,12236,0.235250000,0.264750000,0.787051559,0.386939893
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,1,7,16000,3897,12103,0.243562500,0.256437500,0.800914569,0.402707209
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,0,16000,3905,12095,0.244062500,0.255937500,0.801731055,0.403661136
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,1,16000,3823,12177,0.238937500,0.261062500,0.793268910,0.393913159
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,2,16000,3852,12148,0.240750000,0.259250000,0.796285280,0.397353091
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,3,16000,3883,12117,0.242687500,0.257312500,0.799481006,0.401039353
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,4,16000,3945,12055,0.246562500,0.253437500,0.805784216,0.408440254
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,5,16000,3746,12254,0.234125000,0.265875000,0.785133086,0.384819149
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,6,16000,3848,12152,0.240500000,0.259500000,0.795870774,0.396878130
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload,2,7,16000,4072,11928,0.254500000,0.245500000,0.818332859,0.423719742
