label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,0,0,4232,3768,0.529000000,0.029000000,0.997572025,0.918660373
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,1,1,3192,4808,0.399000000,0.101000000,0.970362626,0.734563104
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,2,2,4073,3927,0.509125000,0.009125000,0.999759733,0.973908186
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,3,3,4521,3479,0.565125000,0.065125000,0.987727455,0.823358082
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,4,4,4175,3825,0.521875000,0.021875000,0.998618855,0.938223802
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,5,5,4040,3960,0.505000000,0.005000000,0.999927864,0.985644707
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,6,6,4463,3537,0.557875000,0.057875000,0.990313643,0.841986193
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,7,7,4346,3654,0.543250000,0.043250000,0.994595947,0.880311825
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,8,0,4000,4000,0.500000000,0.000000000,1.000000000,1.000000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,9,1,3889,4111,0.486125000,0.013875000,0.999444446,0.960510628
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,10,2,4117,3883,0.514625000,0.014625000,0.999382754,0.958406551
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,11,3,4237,3763,0.529625000,0.029625000,0.997466181,0.916956871
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,12,4,4194,3806,0.524250000,0.024250000,0.998302544,0.931673139
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,13,5,4174,3826,0.521750000,0.021750000,0.998634599,0.938569400
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,14,6,4311,3689,0.538875000,0.038875000,0.995635005,0.891977437
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,15,7,4147,3853,0.518375000,0.018375000,0.999025556,0.947931953
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,16,0,4121,3879,0.515125000,0.015125000,0.999339821,0.957005536
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,17,1,3924,4076,0.490500000,0.009500000,0.999739578,0.972845948
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,18,2,4232,3768,0.529000000,0.029000000,0.997572025,0.918660373
