label,input,restart_count,row_bytes,warmup_bytes,overall_p1,overall_abs_bias,overall_min_entropy,row_ones_mean,row_ones_std,worst_byte_index,worst_bit_index,worst_x,worst_p1
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload.bin,1000,125,10,0.518915000,0.018915000,0.946429855,518.915000000,6.529607569,1,3,632,0.368000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526.payload.bin,1000,125,10,0.671833000,0.171833000,0.573825433,671.833000000,11.445833784,2,5,804,0.804000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro4_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro4_1000x125_strict_20260526.payload.bin,1000,125,10,0.424639000,0.075361000,0.797460661,424.639000000,8.340304491,1,5,807,0.193000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro5_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro5_1000x125_strict_20260526.payload.bin,1000,125,10,0.409454000,0.090546000,0.759878654,409.454000000,6.594079466,0,6,806,0.194000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526.payload.bin,1000,125,10,0.375380000,0.124620000,0.678949330,375.380000000,9.667347102,0,1,839,0.161000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro7_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro7_1000x125_strict_20260526.payload.bin,1000,125,10,0.549958000,0.049958000,0.862606650,549.958000000,7.478250865,1,2,644,0.644000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro1_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro1_1000x125_strict_20260526.payload.bin,1000,125,10,0.550312000,0.050312000,0.861678307,550.312000000,17.376727425,83,3,597,0.597000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro3_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro3_1000x125_strict_20260526.payload.bin,1000,125,10,0.553930000,0.053930000,0.852224420,553.930000000,18.397801499,3,3,603,0.603000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro4_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro4_1000x125_strict_20260526.payload.bin,1000,125,10,0.520205000,0.020205000,0.942847829,520.205000000,15.844335739,68,5,570,0.570000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro5_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro5_1000x125_strict_20260526.payload.bin,1000,125,10,0.565521000,0.065521000,0.822347497,565.521000000,17.326441037,122,5,620,0.620000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro6_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro6_1000x125_strict_20260526.payload.bin,1000,125,10,0.501833000,0.001833000,0.994720751,501.833000000,15.984026745,111,3,556,0.556000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro7_1000x125_strict_20260526.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_map_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro7_1000x125_strict_20260526.payload.bin,1000,125,10,0.542602000,0.042602000,0.882033730,542.602000000,17.085654685,6,2,598,0.598000000
