"run","status","error","priority","bytes_expected","bytes_captured","first_16_bytes_hex","capture","capture_sha256","bitstream","bitstream_sha256","notes"
"restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D04FEFC007C1BF3C01","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.bin","1C508CF8E796BA70F592EBB2CB76F7C00949656BB79D6649899403278D7EE9B2","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","AB80924202F24105CB0CF2394EA8BE51087C64BF4D1DAB6C357F11B94B290D83","reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=1"
"restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0F92DBBDDF24B7CDB","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526.bin","DF2F63D08297F05534317255ED1FE65579C72C301C850FB8CC628E33EC23A625","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro3_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","E9F74DD6B08EA19589B80C0B27587365B8F5E8CAC7533572558FC3F265550B32","reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=3"
"restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro4_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D08CF1A278C518689E","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro4_1000x125_strict_20260526.bin","37E25887487451D0B731F7D8257389CA3208A922CE291B589A72C5B8E7DB01A0","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro4_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","B54992EAEDC75E00D1ED2B2BEEB0468A286AF626BDC18A28036442F265706FAB","reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=4"
"restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro5_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0C30E38E35C61C6B8","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro5_1000x125_strict_20260526.bin","7DC83D009ACE6558AA5F6AB890C2D59B47A8B138A5EB5C3C9F3AA45918426275","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro5_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","8AC10EA4DA81DD3DE667BF3428D362856347E4B47D08A525A6C9712881D1440B","reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=5"
"restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0007D0003EAC01F42","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526.bin","72C48316221FF08E917D2F8C98B7D6D45E97FB687BEED082168089C17B058B65","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro6_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","4C2049D0BF4B9B825B3A35F63649C133F81FF81D863EFB351FFAD9A5ABE76452","reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=6"
"restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro7_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D00F4F1B317A78DB8B","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro7_1000x125_strict_20260526.bin","ABC0106FE21AA98B2AF935D92C8A67EB586D2EB10D4536365B4D6C59F69BE8B5","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro7_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","15C17BCA22D3940390AFA7EBD83142B15B61DA28BE32C7A1F31CF68C1BBEE36C","reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=7"
"restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro1_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0E6BA15F26F76B8D6","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro1_1000x125_strict_20260526.bin","6C148CCF76F8B7F0D291DAF424FA164DF864CE594C5C04E53C1B59538DA96317","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","1AD67964BFF80C750EC766E1A9D84C2F52D784F6F7149D07A1F2E6598B9D9FA6","reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=1"
"restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro3_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0C0CFFF33F9FAEDF1","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro3_1000x125_strict_20260526.bin","210AA3473FE15C048E08F66B6F49E0A7C0239D4CA4AD345AEE52DDC33049D304","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro3_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","73D077DB04C7E07BD01CBD8C714B5C337CF918D90EBA147EE3D50046DB6FF20A","reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=3"
"restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro4_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0C12767EE78667C47","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro4_1000x125_strict_20260526.bin","F853350127DA4A98EC8120656691A208CC70B567AB946F6B22739CC11792840C","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro4_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","B91FBE1A7299C1793F76121A1A8AEAD2330421590B781C93EAD034F8CC4B7402","reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=4"
"restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro5_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0F7F7F7FDDB2F7E8A","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro5_1000x125_strict_20260526.bin","E566E750E55C93BBDCC51CA79560D97D5C1CAABDEE1A460E93DB2FAEB7E808D1","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro5_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","81F737A1308868560C792CB05BEC9175C1899ACCAB1260CD9A51F59774A595C2","reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=5"
"restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro6_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0B37BE9B5EAAF71CC","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro6_1000x125_strict_20260526.bin","E636F50913CB1BDC78F59B3AFE18549803DA8349D303F1A8EDFA348A2475CC17","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro6_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","5DB7BB00B40BACDAF3382F5B0AA42AAC43488936BBCE51EEB662553982945EFA","reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=6"
"restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro7_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0F86C19FE0CECB4BC","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro7_1000x125_strict_20260526.bin","52F9EB01C2CF30AF8A10F2FB23AF39543E127B80DBC7546E9F390BDF577DFF74","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro7_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","3AC90B74AC79B5FFB03763DB6285833CA2879E2ACE9883446A62DC7945B67F6D","reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=7"
