label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,1522,6478,0.190250000,0.309750000,0.701994148,0.304451532
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,1571,6429,0.196375000,0.303625000,0.714618580,0.315405649
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,1579,6421,0.197375000,0.302625000,0.716646926,0.317202001
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,3,3,1553,6447,0.194125000,0.305875000,0.710021323,0.311372017
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,4,4,1456,6544,0.182000000,0.318000000,0.684432807,0.289827252
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,5,5,1432,6568,0.179000000,0.321000000,0.677884524,0.284545873
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,6,6,1449,6551,0.181125000,0.318875000,0.682531951,0.288284851
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,7,7,1456,6544,0.182000000,0.318000000,0.684432807,0.289827252
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,8,0,1436,6564,0.179500000,0.320500000,0.678982010,0.285424761
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,9,1,1511,6489,0.188875000,0.311125000,0.699112106,0.302003834
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,10,2,1537,6463,0.192125000,0.307875000,0.705895690,0.307796008
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,11,3,1472,6528,0.184000000,0.316000000,0.688749806,0.293358943
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,12,4,1485,6515,0.185625000,0.314375000,0.692229051,0.296234821
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,13,5,1422,6578,0.177750000,0.322250000,0.675130063,0.282350992
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,14,6,1424,6576,0.178000000,0.322000000,0.675682186,0.282789701
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,15,7,1417,6583,0.177125000,0.322875000,0.673747053,0.281254802
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,16,0,1461,6539,0.182625000,0.317375000,0.685786018,0.290929977
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,17,1,1423,6577,0.177875000,0.322125000,0.675406201,0.282570330
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,18,2,1542,6458,0.192750000,0.307250000,0.707188930,0.308912559
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,19,3,1505,6495,0.188125000,0.311875000,0.697532585,0.300670474
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,20,4,1477,6523,0.184625000,0.315375000,0.690090970,0.294464371
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,21,5,1505,6495,0.188125000,0.311875000,0.697532585,0.300670474
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,22,6,1486,6514,0.185750000,0.314250000,0.692495639,0.296456280
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,23,7,1377,6623,0.172125000,0.327875000,0.662542870,0.272515142
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,24,0,1470,6530,0.183750000,0.316250000,0.688212289,0.292917008
