label,byte_index,byte_phase_mod8,bit_index,ones,zeros,p1,abs_bias,x,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,0,95,905,0.095000000,0.405000000,905,0.452942548,0.144010303
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,1,182,818,0.182000000,0.318000000,818,0.684432807,0.289827252
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,2,272,728,0.272000000,0.228000000,728,0.844319894,0.457989644
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,3,212,788,0.212000000,0.288000000,788,0.745288315,0.343732465
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,4,90,910,0.090000000,0.410000000,910,0.436469817,0.136061550
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,5,120,880,0.120000000,0.380000000,880,0.529360865,0.184424571
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,6,292,708,0.292000000,0.208000000,708,0.871290784,0.498178735
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,7,259,741,0.259000000,0.241000000,741,0.825233607,0.432454552
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,0,111,889,0.111000000,0.389000000,889,0.502924911,0.169744676
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,1,226,774,0.226000000,0.274000000,774,0.770972968,0.369594529
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,2,270,730,0.270000000,0.230000000,730,0.841464636,0.454031631
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,3,162,838,0.162000000,0.338000000,838,0.639072793,0.254977851
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,4,95,905,0.095000000,0.405000000,905,0.452942548,0.144010303
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,5,179,821,0.179000000,0.321000000,821,0.677884524,0.284545873
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,6,297,703,0.297000000,0.203000000,703,0.877592748,0.508403406
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,7,231,769,0.231000000,0.269000000,769,0.779750459,0.378944497
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,0,174,826,0.174000000,0.326000000,826,0.666773792,0.275786313
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,1,255,745,0.255000000,0.245000000,745,0.819107180,0.424687669
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,2,259,741,0.259000000,0.241000000,741,0.825233607,0.432454552
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,3,120,880,0.120000000,0.380000000,880,0.529360865,0.184424571
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,4,122,878,0.122000000,0.378000000,878,0.535082610,0.187707155
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,5,260,740,0.260000000,0.240000000,740,0.826746372,0.434402824
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,6,243,757,0.243000000,0.257000000,757,0.799993682,0.401634795
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,7,146,854,0.146000000,0.354000000,854,0.599739109,0.227692025
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,3,3,0,210,790,0.210000000,0.290000000,790,0.741482740,0.340075442
