label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,0,16000,2772,13228,0.173250000,0.326750000,0.665085675,0.274476954
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,1,16000,2929,13071,0.183062500,0.316937500,0.686731018,0.291702386
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,2,16000,3032,12968,0.189500000,0.310500000,0.700424326,0.303115909
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,3,16000,3032,12968,0.189500000,0.310500000,0.700424326,0.303115909
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,4,16000,2811,13189,0.175687500,0.324312500,0.670551440,0.278736723
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,5,16000,2810,13190,0.175625000,0.324375000,0.670412035,0.278627341
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,6,16000,3084,12916,0.192750000,0.307250000,0.707188930,0.308912559
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,0,7,16000,3005,12995,0.187812500,0.312187500,0.696872885,0.300115271
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,0,16000,2806,13194,0.175375000,0.324625000,0.669854023,0.278189895
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,1,16000,2919,13081,0.182437500,0.317562500,0.685380451,0.290599071
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,2,16000,3094,12906,0.193375000,0.306625000,0.708478549,0.310029975
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,3,16000,2914,13086,0.182125000,0.317875000,0.684703752,0.290047729
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,4,16000,2806,13194,0.175375000,0.324625000,0.669854023,0.278189895
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,5,16000,2866,13134,0.179125000,0.320875000,0.678159126,0.284765545
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,6,16000,3090,12910,0.193125000,0.306875000,0.707963135,0.309582904
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,1,7,16000,3014,12986,0.188375000,0.311625000,0.698059682,0.301114791
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,0,16000,2911,13089,0.181937500,0.318062500,0.684297278,0.289717026
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,1,16000,3004,12996,0.187750000,0.312250000,0.696740834,0.300004256
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,2,16000,3031,12969,0.189437500,0.310562500,0.700293269,0.303004663
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,3,16000,2902,13098,0.181375000,0.318625000,0.683075811,0.288725369
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,4,16000,2848,13152,0.178000000,0.322000000,0.675682186,0.282789701
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,5,16000,2952,13048,0.184500000,0.315500000,0.689823037,0.294243218
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,6,16000,3045,12955,0.190312500,0.309687500,0.702124728,0.304562890
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,2,7,16000,2928,13072,0.183000000,0.317000000,0.686596131,0.291592017
