label,input,restart_count,row_bytes,warmup_bytes,overall_p1,overall_abs_bias,overall_min_entropy,row_ones_mean,row_ones_std,worst_byte_index,worst_bit_index,worst_x,worst_p1
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.182267000,0.317733000,0.290298233,182.267000000,9.542940375,0,4,910,0.090000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.522621000,0.022621000,0.936162999,522.621000000,6.776087293,0,7,642,0.642000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.245911000,0.254089000,0.407193290,245.911000000,8.609476116,1,7,858,0.142000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.671545000,0.171545000,0.574444017,671.545000000,7.960274807,0,7,818,0.818000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro4_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro4_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.427625000,0.072375000,0.804967435,427.625000000,6.879852833,1,7,811,0.189000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro5_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro5_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.405413000,0.094587000,0.750040174,405.413000000,7.187658242,0,7,801,0.199000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.375746000,0.124254000,0.679794934,375.746000000,9.113917050,0,0,834,0.166000000
restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro7_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro7_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.547275000,0.047275000,0.869662140,547.275000000,7.924227092,1,0,662,0.662000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro0_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro0_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.500956000,0.000956000,0.997244201,500.956000000,15.484704195,108,2,551,0.449000000
restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro1_1000x125_strict_20260526_repeat02.payload,E:\Project\MLDSA\RO_TRNG\data\experiments\restart_reduced_xor_w10_direction_repeat02_full_20260528\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro1_1000x125_strict_20260526_repeat02.payload.bin,1000,125,10,0.553538000,0.053538000,0.853245734,553.538000000,16.684140853,2,7,611,0.611000000
