label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,0,3699,4301,0.462375000,0.037625000,0.995911461,0.895327869
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,1,3496,4504,0.437000000,0.063000000,0.988517390,0.828793173
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,2,3465,4535,0.433125000,0.066875000,0.987057017,0.818897449
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,3,3432,4568,0.429000000,0.071000000,0.985405468,0.808437349
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,4,4,3378,4622,0.422250000,0.077750000,0.982486654,0.791482740
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,5,5,3406,4594,0.425750000,0.074250000,0.984033677,0.800249143
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,6,6,3469,4531,0.433625000,0.066375000,0.987250406,0.820170509
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,7,7,3497,4503,0.437125000,0.062875000,0.988563032,0.829113522
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,8,0,3489,4511,0.436125000,0.063875000,0.988195331,0.826552714
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,9,1,3508,4492,0.438500000,0.061500000,0.989059048,0.832642072
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,10,2,3558,4442,0.444750000,0.055250000,0.991174154,0.848790607
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,11,3,3538,4462,0.442250000,0.057750000,0.990355533,0.842309486
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,12,4,3596,4404,0.449500000,0.050500000,0.992628972,0.861185531
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,13,5,3478,4522,0.434750000,0.065250000,0.987680163,0.823039008
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,14,6,3548,4452,0.443500000,0.056500000,0.990769410,0.845546407
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,15,7,3578,4422,0.447250000,0.052750000,0.991956261,0.855300975
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,16,0,3518,4482,0.439750000,0.060250000,0.989500357,0.835857351
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,17,1,3479,4521,0.434875000,0.065125000,0.987727455,0.823358082
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,18,2,3474,4526,0.434250000,0.065750000,0.987490078,0.821763415
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,19,3,3537,4463,0.442125000,0.057875000,0.990313643,0.841986193
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,20,4,3554,4446,0.444250000,0.055750000,0.991013352,0.847492052
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,21,5,3561,4439,0.445125000,0.054875000,0.991293797,0.849765291
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,22,6,3541,4459,0.442625000,0.057375000,0.990480656,0.843279800
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,23,7,3468,4532,0.433500000,0.066500000,0.987202197,0.819852139
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,24,0,3587,4413,0.448375000,0.051625000,0.992296308,0.858240253
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,25,1,3577,4423,0.447125000,0.052875000,0.991918023,0.854974758
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,26,2,3572,4428,0.446500000,0.053500000,0.991725461,0.853344778
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,27,3,3542,4458,0.442750000,0.057250000,0.990522180,0.843603383
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,28,4,3507,4493,0.438375000,0.061625000,0.989014413,0.832320938
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,29,5,3567,4433,0.445875000,0.054125000,0.991530618,0.851716637
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,30,6,3593,4407,0.449125000,0.050875000,0.992518904,0.860203103
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,31,7,3482,4518,0.435250000,0.064750000,0.987868781,0.824315729
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,32,0,3517,4483,0.439625000,0.060375000,0.989456638,0.835535501
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,33,1,3535,4465,0.441875000,0.058125000,0.990229588,0.841339825
